process_1,process_2,process_3,process_4,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,0,0,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,25.5
1,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,195.63
0,1,1,1,3,4928.35,0.172,0.139784673,0.261438441,0,0.042717201,0.042717201,301.9
1,0,0,1,3,983.8,0.02,0.027903895,0.052188489,0,0.008527232,0.008527232,43.1
1,0,1,0,3,1178.03,0.064,0.033412915,0.062491975,0,0.010210749,0.010210749,25.2
1,0,0,1,3,4338.82,0.23,0.123063608,0.230165133,0,0.037607363,0.037607363,54.536
1,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,176
0,1,0,0,3,546.9,0.011,0.015511934,0.029011877,0,0.004740337,0.004740337,23.9
1,0,0,1,3,1100,0.059,0.03119972,0.05835265,0,0.009534412,0.009534412,10.12
0,1,1,1,3,668.2,0.014,0.018952412,0.035446583,0,0.005791722,0.005791722,29.3
0,1,0,1,3,205.6,0.004,0.005831511,0.010906641,0,0.001782068,0.001782068,9
1,0,0,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,38.36
0,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,60.93
0,1,1,1,3,104910,8.63,2.975602387,5.565251414,0,0.909322916,0.909322916,871
0,1,1,1,3,104247,14.382,2.956797464,5.53008068,0,0.903576265,0.903576265,1092
1,1,0,1,3,238950,25.79,6.777430085,12.67578711,0,2.071134408,2.071134408,1680
1,1,1,1,3,52763,1.113,0.17,0.24,0,0.457331093,0.457331093,2152.421
1,1,1,0,2,436205,21.2,1.4,2,13.13858143,5.407701544,5.407701544,21308.63
1,0,1,1,2,338830.1033,27.15100272,3.411952152,6.129279511,10.20563016,4.200529735,4.200529735,8943
1,1,1,1,2,176092,8.54,1.773211626,3.185422656,5.303926094,2.183040039,2.183040039,3806
1,1,1,1,3,13907,9.3,0.2,0.2,0,0.120540976,0.120540976,1588.3
1,1,1,1,2,190000,16.339,9.2862,10.6528,5.722837823,2.355459688,2.355459688,19177
0,1,0,1,2,147815,47.7,0.7,12.3,8.9,1.832485652,1.832485652,660
1,1,1,0,3,17264.94488,2.031547164,0.489692224,0.915868448,0,0.149646459,0.149646459,143
0,0,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,13.78
1,1,1,1,3,99000,16.32,2.8079748,5.251738537,0,0.858097118,0.858097118,8820
0,1,1,1,2,8580,1.32,0.08,0.08,0.258431308,0.106367601,0.106367601,759.2
1,1,1,0,3,36468.3,5.59,1.034364317,1.934565419,0,0.316094375,0.316094375,3248.994
1,1,1,1,3,45194.49,6.93,1.281868576,2.39747116,0,0.391729915,0.391729915,4026.42
1,1,1,1,2,918400,62.93,9.248106428,16.61343029,27.66239082,11.3855483,11.3855483,25200
0,1,1,1,2,352387,16.88,3.548467421,6.374517488,10.61396659,4.368596701,4.368596701,4273.29
1,1,0,1,3,15000,2.53,0.425450727,0.79571796,0,0.130014715,0.130014715,1562
1,0,1,1,3,38666,5.375,0.12,0.12,0,0.335143264,0.335143264,240
0,1,1,1,2,48000,4.73,0.15,0.15,1.445769555,0.5950635,0.5950635,1380
