process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,1,0,0,0,0,3,1670.5,0.07,0.04,1.3,0.0133,1.542,0.0257,2
0,0,0,0,1,0,3,841.5,0.06,0.02,0.09,0.0673,0.776769231,0.012946154,1
1,0,0,1,0,0,3,17900,4.8001,0.172,0.65,0.1432,16.52307692,0.275384615,30
1,0,1,0,1,0,3,537.26,0.01,0.008,0.02,0.0042,0.495932308,0.008265538,41
0,1,0,0,0,0,3,24731.01,3.559638479,0.2615144,1.736282669,0.340081114,22.82862462,0.380477077,3
1,0,0,0,1,1,3,4680,0.4,0.0991,1.1,0.037,4.32,0.072,40
0,0,0,1,0,0,3,31100,8.5,0.244,0.35,0.248,28.70769231,0.478461538,8
0,0,1,0,0,0,3,506,0.02,0.001,0.05,0.004,0.467076923,0.007784615,3.9
1,0,0,0,0,0,3,1325,0.09,0.03,0.26,0.0106,1.223076923,0.020384615,3
1,0,0,0,0,0,3,6500,1.2,0.181,0.21,0.052,6,0.1,1
1,0,1,0,0,1,3,5400,0.5,0.1081,0.85,0.0432,4.984615385,0.083076923,35
1,0,0,1,1,0,3,49000,4.3,0.0801,0.18,0.392,45.23076923,0.753846154,46
0,0,0,1,0,0,3,18970,0.51,0.19,0.38,0.1517,17.51076923,0.291846154,1
0,1,0,0,0,0,3,25790,6.9,0.2341,0.65,0.206,23.80615385,0.396769231,6
0,1,0,0,0,0,3,4500,0.17,0.1,0.21,0.036,4.153846154,0.069230769,2
0,0,1,0,0,0,3,24731.01,0,0,1.736282669,0.340081114,22.82862462,0.380477077,0.2
0,1,0,0,0,0,3,24731.01,3.559638479,0,0,0.340081114,22.82862462,0.380477077,2
0,0,1,0,0,1,3,24731.01,3.559638479,0,0,0.340081114,22.82862462,0.380477077,0.5
0,0,0,0,1,0,3,24731.01,3.559638479,0,0,0.340081114,22.82862462,0.380477077,0.5
0,0,1,0,0,0,3,6196.04,0,0,0,0,0.024677393,0.008057924,6.96
1,0,1,0,0,1,3,6196.04,0,0.101142783,0.118292878,0,0.024677393,0.008057924,30
0,0,0,1,0,0,3,7500,2.48,0.22,0.3,0,0.029870763,0.009753719,6.47
1,1,0,1,0,0,3,7700,1.81,0.23,0.3,0,0.030667317,0.010013818,36.59
0,1,1,0,0,0,3,7846,3.89,0.03,0.04,0,0.031248801,0.01020369,12.57
0,1,0,0,0,0,3,4900,2.44,0.02,0.03,0,0.019515565,0.006372429,7.75
0,0,0,0,1,1,3,9000,4.44,0.25,0.3,0,0.035844916,0.011704462,14.36
1,0,0,0,0,0,3,4130,1.26,0.12,0.14,0,0.016448834,0.005371048,5.75
0,1,0,1,0,0,3,9000,4.44,0.03,0.04,0,0.035844916,0.011704462,14.36
0,1,0,0,0,0,3,4900,2.44,0.02,0.03,0,0.019515565,0.006372429,7.9
1,0,1,0,0,1,3,6350,3.11,0.02,0.03,0,0.02529058,0.008258148,10.05
0,1,0,0,0,1,3,7046,0.54,0.03,0.04,0,0.028062586,0.009163294,14.31
0,0,0,0,0,1,3,6700,2.19,0.2,0.22,0,0.026684548,0.008713322,9.14
0,0,0,0,1,0,3,3700,1.19,0.11,0.15,0,0.014736243,0.004811835,9.14
