process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,0,1,0,0,1,2,59337,2.39,0.12,0.12,0.058637318,0.9,0.3,69.263
0,1,1,1,1,1,2,92498,7.29,0.36,0.36,0,0.43,0.25,373.68
1,1,1,1,0,0,2,59398,4.19,0.41,0.41,0.014,1.12,0.238,712
0,0,0,0,0,0,2,2800,0.0455,0.0045,0.0048,0,0,0,0.01
0,1,1,1,1,1,2,182776,14.0555,1.7638,1.7638,0.180620767,13.11695156,8.640312152,873.04
0,1,0,1,0,1,2,35000,2.758,0.336,0.336,0.034587292,0.35,0.245,134.29
0,0,1,0,0,0,2,7000,0.2464,0.0469,0.1646,0.006917458,0.502356223,0.33090879,44.62
1,1,1,1,1,0,2,343013,30.53,3.12,3.12,0.338968307,9,1,712.798
0,1,0,1,0,0,2,22745,1.8,0.22,0.22,0.022476799,2.05,0.36,57.33
1,0,1,1,1,0,2,4655,0.472,0.023,0.026,0.00460011,0.0062,0.0046,157.92
0,1,0,0,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,4.85
1,0,0,0,0,0,2,82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,8.959
0,0,0,0,0,0,2,145188,5.3545,0.097,1.2608,6.00E-04,0.9437,0,7.48
0,1,0,1,0,1,2,103596.4,3.1079,3.4705,4.6204,0.0162,1.6834,1.4356,126.66
0,1,0,0,0,0,2,174379.81,5.2314,0.0069,0.4312,0.0013,0,0,5.02
0,0,0,0,1,0,2,76662,3.2294,0.1344,0.5071,0.0082,0.2913,0.092,3.21
0,0,0,0,0,1,2,102000,10.0708,0.3846,2.805,0.0925,2.21,1.088,3.92
1,0,1,0,0,0,2,368500,11.055,0.1489,0.6191,0.0116,0,17.41998418,85.45
1,0,0,1,0,0,2,354037,10.6211,0.1929,1.4277,0.032,1.2391,1.2391,18.61
0,0,0,1,0,1,2,216000,6.48,0.0264,0.8872,0.0097,6.318,0,8.151
1,1,1,1,0,1,2,160000,14.5758,0.9453,0.9453,0.0464,0.8,0.32,1871.27
0,1,1,0,0,1,2,132671,32.2572,1.5667,1.5667,0.131106588,0.6634,0.2653,2670.315
0,0,0,1,0,0,2,13260,0.4557,0.1125,0.1125,0.013103643,0.951606216,0.626835794,7.5
0,0,1,0,1,0,2,103576,4.291,0.479,0.853,0.03,0,0,65.5
1,0,1,0,1,0,2,148830,15.646,1.202,1.202,0.147075047,5.7418,7.035593609,88.7
1,1,0,1,0,0,2,59862,6.869,0.377,1.97,0.0011,4.296006886,2.82983743,91.39
0,1,0,1,0,1,2,216000,47.8994,0.21,0.221,0,4.4906,3.6067,96.595
0,1,0,0,0,0,2,120905,6.9172,0.84,2.07,0.43,1.205,0.967,2
1,0,1,1,1,1,2,136840,6.1304,1.1501,1.2652,0.135226429,0.2736,0.2736,645.593
0,0,0,0,0,0,2,82500,20.775,0.2887,0.317,0,2.8668,1.7531,15.771
0,0,0,0,0,0,2,72048,4.5607,0.504,1.23,0.025,0.7204,0.5763,4.523
1,1,0,1,1,0,2,544000,174.0063,1.68,1.848,0,80.77,2.452,234
0,1,0,0,1,1,2,49000,4.9163,0.13,0.143,0,24.3,1.23,12.34
1,0,1,0,1,0,2,5000,0.1593,0.0298,0.0328,0,0.0233,0.0113,151.487
0,1,0,1,0,1,2,75000,19.1129,0.2765,0.304,0,0.192,0.192,102.095
0,0,0,1,1,0,2,54000,3.8751,0.2426,0.2668,0,0.308,0.216,22.403
1,0,1,1,1,0,2,280000,9.1943,0.518,0.569,0,0.5925,0.5925,185.36
1,0,0,1,1,0,2,280000,25.1667,0.8032,0.883,0,3.7485,0.918,68.048
0,1,0,1,0,0,2,11202,0.5086,0.0112,0.0123,0,2.224,0.024,71.331
0,0,1,0,0,0,2,23434,1.69,0.0797,0.0876,0,0.8159,0.3965,22.81
1,0,0,0,0,0,2,19511,1.71,0.048,0.24,0.0033,0.195,0.078,1.4
0,0,0,0,0,0,2,70821,8.0166,0.18,0.86,0.01,0.71,0.283,1.12
1,0,1,0,0,1,2,100926,10.8949,0.25,1.23,0.017,1.01,0.403,11.275
1,0,0,0,0,1,2,20000,0.7346,0.0159,0.0175,0,0.04,0.04,19.29
1,0,0,0,0,0,2,101700,4.7085,0.3559,0.391,0,2.949,0.4608,18.382
0,0,0,1,0,0,2,48400,6.053,0.12,0.58,0.008,0.484,0.194,2.997
1,1,1,1,0,0,2,70521,5.4592,0.77,0.847,0.04,20.99,5.45,340
0,0,0,0,0,1,2,177846,30.0779,1.9,2.09,0.1757489,111.76,29.8,5
0,0,0,0,0,0,2,32800,3.7642,0.21,0.23,0.032413233,13.34,3.28,5
0,0,1,0,1,0,2,6272,0.89,0.035,0.035,0.004,1.1273,1.0474,2.35
1,0,1,0,1,0,2,14953,2.16,0.07,0.07,0.003,1.5887,1.0915,88.385
0,1,0,1,1,1,2,65000,5.2,0.66,0.95,0.01,4.664736353,3.072724482,561.7
0,1,0,0,0,0,2,17210,1.29,0.13,0.14,0.02,0,0,26.58
1,0,1,0,1,1,2,36000,2.34,0.34,0.38,0.02,0,0,236.09
0,1,0,1,1,0,2,17618,1.23,0.16,0.21,0.004,0.076,0.076,170.24
1,0,0,0,0,0,2,6500,0.42,0.08,0.1,0.004,0.466473635,0.307272448,7.55
0,0,0,0,0,0,2,14300,1.14,0.2,0.23,0.01,1.026241998,0.675999386,7.74
0,1,0,1,0,0,2,30000,2.34,0.31,0.38,0.001,2.15295524,1.41818053,58.58
0,1,0,0,0,1,2,62000,7.035,0.3,3.01,0.87,21.98,21.98,34.97
1,0,1,0,0,1,2,22000,3.5,0.2,1.2,0.74,0.15,0.044,69.33
0,1,1,1,1,1,2,470000,37.5,3.1,5.44,0.42,1.94,0.94,607.924
0,0,1,0,1,0,2,102000,11.1,0.5,4.1,0.035,3.5,3.5,62.06
0,1,0,0,0,0,2,44000,3.82,0.22,2.73,0.022,0.376,0.376,9.85
0,0,0,1,0,0,2,30000,2.5,0.09,0.1,0.05,2.06,0.06,32.523
0,0,0,0,0,0,2,43800,4,0.15,4.56,0.043283525,0.0097,0.0097,25.09
0,1,1,1,0,1,2,114950,12.075,0.4,1.25,0.113594548,12.2,12.2,294.02
1,0,0,0,0,0,2,12000,1,0.06,0.191,0.0118585,0.724,0.024,36.6
1,0,0,1,0,0,2,57000,6.8775,0.18,1.89,0.056327875,4.114,0.114,34.66
