"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"702","1","0","0","1","0","1","3",70000,1.75,0.14,0.154,0.449672019,3.115,3.115,60
"516","0","0","0","0","0","1","3",11638,0.52,0.049,0.068,0.007,0.029,0.02,10.833
"275","0","1","0","0","0","1","3",17184,1.36,0.02,0.02,0,0,0,28.5
"320","0","1","0","0","0","0","3",14551,1.15,0.09,0.09,0.006,1.044255056,0.68786483,32.67
"744","0","0","0","0","1","0","3",5449,0.6057,0.0605,0.0665,0.035003755,1.043731567,0.678022364,3
"589","0","0","0","0","0","0","3",110349,7.096,0.772,1.898,0.039,1.103,0.88,6.569
"855","1","0","1","0","0","0","4",35951,1.608,0.153,0.211,0.022,0.09,0.061,52.487
"252","0","0","0","1","0","1","3",37519,2.96,0.15,0.15,0.051,3.38,1.3,25
"669","0","0","0","0","1","0","3",161013.2,12.2211,1.05,1.93,1.034330438,72.46,16.1,30.695
"142","1","0","1","0","1","0","2",35200,2.76,0.2816,0.2816,4e-04,2.526134148,0,62.66
"295","0","1","0","1","0","0","3",6282,0.1963,0.0314,0.0345,0.006207925,0.450828827,0.296967003,33.92
"805","0","0","0","0","0","0","4",2000,0.0625,0.005,0.0055,0.010950366,0,0,2.5
"709","0","0","0","0","0","1","3",11136,0.6459,0.1336,0.1748,0.071536394,2.13305097,1.385659213,5.922
"858","0","0","1","0","1","0","4",11901,0.532,0.051,0.07,0.007,0,0,18.619
"636","0","0","0","1","1","0","3",51500,2.43,0.48,0.6451,0.330830128,4.8,4.8,26.62
"480","0","0","0","0","0","0","3",2653,0.0621,0.0092,0.0265,1e-04,0.0358,0.021139512,1.95
"456","0","0","1","0","0","0","3",16160.5,1.3652,0.2585,0.4075,0.003,0.3879,0.0162,1.92
"846","0","1","1","0","0","0","4",16889,0.755,0.072,0.099,0.01,0.042,0.029,25.832
"476","0","0","0","1","0","0","3",22276,0.3353,0.0431,0.0431,0.024181995,0.712980153,0.177498594,8.92
"119","0","1","0","0","0","0","2",17210,1.29,0.13,0.14,0.02,0,0,26.58
"843","0","0","0","0","0","0","4",6564,0.294,0.028,0.039,0.004,0,0,9.947
"859","0","0","0","1","1","0","4",6932,0.31,0.029,0.041,0.004,0.017,0.012,10.556
"428","1","0","0","1","1","0","3",64000,1.44,0.133,0.177,0.023,3.6,1,18.14
"454","0","0","0","0","0","0","3",41809.58695,2.685226166,0.237770614,0.33756199,0.045386929,1.33818485,0.33314522,4.979
"216","1","0","0","1","0","0","3",60756,1.2181,0.182,0.2,0.060039586,12.6,1.176,44.76
"747","0","0","0","1","0","0","3",4700,0.827,0.0827,0.0909,0.030192264,0.900263969,0.584823842,0.95
"816","0","0","0","0","1","0","4",1985,0.05,0.004,0.0044,0.010868238,0.161266535,0.059380496,5
"466","1","0","0","0","0","0","3",4800,1.1183,0.0081,0.0081,0.0397,0.632,0.112,1.25
"541","0","0","0","1","0","0","3",44873,4.026,0.289,0.32,0.008,4.34,1.23,10
"491","0","1","0","1","0","0","3",87000,4.05,0.2,0.45,0.01,7.31,1.31,14.71
"916","0","0","1","0","0","0","4",4402,0.639,0.1278,0.1278,0.04223092,1.43980121,0.875102768,2.4
"412","0","1","0","0","1","0","3",9500,0.75,0.09,0.09,0,0,0,17
"267","1","0","0","0","1","0","3",17797,1.41,0.06,0.06,0.017587144,1.277204813,0.841311963,21.8
"717","0","0","0","0","1","0","3",47885,3.36,0.5746,0.7518,0.30760778,9.172157478,5.958359501,1
"467","0","0","1","0","0","1","3",56000,1.68,0.0769,0.0769,0.060791513,0.84,0.112,25.21
"66","0","1","0","0","0","1","2",32709,2.58,0.14,0.14,0.032323307,9e-04,9e-04,11.5
"556","0","1","1","0","0","1","3",20855,4.191,0.118602132,0.168378973,0.022639411,0.017,0.01,9.5
"156","0","0","0","1","0","0","2",6000,0.15,0.037,0.041,0.00592925,3e-04,3e-04,15
"553","1","0","0","1","0","0","3",20475,1.0801,0.0432,0.0432,6e-04,0.655336175,0.163147949,15.83
"243","0","1","0","1","0","0","3",6800,0.2,0.017,0.017,0.006719817,0.001,0.001,18
"131","0","0","0","0","0","0","2",43800,4,0.15,4.56,0.043283525,0.0097,0.0097,25.09
"724","0","0","0","0","1","0","3",49500,36.478,1.148,2.678,0.317982356,0.0015,2e-04,1
"698","0","0","0","0","0","1","3",31250,0.5,0.08,0.088,0.200746437,5.985797665,3.888456393,18
"730","0","0","1","1","0","0","3",40828.83741,7.184528186,0.452545622,0.743060807,0.262279796,7.820581108,5.080356924,1.2
"177","0","1","0","0","0","0","2",8250,0.165,0.008,0.08,0.008152719,0.592062691,0.389999646,23.704
"678","0","0","0","0","1","0","3",48000,5.227,0.48,0.528,0.308346527,9.194185214,5.97266902,5
"577","0","0","1","0","1","0","3",61000,3.6376,0.224,0.246,0,0.025,0.025,12.24
"911","0","0","1","0","0","0","4",865,0.09,0.009,0.0099,0.008298443,0.282923227,0.171959086,0.3
"372","0","0","0","0","0","0","3",7410,0.494,0.04,0.0407,0.00804402,0.632,0.632,21
"169","0","0","1","0","0","0","2",1650,0.1,0.02,0.02,0.001630544,0.118412538,0.077999929,49.51
"706","0","0","1","0","0","0","3",9206,0.5339,0.1105,0.1445,0.059138294,1.763368106,1.145508146,7.7
"44","1","0","0","0","0","0","2",118942,9.4,0.55,0.55,0.0289,2.0164,5.62270762,48.5
"584","0","1","1","0","0","1","3",38000,2.628,0.0922,0.1014,0,14.7396,0.1156,8.037
"458","0","0","0","0","0","0","3",41830,2.1333,0.1141,0.8225,0.0043,1.2967,0.333307874,4.38
"761","0","0","0","0","0","0","3",14567,0.62,0.0765,0.0765,0.079756991,5.6374,0.0583,0.27
"798","0","0","1","0","0","0","4",4285,0.099,0.0028,0.0056,0.023461159,0.28,0.128184093,2.7
"195","0","1","0","0","0","0","2",790650,59.7221,1.5813,1.5813,0.781326922,56.74113535,37.37614787,0.3
"419","0","1","0","1","0","0","3",13528,1.07,0.08,0.08,0,0.0249,0.0122,65.015
"213","0","0","1","0","0","0","2",20365,0.265,0.25,0.25,0.020124863,1.461497782,0.962708216,24.1
"918","0","0","1","0","0","0","4",1789.12,0.2597,0.211680687,0.376137467,0.017164058,0.585183358,0.355671028,1
"718","0","0","1","0","0","0","3",31880,1.849,0.3826,0.5005,0.204793485,6.106471346,3.966847674,0.785
"125","0","1","0","0","0","1","2",62000,7.035,0.3,3.01,0.87,21.98,21.98,34.97
"451","0","1","0","0","0","0","3",5000,0.0715,0.0037,0.0582,5e-04,0.7475,0.0618,3.87
"565","0","0","0","0","0","0","3",107974,6.7711,0.75,1.8571,0.0388,1.0797,0.8637,1.384
"299","0","0","0","0","0","1","3",6758,0.53,0.06,0.06,0.003,0.263,0.319468801,19
"110","1","0","0","0","0","1","2",20000,0.7346,0.0159,0.0175,0,0.04,0.04,19.29
"384","0","0","0","1","0","0","3",1700,0.0425,0.014,0.0154,0.001845457,0.054411306,0.013545861,2.5
"822","0","0","1","0","0","1","4",19911,1.0735,0.1167,0.1284,0,0.0348,0.0348,60.169
"890","1","0","1","0","0","0","4",12500,3.1628,0.2,0.2,0.119919694,4.088485945,2.484957883,41.85
"872","0","0","0","1","0","0","4",13000,0.891,0.0281,0.0309,0,0.436,0.28,3.409
"633","0","0","1","0","0","1","3",76000,7.476,0.47,1.08,1.51,1.71,1.71,27.23
"906","0","0","0","0","0","0","4",3813,0.5535,0.0553,0.0608,0.036580304,1.247151753,0.758011553,2.078
"881","1","0","0","1","0","0","4",8900,0.8,0.05,1.32,0.56,0.8178,0.0178,67.62
"157","0","0","0","0","0","0","2",1614,0.07,0.005,0.005,0.001594968,0.0064,0.0064,8.04
"554","0","1","0","0","1","0","3",63282.6,4.206,0.329,0.329,0.012,6.328,0.6328,54.195
"138","0","1","0","0","1","0","2",80000,7.875,0.44,1.52,1.08,6.28,6.28,60.17
"115","0","0","0","0","0","0","2",32800,3.7642,0.21,0.23,0.032413233,13.34,3.28,5
"838","0","0","0","0","1","0","4",3006,0.0391,2e-04,2e-04,0.0164584,0.0301,0.006,2.78
"318","1","0","1","0","0","0","3",104927,8.29,0.84,0.84,0.01,7.530104482,4.960180949,61.83
"897","0","0","0","1","1","0","4",4500,1.1385,0.0562,0.3003,0.04317109,1.47185494,0.894584838,18.83
"707","1","0","0","1","0","1","3",23200,0.58,0.046,0.0506,0.149034155,4.443856187,2.886790027,24.2
"743","0","0","1","0","0","0","3",1536,0.033,0.0066,0.0066,0.009867089,0.294213927,0.191125409,0.427
"221","0","1","0","0","0","0","3",28967,5.1286,0.4353,0.5224,0.028625431,2.078821814,1.369347847,4.6
"844","0","1","0","0","1","0","4",34603,1.547,0.147,0.203,0.021,0.087,0.059,53.374
"432","0","0","0","0","0","0","3",2224,0.1923,0.0214,0.0214,0.002414292,0.071182791,0.017721174,0.472
"89","0","0","0","1","0","0","2",13260,0.4557,0.1125,0.1125,0.013103643,0.951606216,0.626835794,7.5
"241","0","0","0","0","0","0","3",173050,5.01,0.87,0.9,0.03,12.41896348,8.180538024,5.159
"170","0","1","1","0","0","1","2",8924,7.922,1.125,1.125,0.008818771,0.008,0.008,21.7
"685","0","0","1","0","0","0","3",18000,19.481,0.63,2.16,0.115629948,5.04,4.5,0.1
"351","0","0","1","0","0","1","3",38842,3.07,0.08,0.08,0.042165428,0.08,0.309499031,62.35
"20","0","1","0","1","0","0","2",48604,13.7363,0.007,0.0077,0,0.7234,0.102,23.64
"896","1","0","1","0","0","0","4",3050,0.771,0.056,0.056,0.029260405,4.47,3.988,21.84
"495","0","0","0","0","0","0","3",10660,0.63,0.063,0.07,0.011572099,0.341190898,0.08494052,9.87
"886","0","1","0","1","0","0","4",12600,0.52,0.37,0.45,0.054,1.08,1.08,20.31
"184","0","0","0","1","0","0","2",82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,19.003
"576","0","0","0","1","0","0","3",51924,5.7839,0.12,0.63,0.008,0.52,0.21,3.922
"796","0","0","0","0","1","0","3",1325,0.097,0.001,0.001,0.007254617,0.107646427,0.039636855,1.1
"646","1","0","0","0","0","1","3",16000,1.2,0.07,0.231,0.102782176,4.46,4.46,30.26
"764","1","0","0","0","1","0","3",21000,3.8104,0.3048,0.3352,0.114978843,1.70609432,0.628206756,11.447
"285","0","0","0","0","1","0","3",2000,0.05,0.004,0.004,0.001976417,0.143530349,0.094545369,0.5
"588","1","0","1","0","0","1","3",42309,4.8796,0.2,0.51,0.007,0.423,0.17,5.66
"739","0","0","0","0","0","0","3",370,0.014,0.004101069,0.006733782,0.002376838,0.070871844,0.046039324,0.8
"865","1","0","0","0","0","0","4",4569,0.204,0.019,0.027,0.003,0.011,0.008,6.973
"670","0","0","0","0","0","0","3",27785,1.67,0.18,0.33,0.178487672,5.32209242,3.457304349,1
"304","1","0","0","1","0","0","3",13468,1.06,0.12,0.12,0,0,0,21.62
"1","1","0","1","1","0","1","3",74961.0812079723,7.51031053892218,0.249036887400686,0.349403679130973,0.0479205515368159,0.223785194256857,3.44208690767952,586.646095407219
"2","1","1","1","1","0","1","2",80684.3870419535,9.14503236110646,0.461180412405135,9.91524790560195,0.530545863705993,0.941781169748247,0.0117105726118533,219.434243367336
"3","1","1","1","1","1","1","3",13245.8599707307,0.40647336888774,0.0342401178150933,0.011258051732131,0.0945291000386454,3.087889273481,1.64062789514458,90.1314340032069
"410","0","1","1","1","1","1","2",48590.860194643,3.68318915244425,0.170685384461749,0.170685384461749,0.00493435408097473,0.56101463515922,0.353877476184521,405.230673709363
"5","0","1","1","1","1","1","2",36156.5553848627,1.27764179988556,0.174785152422252,0.218720195315362,0.234248787460683,6.39491459541979,4.46459886947783,174.227702162681
"6","1","0","1","0","1","0","3",7917.62831329368,0.664002591893077,0.0407646826500073,0.0407646826500073,0.00663489109237365,0.470485990494336,0.277679443392062,139.052235182915
"7","1","1","0","0","1","0","4",467628.604697021,36.6074233421177,3.09280156741864,5.41998577292556,0.419897706559882,1.82662650657442,0.8702225933865,597.572941077251
"8","1","1","1","1","1","1","3",267474.506687981,11.6036803377381,0.12775297788219,1.00864352848267,0.0173442384911676,6.80736939685778,3.30790122087055,1768.25447107284
"913","1","1","0","1","0","1","3",14758.6938517597,1.16902655683924,0.120575947281905,0.120575947281905,0.0104039051374827,1.05916024178337,0.697683075483071,224.812010412184
"10","0","1","0","1","1","0","2",61985.4069395591,7.94556391505223,0.00186508239949386,0.137134937385336,-0.00285986182070152,0.363482760969408,2.65320248691492,129.560254263338
"11","1","1","1","1","1","0","3",35168.1742258871,2.48212622114536,0.203477114254188,0.213003660735865,0.000351930821344825,0.264838886934961,0.396180478649185,121.578268605537
"12","0","1","1","1","1","1","2",443841.624141729,35.3648370511892,2.97830814339393,5.10519712374252,0.398198994688888,2.95791946305383,1.6412911856183,632.068932087992
"13","1","1","1","1","1","1","2",132990.378059363,11.1194241894281,0.65073403310728,0.612813026148464,0.148342039691215,10.0314687852341,5.9090806054298,938.814078786064
"1410","1","1","0","0","1","1","3",42212.2749323182,3.81273660722359,0.100183519364807,0.0957727976657819,0.0484040117014637,1.2694789986721,1.85736605419336,96.4396332549209
"15","0","1","1","1","1","1","2",30169.2708340729,4.34185822169197,0.749182335498694,0.780173034998993,0.0061295468852956,1.5638306970162,1.65036492955501,85.219826329947
"1610","0","1","0","1","0","1","2",46299.2112711072,4.23795331821716,0.340756746276654,0.570017246878939,0.0457532665562341,2.7545459908293,2.1886879993223,122.910901038917
"1710","1","0","0","1","0","0","3",98552.6287918373,3.35918085453811,0.269306322120729,0.283885702067998,0.100068229803068,0.679876307538922,0.102750970542963,213.082723309499
"18","0","1","1","1","0","0","3",50622.2232852977,3.20085900789778,0.272588673994788,0.273331859470241,0.00265684646784226,3.56221430242234,2.60798038164161,134.441873523238
"19","1","0","1","1","1","0","2",80617.5836553664,2.48462585640629,0.323690242120577,0.356234043202293,0.00999815637497728,0.196885175376805,0.0592377950869268,285.166245473806
"201","0","1","1","1","0","1","4",38948.693701482,2.11163929416477,0.00486898407924188,0.0213364899858927,0.212539423728054,0.474979907986988,0.060646610752232,166.6504459486
"21","0","0","0","0","1","0","3",162678.650454671,23.3200445333271,0.0196098003502331,0.0555730511546261,0.864407944742124,12.9696425759258,4.65438083495347,106.045147705478
"22","0","1","0","1","0","1","3",71220.0190735345,7.12781976841157,0.399221710441634,1.77195890623971,0.456240697135641,3.26725550848176,3.2672360512428,82.6958316981792
"23","0","0","1","1","1","0","2",348331.260016502,11.85547395802,2.43577220914637,3.29322838660168,0.341149372388744,25.265803303039,16.2993882669637,388.642512178449
"24","0","0","1","1","1","1","2",57298.237790234,4.5707557340779,0.128597724212687,0.112186327382086,-0.00244870553519364,3.15011884712095,0.938874664193662,263.684330052718
"25","0","1","0","1","0","1","2",68142.6850852929,9.64170842533749,0.175203833426069,0.224984522766201,0.0346106927106689,1.89962776947673,1.74044802545883,122.050456497718
"26","1","1","0","1","0","0","3",98272.5903640957,10.6606186985828,0.531821385314935,1.5978440063027,0.617779876528508,0.445400612403768,-0.176691833059768,158.872082952817
"27","1","1","0","1","1","1","3",4746.74506721977,-0.198305131874567,-0.01839848505526,-0.0225799712907427,0.0604826331011311,0.11377804443091,0.722713580717166,194.959846462144
"28","0","0","0","1","0","0","2",25045.7589924612,1.78506484837748,0.0225218419303771,0.0613152608039233,-0.00321003548565945,0.198287709996381,0.350289632175213,122.51866410555
"29","1","0","1","1","0","0","2",143326.974127596,3.81312416761389,0.304943626381574,0.322274761118105,0.142843520769982,-0.114923793664048,-0.159915188713054,2158.25816252794
"30","1","1","1","0","1","0","3",36536.1733383425,2.88545736644883,0.305622586691752,0.305622586691752,0.038668268933329,1.57535582924173,0.692445627330378,1256.52640935955
"311","1","1","0","1","0","0","2",85490.5024266883,11.1337646516338,1.31262333648629,1.82793138057692,0.0657022706811591,6.13524083848932,4.04136553474722,143.436500467028
"32","0","1","0","1","0","0","3",16540.810119702,1.2658163290374,0.0373371820484288,0.0375868977820035,0.0106617686300073,1.1512974677181,0.762073852558028,91.0090965256095
"33","0","1","1","1","1","1","3",141187.846386617,8.04111493391436,0.655037112526427,0.82612901611806,0.0867811547225686,0.458594175924754,0.428983773565411,219.903312745843
"34","1","1","0","0","1","1","2",162027.814731943,14.8254180087715,0.943607323865344,0.943008001789136,0.0418114447583874,0.787230666885757,0.129544136192423,1869.50623983992
"35","0","0","1","1","0","1","3",34506.2645907352,4.44167540684898,0.229803843276844,0.215763859266736,0.00576175456082662,2.68634203045059,-0.031068689315371,78.2182351530929
"362","1","1","0","1","0","1","3",34394.742923751,2.74757594162133,0.327481026365422,0.327481026365422,0.0335058053098265,0.886612900188193,0.148363380414434,262.097211111132
"37","0","0","1","0","1","1","3",369863.196511362,10.9162805401276,0.160353464285608,0.612669482195496,0.0116434754734979,0.179641836531165,17.4332284325453,88.8281767395249
"38","0","1","0","1","0","1","3",12565.8563064877,0.901256823074073,0.0109562634536996,0.0117227481717244,0.0136410249050402,0.402190974741571,0.100126675813331,118.077288506087
"39","1","0","1","0","1","0","3",50983.8700923542,3.68469516369212,0.225038612706587,0.278926974905189,0.0251587861182634,0.091107437483035,0.091107437483035,147.453274927927
"40","1","1","0","1","0","0","2",88700.2073877039,11.3778276406447,1.49061520371586,1.49061520371586,0.0784500662938158,5.69654618742533,4.19309690392161,162.316709428144
"41","1","0","1","1","0","0","2",54912.744627692,4.07656352044378,0.109897409780548,0.121298174986521,0.0626461955964539,4.02566251047311,2.37095842826264,1259.45469461166
"42","0","1","0","0","1","1","2",7177.3186243485,0.822898895766405,0.0074476446642402,0.0159471502386473,-0.000721637469306833,0.965078640529832,0.672599855811995,157.601402982996
"43","1","0","0","1","0","1","2",182811.796125093,14.2434170735689,1.2396304382366,1.2603965724222,0.105168929420891,0.514948093089418,-0.248976381272161,171.848570144628
"441","1","1","1","1","0","0","2",52357.9390174779,4.15249043838611,0.10642523431811,0.0814021627953516,0.00341016244688885,-0.426608787849887,-0.294374572835117,193.974582805115
"45","1","0","0","1","0","0","2",81116.1980404913,7.09770944435415,0.568877776423609,0.778398750122731,0.104760035747658,5.72814876716683,3.80171054378654,82.159661068311
"46","1","1","0","0","1","1","3",24382.5515355755,1.67419756943833,0.294900727395049,0.330857222151779,0.00113688135677256,4.13765149151895,2.19071926205432,143.813983782805
"47","1","1","1","1","0","0","3",139279.536230059,10.1116286665071,0.469977402642369,0.490098497971147,0.0312818163192426,3.75346586780246,1.00999626697372,373.234946249053
"48","0","1","0","1","0","1","3",51786.5843893504,3.11109212987032,0.278909786606207,0.278909786606207,0.021682310333508,2.33773248540537,1.53992558895266,148.96153688781
"49","1","1","0","1","0","1","3",17554.787691731,1.38758335365914,0.13849043882452,0.13849043882452,0.00608528195014355,1.25982240491625,0.829861937112183,254.983597068256
"50","0","0","1","1","0","1","2",38867.525255052,4.50511436756403,0.218517272398929,0.217804721007421,0.00316431863999946,1.23419994586568,-0.0330980942616353,93.0962792389326
"51","0","0","1","1","1","1","3",136851.172082607,3.89059193781832,0.988970765788558,1.30998721449469,0.141381263467549,9.90921894530844,6.49437075653791,77.0440817638393
"52","0","0","0","0","0","0","3",35469.7004830631,6.95507723172859,0.904212609949871,0.889705207621547,0.235497996077751,7.45918202956027,4.4613791120825,81.1330713177322
"53","1","0","0","1","0","0","4",92386.9634243971,7.31950555583897,0.354625724483814,0.384181300613257,0.00463620844502468,0.8966469158721,0.00908464840673509,380.014272070257
"54","1","0","1","0","0","1","3",26597.4098852677,2.1014716909267,0.160449211830273,0.160449211830273,0.00102246059151366,0.0381119671724737,1.04387467905365,119.765974067831
"55","1","0","1","0","1","1","2",96981.1629210935,8.34334987343465,0.730407067351103,0.708197357792471,0.0326350815541955,7.61844581682594,4.63772689676911,147.366479610501
"56","0","1","1","1","0","0","3",27067.3042537725,2.86775452827679,0.15623209620474,0.214710822593631,0.000705497345825902,0.0299678748180032,0.295622390157273,88.8277943133261
"57","0","1","1","0","0","1","2",86192.171158132,6.83837162184475,0.202230665037941,0.214439963518231,0.027638404915258,-0.192902105467177,-0.249533541432238,254.396153403002
"58","1","0","1","0","0","1","3",135171.819867512,6.30479184585305,1.15108074018788,1.25692458375212,0.138229527762961,0.568386853665357,0.491146821442329,623.810610939085
"59","1","0","0","0","0","0","2",19387.8653469603,1.11811122073135,0.136460442540068,0.221946058284674,0.00239247430382791,-0.204434373009769,0.0612945695331144,152.126322592493
"60","0","1","0","0","1","1","3",86611.9149441741,7.30746856807468,0.64171722613237,0.64935811784491,-0.00114566814988931,0.462712127231441,0.127764635442586,267.997176750664
"61","1","1","0","1","1","1","3",22102.9421636406,1.512739060237,0.128045607716605,0.152098648536864,0.0179956556691198,1.39141053554779,1.31207923792875,321.890351246937
"62","1","1","1","0","0","1","2",39109.9327932476,3.10511563632376,0.304271943190826,0.293082489558677,0.0158096209514057,-0.462167543067471,-0.257587049134424,390.286809351977
"63","1","0","1","1","0","1","2",58142.2538571232,4.58957645896357,0.453374532354064,0.453374532354064,0.0148573115409818,0.200868490460329,0.128246841093758,574.214786488258
"64","1","1","1","0","1","0","2",64107.855815542,7.06238100945762,0.348255426085233,0.778042308830674,0.440728902850195,-0.0432093276287942,-0.243122641320576,74.3796971541398
"652","0","0","1","1","0","1","3",25359.5385548799,1.9124701243273,0.167846211111184,0.385790044189626,0.0346732083845777,1.59957272233827,-0.0557122910131664,334.177464136496
"661","0","1","1","0","1","1","2",38847.78552236,3.08602807000089,0.035982841870917,0.04144306325918,0.0185342715235015,2.59957807265239,0.0580402836566272,120.621659333899
"674","0","0","1","1","0","1","2",188688.336854505,14.8781524597499,1.33436463727882,1.38079650117802,0.0567278444278925,8.16511269136327,2.46648038737332,695.749560394378
"68","1","0","1","0","1","0","3",50696.119118934,3.67860211796849,0.224303773021325,0.275558959681075,0.0245158013936598,0.0985783076165244,0.0985783076165244,152.683955662578
"69","1","1","1","0","0","0","3",22373.0371666931,2.30707330799719,0.404586814365915,0.448918184770624,0.012248260967337,1.28441414102124,1.12470631247648,441.236894343662
"70","1","0","1","1","0","0","3",34114.3479036587,3.04535706611685,0.18299443782298,0.638129353517278,0.00308143697887813,6.54762762970795,4.44740448941279,310.131035159921
"71","1","1","0","1","0","1","3",66251.8140506544,5.2336822992377,0.387727304585278,0.387727304585278,0.0039596285308235,0.676372398680446,0.501859012708651,281.458690359313
"72","1","0","1","0","0","0","3",39065.6770194562,5.34532512567344,0.29602156778099,0.299418378584087,0.0147143513860647,1.58929185655331,0.119153378346236,84.4780956759071
"731","0","1","1","0","1","0","3",14907.0262098872,1.16262368517218,0.0759674027783538,0.056183919509345,0.0193390975783405,-0.127935014494624,0.0416952295248964,540.485735495465
"74","1","0","1","0","0","1","3",59652.4093109146,5.21950047232956,0.386890365766361,0.407842297926545,0.0375974360902017,7.61987571589649,1.70122271061578,86.688900779374
"751","0","1","0","1","0","0","2",75569.7060982974,5.83123090588274,0.153948554298671,0.112190322123007,-0.00323025932531668,-0.253097026261053,-0.0976280458522547,269.75464780139
"76","0","1","0","0","1","0","3",33101.0073130216,4.96220737894997,0.607439479865134,0.609529197866097,0.164116501566733,5.30574692679693,3.45232673375922,78.4881553135998
"77","1","0","0","0","0","0","3",50737.0700499171,4.38400565898237,0.300903415756839,0.31467857215609,0.0504415733313092,8.4912581320433,2.84385198931812,83.8028994594139
"781","0","1","0","1","1","0","2",60304.153513107,2.62319041440231,0.489109824636055,0.539787895255509,0.0556663596797341,0.121856386850079,0.251418490508908,494.117454079575
"791","0","1","0","1","0","1","3",47844.5519343088,3.78171333404258,0.137507241489366,0.137507241489366,0.00712463792553171,0.0087078907978721,0.00554138505319133,264.179208979784
"80","1","1","0","0","1","0","4",25961.9600747107,0.137652037831676,-0.0182634207581403,-0.0446165621331438,0.00400015921817352,0.239538187103211,-0.0881252548666648,131.972658701636
"81","1","0","1","0","1","0","3",31923.8336198272,2.46334922269266,0.14014357055095,0.14489615255734,0.0136314833753277,1.52498020013976,1.42630668507786,214.747063316351
"82","0","1","0","0","0","0","3",28680.9966178575,2.5251974318694,0.0280879874859804,0.0351218476856343,0.0332465996611286,0.3867140098172,0.0964737464147017,110.784905661165
"832","1","1","1","0","1","0","3",21094.2279108511,1.45239080276962,0.0839107356449672,0.108656964717644,0.0245777082692324,0.585584762584975,1.12026837837421,222.698973812901
"84","1","1","1","1","1","1","2",17938.5862444545,22.7347068959116,0.467448472577041,0.515558243353646,0.121353202433997,0.602116981379915,2.36711159240509,67.7021649763825
"85","1","0","1","0","1","0","3",28860.967523003,2.28003055900801,0.0820162981376052,0.0820162981376052,0.0227963329190388,1.81153433429067,1.39815822996167,287.028761489433
"863","0","1","1","1","1","1","2",112133.209823186,8.83523272032721,0.813731231015222,0.813731231015222,0.00966823685776411,0.80784283321522,0.539066718164586,565.370290163497
"87","1","0","1","0","1","1","2",442904.892362819,38.0592634057868,3.06639435915137,3.07076855056651,0.435757875256001,4.23319406635488,0.839102506318925,108.93884040238
"88","0","1","0","1","0","1","2",116854.959916323,22.0944797727989,0.127379133263603,0.132320269702934,0.0195951909638713,3.44018379601131,2.55747923623051,166.032330434159
"891","0","1","0","1","0","0","3",96099.8810624965,7.63924325350672,0.643573172483593,1.26704392041639,0.0243951751738787,6.14221361336485,0.27279355071485,83.3811112623066
"90","1","0","1","1","1","0","2",90263.5415382171,3.338919054094,0.403412078184076,0.443737988357781,0.0161489468590551,0.710880510091444,0.394247574143048,286.311888097541
"91","0","1","0","1","0","1","3",123118.73720428,12.7829247119289,0.586683223552536,2.34488158084026,0.790900729559121,5.55414108691271,5.55414108691271,173.62917214402
"92","1","0","1","0","1","0","2",133391.557325498,5.67698375965606,0.631191703199502,0.694315397665021,0.015475854431279,2.97663468039313,0.531830363796069,1401.40444244763
"93","1","0","1","1","1","1","3",25141.4889903926,1.70350046026267,0.104423891010016,0.0824341930004102,0.0278962085714985,-0.153288179096412,0.0743649177478743,1764.81586002851
"941","1","0","1","0","1","0","3",69714.6674176799,5.47354148938321,0.636234859703109,0.636234859703109,0.0756796449534747,2.15000652683301,0.535257733032145,209.17707446916
"95","1","1","1","1","1","1","2",45250.2594449686,3.90564927411749,0.0878282831850695,0.137282707532707,0.0423667463629478,1.13435598887022,0.208486587830108,488.260694918645
"96","1","0","1","0","0","0","3",29089.9886952199,1.77453586449769,0.124459351021546,0.201896602247822,0.00977457849336449,0.288559998029051,-0.0449134830423256,498.408829455438
"97","0","1","0","1","0","1","2",66403.2450870145,10.5899693247014,0.314139177453239,0.316047661961289,0.0285864455493252,1.06838826854858,0.828250215519429,127.749970588094
"98","0","1","0","1","0","1","3",38058.8850832642,2.9919259598339,0.0958635921496898,0.0958635921496898,0.00990488430410093,0.107998764089774,0.104826045659836,263.452557303947
"99","0","1","1","0","1","0","2",34451.9174172069,3.12670397412468,0.104982306263766,0.156453849989079,0.040289169370854,1.42516405323532,0.649186149074548,129.6082957626
"100","0","0","0","1","0","1","3",188572.222072538,18.1317070095893,0.172735856237116,0.168202142593353,0.0245515685817818,3.21280368369874,2.97491637310141,308.675599152772
"101","0","1","0","1","0","1","2",58459.3971748929,2.24514304877399,0.132126667408668,0.189167193007073,0.0577700637832057,2.8042659382103,2.54688374903586,137.286743340415
"102","1","0","1","1","1","0","3",215771.030775685,22.1365562686324,1.34358647432178,2.64896898683161,0.130538251250982,38.5593448129224,24.7849169859318,291.214352172241
"103","1","1","0","1","0","0","2",53490.2721045393,4.40243747754632,0.528908640082189,0.526238607719086,0.00619238975303877,4.06781457557246,2.39727315292203,152.428227404198
"1041","1","1","1","0","0","0","3",125342.578563495,9.90151021972066,0.836880932014901,0.836880932014901,0.0438424303198699,0.0217041734256782,0.0217041734256782,145.444173012755
