"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"339","0","1","0","0","1","0","3",17328,1.37,0.13,0.13,0.0048,0,0,56.68
"175","0","1","0","0","0","0","2",82643.75867,7.212225495,0.582515856,0.787447532,0.081669251,5.930943776,3.906792316,7
"659","0","0","0","0","0","0","3",8183,0.6546,0.053,0.0998,0.0011,1.567417033,1.018215637,6.84
"265","0","1","0","0","1","0","3",28380,2.24,0.24,0.24,0.028045353,2.036695657,1.341598781,72
"370","0","0","0","1","0","0","3",75759,5.99,0.06,0.06,0.0058,2.424791859,0.603659365,11.226
"472","0","0","1","0","0","0","3",60000,4.7232,0.3542,0.9896,0.0026,2.772,0.936,4.69
"512","0","0","0","0","0","0","3",26457,1.183,0.112,0.155,0.016,0.066,0.045,37.187
"440","0","0","0","0","0","0","3",1214,0.0374,0.0012,0.0012,0.001317873,0.318,0.0941,1.2
"784","0","0","0","0","0","0","3",2450,0.081,0.02,0.02,0.013414198,0.199044337,0.073290788,1
"615","1","0","1","0","0","0","3",4200,0.32,0.04,0.06,0.001,0.0011,0.0011,21
"134","1","0","0","1","0","0","2",57000,6.8775,0.18,1.89,0.056327875,4.114,0.114,34.66
"369","0","1","0","0","1","0","3",17440,0.9689,0.06,0.062,6e-04,0.1937,0.1937,52.894
"510","0","0","1","0","0","0","3",23420,1.047,0.1,0.138,0.014,0.059,0.04,25.426
"176","0","0","0","1","0","0","2",11742,1.1,0.27,0.28,7e-04,0.842666681,0.555075859,50.05
"357","0","0","1","0","0","0","3",3562,0.039,0.003,0.0033,0,0.11400769,0.028382564,4
"222","1","0","1","0","1","0","3",1288,0.019,0.002,0.0022,0.013,0.18,0.005,40.927
"149","0","1","0","0","0","0","2",24371,9.3135,0.89,1.8,0.1,8.5,8.5,18.5
"390","0","1","0","0","0","1","3",38000,3,0.37,0.37,0.041251384,1.216252731,0.302789845,15
"783","0","1","0","0","0","0","3",16200,0.9,0.052,0.052,0.088697965,6.1,3.2,1
"626","1","0","0","0","1","0","3",21200,1.8,0.1,0.234,0.136186383,0.0225,0.0225,38.04
"917","1","0","0","0","0","0","4",1600,0.2323,0.0232,0.0255,0.015349721,0.523326201,0.318074609,0.872
"714","1","0","0","0","1","0","3",21600,3.967,0.32,0.32,0.138755937,0.01,0.01,24.235
"862","0","0","0","1","1","1","4",19696,0.881,0.084,0.116,0.012,0.049,0.033,30.675
"182","0","0","0","0","0","1","2",10850,0.1736,0.0049,0.0049,0.01072206,0.778652145,0.512908625,0.469
"443","0","0","0","0","0","1","3",139600,8.319,0.061,0.159,0.151544557,0.0098,1.112354273,3
"898","0","0","1","0","1","0","4",1254,0.039,0.0038,0.0038,0.012030344,1e-04,1e-04,2.75
"557","1","1","0","0","0","0","3",8745,1.3467,0.049732709,0.070605328,0.009493246,0.0077,0.0046,4
"293","0","1","0","1","0","0","3",25253,2,0.06,0.06,0.024955225,1.812285956,1.193777097,17.7
"611","0","0","1","0","0","1","3",17637,1.47,0.12,0.22,0.008,1.523,1.523,2.36
"282","1","0","0","0","1","0","3",27057,2.14,0.06,0.06,0.026737953,1.941750331,1.27905702,60.4
"193","1","0","0","0","0","0","2",36000,0.8262,0.1188,0.1188,0.0355755,2.583546288,1.701816636,2
"768","0","1","0","0","1","0","3",12387,9.073,0.68,0.748,0.067821092,1.006351921,0.370552242,6.752
"759","0","0","0","1","0","1","3",53125,1.7219,0.2137,0.2137,0.341268943,15.754,0.1628,16.932
"389","0","0","0","1","0","0","3",13905,0.15,0.011,0.0121,0.021,0.55,0.55,26.5
"794","0","0","1","0","0","0","3",1308,0.0287,0.0033,0.0033,0.007161539,0.106265303,0.039128307,1.53
"511","0","0","1","0","0","1","3",27159,1.214,0.115,0.159,0.016,0,0,42.443
"429","0","0","1","0","0","0","3",4059,0.3592,0.0373,0.0373,0.004406299,0.129914996,0.032342736,4.11
"397","0","1","0","0","0","0","3",2743,0.03,0.01,0.01,0.002977699,0.087794243,0.021856646,1.313
"920","0","0","0","0","0","0","4",2595,0.26,0.026,0.0286,0.024895329,0.848769682,0.515877257,0.3
"620","1","0","0","0","0","0","3",39000,3.1,0.15,0.18,0.012,1.078,0.78,38.53
"811","1","1","0","0","0","0","4",11030,0.33,0.03,0.033,0.060391268,0.896105731,0.32995812,46.9
"259","0","0","1","0","1","0","3",21646,1.71,0.04,0.04,0.021390758,6.25,0.89,10
