process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,0,0,1,0,2,43091.006,4.1181,0.684668936,0.83984664,0.609593033,42.82,1.422,0.2
1,0,0,0,0,0,2,31950.66,2.86,0.507661028,0.622720538,0.451994547,31.94,1.054,1.25
0,0,1,0,0,0,3,6141.44,0.37,0.077341846,0.17950505,0.086806105,6.14,0.202,0.24
1,0,0,0,0,0,2,12613.4,1.39,0.200413125,0.245836025,0.178437254,12.61,0.416,0.35
0,0,0,0,1,0,2,8790.97,1.08,0.139678894,0.171336604,0.124362705,8.79,0.29,0.38
0,1,0,0,1,0,4,485,0.165,0.0065,0.0066,0,0.35,0,30.075
0,1,0,1,0,1,3,19392,0.3568,0.0853,0.248,0.274095975,0.01,1.394359909,106.546
0,1,1,1,0,0,3,24960,2.328,0.0799,0.1563,0.352796799,1,1.794720674,103.71
0,0,0,1,0,0,4,4220,0.4051,0.0135,0.0215,0.001211177,1.83,0.9,0.001
0,0,0,1,0,0,4,4500,0.71,0.044,0.091,0.00129154,4.37,0.806181044,1.325
1,0,1,1,1,1,3,96200,5.8,0.325,0.65,1.359737663,6.8,6.917152599,337.06
1,1,0,0,1,0,3,21000,0.7467,0.095,0.205,0.29682423,9.167,1.509981337,125.5
0,0,1,0,0,0,4,5000,0.203,0.028,0.063,0.001435044,1.47,0.895756715,46.15
0,1,0,1,1,0,3,25000,0.8021,0.1021,0.21,0.353362179,1.5625,1.797596829,424.26
0,1,0,0,0,0,3,2000,0.0534,0.0021,0.0021,8.00E-04,2.839998113,0.143807746,0.68
1,0,0,0,0,1,3,6000,0.1398,0.0066,0.0066,0.0038,8.519994338,0.431423239,11.46
0,0,1,0,1,0,2,293143,14.05,0.314,0.314,0.1108,516.8486632,24.0517964,126.374
0,0,0,0,1,0,2,65780,1.533,0.0724,0.0724,0.0421,115.978567,5.397117335,31.03
1,0,0,0,0,0,4,6630,0.41,0.02,0.02,0.001902868,0.54,1.187773405,0.975
0,0,1,0,1,0,3,1746.75,0.16,0.01,0.01,0.024689415,0.005,0,0.324
1,0,0,0,0,0,3,4336,0.4304,0.0265,0.0424,0.0017,0.48,0.084,7.775
1,0,1,0,1,0,3,72060,10.446,0.365,1.34,1.018531144,0.0684,0.0342,32.804
0,0,0,1,0,0,2,145000,8.13,0.27,0.45,2.051263083,5.91,0.9,60.72
1,1,0,0,0,0,1,303367,16.4425,0.546,0.91,1.368,21.3081,1.4964,674.409
0,1,0,1,0,0,3,1200,0.082,0.002,0.007,0.016961385,0.73,0.086284648,16.24
1,0,1,0,0,1,3,20000,2.9,0.251868767,0.584569905,0.282689743,8.82,1.438077463,13.075
0,1,0,1,0,0,3,23100,2.35,0.290908425,0.675178241,0.326506653,10.25,1.66097947,46.1
1,1,0,0,0,0,3,34000,1.91,0.063,0.15,0.480572563,13.08,0.21,100
0,1,0,0,0,0,3,16000,0.7068,0.1235,0.2058,0.226151794,0.79,0.014,36.6
