process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,1,0,0,1,3,6000,2.9,0.03,0.03,0.013494902,11,1.428816065,12
1,0,1,0,0,0,3,6200,0.31,0,0,0.013944732,3.8,3.8,26.1
0,0,1,0,0,0,3,2800,0.28,0.001,0.021,0.0027,1.12,0.28,3.1
0,1,1,0,1,0,4,1200,0.068,0.006831618,0.009524843,0.000565565,1.07,0.46,16.35
0,0,0,0,0,0,3,96600,5.79,0.433713062,1.058833289,0.217267925,19,19,2.76
0,0,1,0,0,0,3,40000,4.12,0.17959133,0.438440285,0.089966014,0.12,0.11,0.5
1,1,0,0,1,0,3,45000,2.28,0.05,0.05,0.101211766,0.003,0.002,14.82
1,0,1,0,1,0,3,3400,3.4,0.05,0.05,0.007647111,5,0.809662437,30.8
1,0,0,0,0,0,4,60000,6,0.3,0.442,0.021,11.53368727,7.601280651,2.78
0,0,1,0,0,0,3,21000,0.3155,0.005,0.0083,0.047232158,0.0271,0.0271,1.97
0,1,0,1,0,0,2,126000,6.18,0.58,0.59,0.115425109,34.78,16.2,28.04
1,1,0,0,0,0,3,55206,9.456,0.247862974,0.60511336,0.124166595,25,25,16.68
0,0,1,0,1,1,3,49625,3.97,0.222805494,0.543939979,0.111614087,16.2,16.2,23
0,0,0,1,1,0,3,16661,2.92,0,0.18262134,0.037473094,0.99,0.99,7.862
0,1,0,1,0,1,3,7600,0.2508,0.006,0.018,0.009,0.0228,0.015,12
1,0,0,0,1,0,3,25500,2.04,0.114489473,0.279505682,0.057353334,9.348721297,6.072468277,44
0,0,0,1,0,1,3,36000,1.27,0.21,0.21,0.018,13.19819477,8.572896392,49
0,1,0,1,0,0,3,98100,7.85,0.440447736,1.0752748,0.22064165,19,19,1.965
0,1,0,1,0,0,3,8979,0.45,0.045,0.135,0.004,1.52,0.2,1.1
0,0,0,0,0,0,3,5791,0.4632,0.0868,0.1158,0.0057,5.791,1.1582,7.045
1,0,0,1,0,1,3,21000,0.651,0.0023,0.133,0.0158,0.0882,0.063,12
0,1,0,1,0,0,3,2850,0.0616,0.0029,0.0331,6.00E-04,1.044857086,0.678687631,0.5
0,0,1,0,0,0,3,12800,0.416,0.006,0.094,0.0448,0.3072,0.166,9.5
0,1,0,0,0,0,3,9895,1.92,0.044426405,0.108459166,0.022255343,6.48,6.48,7.71
1,0,0,1,0,0,3,11000,6.91,0.049387616,0.120571078,0.024740654,23.32,23.32,12.38
0,1,0,0,0,0,4,8000,0.3,0.001,0.001,0.003770434,1.53782497,1.013504087,2
0,0,0,0,0,0,3,128994,11.1,0,1.413904155,0.290126901,2.2,2.2,6.62
1,0,0,1,0,0,3,185900,13.94,0.834650705,2.037651227,0.418117052,30,30,34.22
1,0,0,0,0,0,3,1447,1.4,0.005,0.057,0.001,0.14,0.344582808,35.8
0,1,0,0,0,1,3,13034.8,0.6517,0.0651,0.1955,0.0065,24.6422,3.7137,1.92
1,0,0,1,0,0,2,33000,1.32,0.07,0.07,0.015,0.8,0.66,35
0,0,1,1,0,0,3,12500,1,0.056122291,0.137012589,0.028114379,0.034,0.034,3.2
0,1,1,0,1,0,3,28125,2.25,0.126275154,0.308278326,0.063257354,0.008,0.008,16
