"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"27","0","0","0","1","0","0","3",37123.7,0,0.176821588,0.451655133,0.022482315,0,0,0.14
"146","0","0","0","0","0","0","3",12000,0.6,0.036,0.041,0.0015,0,0,0.967
"80","0","1","0","1","0","0","3",24190.96,1.131205872,0.094495889,0.150128399,0.011623013,2.650115148,2.791319904,0.907
"144","1","0","0","1","0","0","3",2700,0.1215,0.0054,0.0065,7e-04,0,0,0.537
"141","0","0","0","1","0","0","3",4500,0.2025,0.009,0.0108,0.0011,0,0,0.977
"176","0","0","0","0","1","0","3",3000,0.15,0.006,0.0072,7e-04,0.005555556,0.005555556,0.5
"56","0","0","0","1","0","1","3",330,0.018,0.0013,0.002,0.00019985,0.045,0.023,1.075
"137","0","1","0","0","0","0","3",29000,1.45,0.058,0.07,7e-04,0,0,0.528
"111","1","0","1","0","0","0","3",90900,4.09,0.1818,0.2182,0.0227,9.958078015,10.48866929,2.103
"160","0","0","0","0","0","0","3",2700,0.1215,0.0054,0.0065,7e-04,0.005,0.005,0.508
"85","0","0","1","0","0","0","3",3236,0.191,0.0294,0.047,0.001554799,0.354503195,0.373392011,1
"22","1","0","0","0","0","0","3",37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,0.08
"11","0","0","0","0","1","0","2",250,0.02,0.0025,0.05,0.000151401,0.209140529,0.189533196,2
"117","1","0","0","0","0","0","3",9000,0.405,0.018,0.0216,0.0023,0.985948318,1.038482108,1.182
"104","0","1","0","0","0","0","3",3375,0.1519,0.0068,0.0081,8e-04,0.369730619,0.389430791,0.683
"1","1","1","1","0","0","0","3",114233.094126108,5.71162461142812,0.571192556020105,1.52646951461327,0.0878127727383648,22.4034302028967,5.76965073155938,47.7577996599919
"2","1","1","0","0","0","0","3",24484.4002160117,0.500528401681222,0.0308296479296405,0.126506215336575,0.0128986796331205,3.04904529800358,8.65330533576262,3.79970593318809
"3","1","1","0","1","0","0","2",38409.3026784279,2.13059337360365,0.179288142827385,0.44184188391673,0.0226199493527505,30.8284980687954,27.840486038826,6.06262144812097
"4","1","1","0","0","0","0","3",24190.96,0.641146313501871,0.0535585010412958,0.150128399,0.011623013,2.650115148,2.791319904,3.74
"54","1","1","0","1","0","0","3",232801.851097285,11.5198545306137,1.05179720810642,3.19812751826914,0.213351173350501,11.2013882646479,7.00076309215144,184.423356660999
"6","1","1","0","1","0","0","3",236004.966242074,11.6270915304035,1.01842125752205,3.11681627008719,0.20800204797157,12.5228987776914,8.71826812003725,176.366028209935
"7","0","1","0","0","0","0","3",7088.91037903247,0.294217417962436,0.024885988340193,0.109962653092296,0.00625337668168176,0.76365404545291,0.120870271355838,10.2066404304876
"8","0","1","0","0","0","0","3",26931.4656062714,1.11183951724208,0.0937854809485043,0.199563916877986,0.0131558111239491,2.86481311325737,2.70523444356497,-5.26124147358462
"9","1","1","0","1","0","0","4",36322.5214410415,2.11668430696581,0.173878368923381,0.460610157323931,0.018946207672445,31.3528516498837,28.3473007796123,96.0154099618019
"10","1","0","0","1","0","1","3",11288.9985243097,0.0270637249666337,0.0313013349210264,0.0940839693170893,0.00932159354761703,0.498274646276975,0.282717997945576,103.114323956553
"112","1","0","0","0","1","1","2",167.378042218976,0.114522397135289,0.00402471235867548,0.0410508696493419,-0.00256371715213742,-0.00880671053237686,0.344656512892054,8.36480271632164
"12","1","0","0","0","1","1","3",21846.4288138554,0.907365312501532,0.0413654172576969,0.240702876942694,0.0133247666810023,0.294681568777983,15.9788188229119,-29.7630120831769
"13","1","1","0","1","0","0","3",469.868375363383,0.303920996483474,0.00975570448727259,-0.00952293250085907,0.00212515465336118,1.26079573695127,0.381310202908947,22.6003513227176
"14","1","1","0","1","0","0","3",188359.669174741,3.73510843591866,0.23021293447558,0.245844526403261,0.108360203791807,0.265379056745116,0.781541576048065,29.0488491836466
"15","0","1","0","1","1","0","3",44850.4667518529,1.31047682267997,0.168802934000874,0.238615107184381,0.0221183505323175,36.8115690667623,33.4402507359648,77.5403843005068
"162","1","1","0","0","0","1","4",36715.4172394336,1.89730980627886,0.176584695009155,0.417630674484941,0.0244356163527818,31.7304633231478,28.7367873706959,202.869118764195
"171","0","0","0","1","0","1","2",43834.4628847787,1.8905995815555,0.0942854476539516,0.136843554793204,0.0300674142111254,34.2513302986508,12.0111190563274,6.87230577900703
"183","1","0","0","0","1","0","2",78627.3661162883,3.93665433391585,0.385366408841061,1.18255268170617,0.0799409981296453,5.61325064055023,1.88856782005267,23.4149033805761
"191","1","1","0","0","1","1","3",21293.1430213151,0.790354374945443,0.110614394386559,0.126930545369622,0.0129312451941838,1.39092432458707,0.255471944057414,-4.65247583929192
"20","1","0","0","1","0","0","4",37367.5826603271,1.766782010702,0.183119211621729,0.42146769984712,0.0225384464461981,-0.343735047048233,28.0148623448861,57.6113928829506
"211","0","1","0","0","0","1","3",7647.88851092409,0.339008198799447,0.0371038198632652,0.0472769418345005,0.00123810026143587,-0.0961918506836148,0.346933931606746,1.41549007609893
"221","1","1","0","1","0","0","2",63788.4592671623,3.03930009657517,0.414826100952923,0.495429363572039,0.0386306378194821,53.3630085244592,48.3601223272462,51.8170470826351
"231","0","0","0","0","1","1","4",9438.61380939466,0.305899501302495,0.252538282805717,0.275335623682934,0.00189711348097106,7.95012781768126,4.32170750568913,72.959174252867
"241","0","0","0","0","0","0","3",91860.2078729317,4.08678897314994,0.177569896297332,0.22272391676046,0.0268014578841178,75.4549945432056,68.7517587162697,22.1596802687701
"25","1","1","0","1","0","0","3",24495.5331042805,0.142881953881102,0.011446780630283,-0.00324400570052492,0.014020282177074,21.7914522842012,20.3877112367886,15.3821417700054
"26","1","0","1","1","0","1","3",1754.60054848667,0.0921281118983896,0.0250166899433247,-0.0414271975914748,-0.0010268153483198,1.30942489801061,1.52639916444268,835.45231978594
"271","1","1","0","0","0","1","3",18937.8252802511,0.794971945382231,0.0466071181611776,0.0379675788658917,0.00131510441726211,2.19485476218545,2.20752481628441,3.43443226141944
"281","1","0","0","1","0","0","3",90722.1626861122,4.05452695098143,0.170200528632661,0.2325613983126,0.0249619530731073,75.0127218487258,67.8738610116902,23.9274666208199
"29","0","0","0","0","0","0","3",40534.4566563883,1.78209966077505,0.174074985627007,0.40873023569975,0.0233351919167366,30.5141148364799,27.9393781918971,-14.9947025160243
"301","1","1","0","0","0","1","2",3880.70449154902,0.936536580109038,0.0308179971880429,0.061344246172014,0.000556351884694881,0.328642760405014,0.706662534730304,-4.81170601526399
"31","1","1","0","0","0","0","3",736.175245561907,0.0103922220114827,0.0228236041006957,-0.0234578416252139,0.00375889002426369,0.378319814511029,0.395885814262247,-23.5800565307158
"32","1","1","0","0","0","0","2",125658.536289061,7.85960158372667,0.766389310859555,0.773421928755714,0.0747125588249329,67.1544931761052,15.3587685412988,145.787519029368
"33","1","1","0","0","0","0","2",21613.7760071931,1.23186263895077,0.17559748836204,0.280157150416428,0.0158893899807255,2.30996378714383,0.771856902908343,121.775037413102
"34","0","0","0","0","0","0","2",112210.396936163,3.18647406227109,0.404376267694141,0.471362280913986,0.00342440807664204,34.1630363659953,8.68132938631706,492.848733745353
"35","1","0","0","0","0","0","3",137543.128110613,16.2250245571205,0.864256734305633,2.60333002691066,0.00429990640154956,16.5950889088487,1.10470993435637,3543.66119955211
"361","1","0","1","0","0","0","2",37413.246391086,1.32366058120313,0.0897274777325305,0.0520168599136477,0.0248477600621377,25.6610591170537,5.25926632541308,550.455773344093
"78","1","1","0","0","0","0","3",24190.96,0,0,0.150128399,0.011623013,2.650115148,2.791319904,2.98
"87","0","0","0","1","0","0","3",7416,0.36,0.0383,0.065,3e-04,0.046,0.03,3.1
"143","1","0","0","0","1","0","2",90000,4.05,0.18,0.216,0.0225,75.29059053,68.23195072,3.442
"98","1","0","0","0","0","0","3",18000,0.81,0.036,0.043,0.0045,1.971896637,2.076964216,3.636
"90","0","0","1","0","0","1","3",3700,0.1665,0.014453118,0.022962093,0.001777736,0.405334309,0.426931533,3.8
"190","0","0","1","0","0","0","4",2292,0.270516213,0.004725565,0.024451016,0,0.829033686,0.079031556,4
"63","0","1","1","0","0","0","3",28000,1.386842088,0.13336506,0.340654184,0.016956952,0.23,0.022,4.1
"311","1","0","0","1","0","0","3",37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,4.153
"81","1","1","0","0","0","0","3",24190.96,1.131205872,0.094495889,0.150128399,0.011623013,2.650115148,2.791319904,4.5
"321","1","0","0","0","0","0","3",37123.7,1.83873963,0.176821588,0.451655133,0.022482315,31.05628106,28.1446941,5.22
"44","1","0","0","1","0","0","3",26207,0.288,0.023,0.023,0.015871102,21.9237834,19.86838592,5.22
"61","1","1","0","0","0","0","3",25000,1.38,0.085,0.085,0.015140136,3.75,18.95331964,5.24
"37","0","0","0","0","0","0","3",18365,1.1,0.11,0.11,0.011121944,0.73,0.73,5.5
"62","0","1","1","0","0","0","2",5315,0.86,0.025315546,0.064663464,0.003218793,0.49,0.49,5.6
"88","1","0","0","0","0","0","3",119600,39.4,0.99,4.99,0.625,13.10215765,13.80027335,5.6
"151","1","0","0","1","0","1","2",90000,4.05,0.18,0.216,0.0225,75.29059053,68.23195072,6.521
"86","1","1","0","0","0","0","2",21600,0.952,0.043,0.26,0.013081077,0.15,16.37566817,7.21
"188","0","0","0","0","1","0","4",2100,0.024,4e-04,4e-04,0,0.759585838,0.072411111,7.287
"60","0","1","0","0","0","1","3",7905,0.47,0.037651814,0.096173976,0.004787311,0.383,0.115,8.921
"91","1","0","1","0","1","0","3",1640,0.057,0.006406247,0.010177793,0.00078797,0.179661694,0.189234517,10.1
