process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
1,0,1,0,0,0,3,28360,2.72,0.13908835,0.388754261,0.042,1.79,3.356659598,329.95
1,0,0,0,0,0,3,2700,0.4,0,0.03701116,0.002743505,1.24,1.24,0.7
1,0,0,0,0,1,3,60900,2.1239,0.2876,0.2876,0.2457,12.18,5.6648,458.08
0,0,1,0,0,0,2,2145,0.2145,0.0086,0.01,0.01056298,0.89,0.075,64.5
0,1,0,1,0,0,4,5500,0.8,0.0054,0.0054,0,2.00E-04,2.00E-04,150
1,1,1,0,0,0,3,24146,0.604,0.112,0.265,0.007,1.5,1.5,197.52
0,0,1,0,0,0,3,1003,0.3731,0.054,0.1735,0,0,0,37.14
1,0,1,0,0,1,3,20430,2.0344,0.381,0.4,0.02,25.43,25.43,400.99
0,0,0,0,0,0,3,2240,0.0961,0.0045,0.0386,0.0014,0.0045,0.0045,2
1,0,0,0,1,1,3,37000,2.2,0.49,1.34,0.123782468,15,3.2,27
0,0,0,1,1,1,3,900,0.0916,0.0145,0.0405,0,0.204516993,0.067803567,16.156
1,0,0,1,0,1,3,56250,2.7,0.11,0.11,0,5.62,2.7,203.45
1,1,0,0,0,0,3,26609,0.665,0.053,0.224,0.008,2.4,2.4,168.46
1,0,0,1,1,0,2,31000,0.899,0.354764786,0.794134801,0.152658457,9.47,9.47,86.16
0,0,1,0,0,1,3,36507,1.223,0.073,0.281,0.009,0.1,0.1,293.93
0,1,1,0,1,0,3,26000,1.1486,0.052,0.4479,0.0165,0.403,0.403,318.26
1,0,0,1,0,0,3,39120,4.5712,0.7119,1.0953,0.0645,20.0432,3.9902,16.15
0,0,0,0,0,0,3,3520,1.32,0.143,0.143,0.003621613,1.266280842,0.334367671,6.2
0,1,0,1,0,0,2,100785,11.07,2.52,3.78,0.302,1.51,1.007,78.05
1,1,0,0,0,1,3,75300,3.3132,0.1054,3.0269,0.021,15.06,1.7319,2
1,0,0,1,1,1,3,101734,8.13,0.644682169,1.990994166,0.340348259,10.8,2.162,450
0,1,0,0,0,1,3,93443,9.3443,0.484,0.487,0.075,13.11,2.588,380.62
1,0,0,0,1,0,3,60000,2,0.1,0.1,0.01,4.507,2,20.2
1,1,1,1,0,0,3,31065,1.6772,0.065,0.2573,8.00E-04,5.98,0.46,385
1,1,1,0,0,0,2,43240,2.11,0.1277,0.4372,0.212933926,5.9949,0.9348,244.05
0,0,0,1,1,0,4,4000,0.24,0.013,0.026,0,0,0,15.5
0,1,1,0,1,0,3,63678,2.471,0.127,0.631,0.019,0.255,0.255,242.1
0,1,1,0,1,1,1,12529,1.25,1.25,3.75,0.061698639,2.520271479,0.706057615,37.96
1,1,0,0,0,1,3,115600,9.24,1.32292933,2.961354291,0.569268312,16,16,220.02
0,0,1,0,0,0,4,34000,1.63,0.069,0.069,0,3.4,1.7,32.81
1,0,0,0,0,1,3,30000,4.35,0.190108175,0.58711763,0.100364163,2.8,2.8,1.5
0,1,0,0,0,1,3,27220,1.1221,0.0544,0.302,0.0069,0.1225,0.1225,124.73
1,0,0,0,0,1,3,43350,2,0.065,0.065,0.145026216,9.850901811,3.265871821,0.5
1,0,0,1,1,1,1,38390,1.84,0.078,0.078,0,3.83,1.8,91.9
