process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,1,0,1,0,1,3,47552,1.7128,0.0903,0.6676,0.14193706,115,115,295.6
1,0,1,0,0,0,3,163000,12.4369,0.5265,2.608,0.0944,20.32645233,13.28180786,1173.104
1,1,1,1,1,1,3,221000,7.9604,0.4199,3.1028,2.2962,0.6,0.442,515
0,1,0,0,1,0,3,15779,0.5684,0.03,0.2215,0.1639,1.967675407,1.285727891,117.92
0,1,0,0,0,0,3,22500,0.8105,0.0428,0.3159,0.067159822,2.805798635,1.833378385,129.7
0,1,1,0,1,0,3,105000,3.7821,0.1995,1.4742,1.091,13.09372696,8.555765797,230
0,1,0,1,1,1,4,295.92,0.0295,0.002813532,0.004176264,0.000148695,0.052842809,0.002001341,2.4
0,1,1,0,1,0,3,88227,2.5356,0.1765,0.9274,0.263347093,11.00209761,7.189043323,25.6
0,1,1,1,0,0,3,12726.9,0.3818,0.0626,0.1746,0.037988282,1.58707194,1.03703215,13
0,1,0,1,1,1,3,17331.3,0.4815,0.0146,0.1938,0.051731867,0.138,0.069,49.5
0,1,1,0,0,1,3,419881,18.1389,1.5788,6.4655,1.253294804,52.36006829,34.21336665,26.2
0,1,0,0,1,1,3,3264.3,0.0813,0.0065,0.0364,0.009743547,0.407065266,0.265986536,44
0,1,0,1,0,0,3,3720,0.1607,0.014,0.0572,0.011103757,0.463892041,0.30311856,18.94
0,1,1,0,1,0,3,34027.2,0.9779,0.0681,0.3576,0.101567142,1.167,0.0681,65.5
1,1,1,1,0,0,3,27247.5,1.14,0.155,0.2997,0.004,10,10,34.12
0,1,0,1,0,0,4,2700,0.27,0.0135,0.0405,0.0014,1.3265,0.018260412,7.12
1,1,1,0,0,1,3,115200,5.379,3.56,3.56,0.0297,30.14,30.14,88
0,1,0,0,1,1,3,64276.46,2.745592716,0.378884098,0.864748839,0.191857582,8.015413498,5.237469886,0.2
0,1,0,1,0,1,2,72828,3.375,0.33,0.608,0.0685,14.27421229,0.145666989,92.81
0,1,0,0,0,0,3,26800,1.12,0.152,0.295,0.0039,3.342017929,2.183757365,10
0,0,0,0,0,1,3,7020,0.325,0.169,0.169,0.0066,0.875409174,0.572014056,200
0,1,0,0,1,1,3,223525,11.2153,1.0045,1.866,0.21,27.87405066,18.21359571,15.1
0,1,0,0,0,0,3,64276.46,2.745592716,0.378884098,0.864748839,0.191857582,8.015413498,5.237469886,50
0,1,0,1,1,1,4,9939,0.46,0.3068,0.3068,0.0028,1.774819822,0.067218606,1.5
1,1,1,1,0,1,3,27666,1.159,0.157,0.3043,0.004,0.155,0.155,219.18
0,1,1,0,0,1,2,15780.6,0.6609,0.0895,0.174,0.0023,3.092981196,0.031563581,68.6
0,1,0,0,0,1,3,144000,6.03,0.816,1.584,0.021,17.95711126,11.73362166,28.5
0,1,1,0,1,1,3,32000,1.34,0.181,0.181,0.0048,19.32,19.32,60
0,1,1,1,0,1,3,37012,1.55,0.21,0.407,0.054,0.0166,0.0019,218.5
1,1,0,1,0,1,3,21000,1.995,0.294,0.42,0.0626825,0.168,0.042,15
0,1,0,1,1,0,3,26000,0.99,0.19,0.21,0.01,1.56,0.052,60
0,1,0,0,1,0,3,32000,1.3,0.25,0.48,0.02,0.544,0.064,36
0,0,0,1,1,0,3,56000,5.04,0.784,1.28,0.167153334,2.632,0.336,20
0,1,0,0,0,0,3,25000,2.3,0.103,0.15,0.074622024,0.225,0.05,20
0,0,0,1,1,0,3,12000,1.08,0.144,0.24,0.035818572,0.168,0.024,10
0,1,1,1,0,1,3,43680,1.769,0.339,0.655,0.021,5.678,0.349,30
0,1,1,1,1,1,3,75000,3.038,0.582,1.125,0.036,2.025,0.15,35
0,1,1,0,1,0,3,3000,0.122,0.023,0.045,0.008954643,0.374106485,0.244450451,156
0,1,0,0,1,0,4,4450,0.18,0.035,0.037,0.002236052,0.022,0.009,1
0,0,1,0,0,0,3,63000,2.393,0.455,0.503,0.028,2.205,0.126,83.8
0,1,1,1,1,0,3,6000,0.54,0.084,0.12,0.017909286,0.748212969,0.488900903,3
0,1,1,0,0,1,2,107932,4.372,0.838,1.619,0.230654241,21.1545598,0.215880285,1183.28
1,0,0,0,1,0,3,9800,0.397,0.076,0.147,0.029251833,1.222081183,0.798538141,160
1,1,0,0,0,1,3,120000,4.558,0.866,0.958,0.053,6.24,0.24,49.3
0,0,1,0,1,1,3,48000,4.32,0.576,0.96,0.143274286,2.4,0.096,15
0,0,0,0,0,1,2,210000,7.98,1.52,1.68,0.09,3.15,0.42,628.44
0,0,0,0,1,1,3,36000,1.458,0.279,0.54,0.017,0.216,0.072,19
0,0,1,0,0,1,3,309000,12.14,1.821431771,4.157157866,0.922328218,39.19,39.19,67.81
0,1,0,0,0,0,3,3200,0.304,0.018862724,0.043051473,0.009551619,0.399046917,0.260747148,14
