sector,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,wastewater,P,NH3-N,N,CrVI,Cr,Ni,Fe,Cu,Zn,MHW,THW
3360,202210,4,1,0,1,1,0,0,0,0,0,0,1,78.36580994,7.538427419,2296.8323,0.067822186,1.063113562,6.730984442,0.008503615,0.039219126,0.036338808,1.675925266,0.086704414,0.264722119,46.362,46.362
3360,202211,4,1,0,1,1,0,0,0,0,0,0,1,64.0722,7.4675,2753.2756,0.0812,1.274383259,5.2654,0.010193515,0.047013037,0.0312,2.008977382,0.103934948,0.317329633,53.852,53.852
3360,202212,4,1,0,1,1,0,0,0,0,0,0,1,164.7189,7.609354839,3663.1143,0.1083,1.695511898,14.4645,0.013562031,0.062548816,0.0744,2.67285766,0.138280961,0.422193374,50.051,50.051
3360,202112,1,0,1,0,0,0,0,0,0,0,0,0,2.718684008,7.470327957,118,0.008575124,0.054617571,0.475629461,0.000436874,0.002014887,0.001878384,0.086100836,0.004454448,0.013600127,0.862,0.862
3360,202002,3,0,1,0,0,0,0,0,0,0,0,0,3.884492574,7.470327957,168.6,0.012252253,0.078038325,0.679585823,0.000624212,0.002878897,0.00268386,0.123022042,0.006364576,0.019432045,0,0.2296
3360,202003,3,0,1,0,0,0,0,0,0,1,0,1,36.47206755,7.470327957,1583.01,0.115038196,0.732713224,6.380730447,0.005860814,0.027030388,0.025199156,1.155071903,0.059757934,0.182450308,0.855,1.3661
3360,202004,3,0,1,0,0,0,0,0,0,1,0,1,30.93309448,7.470327957,1342.6,0.097567471,0.621436867,5.411695882,0.004970739,0.022925313,0.021372187,0.979652394,0.050682562,0.154741779,0.615,1.0476
3360,202005,3,0,1,0,0,0,0,0,0,1,0,1,29.59379701,7.470327957,1284.47,0.093343132,0.594530771,5.177387911,0.004755523,0.021932725,0.020446844,0.937236787,0.04848818,0.148041988,1.525,2.4642
3360,202006,3,0,1,0,0,0,0,0,0,1,0,1,24.50985792,7.470327957,1063.81,0.07730765,0.492395914,4.287960819,0.003938568,0.018164887,0.016934267,0.776228224,0.040158362,0.122609751,1.245,1.769
3360,202007,3,0,1,0,0,0,0,0,0,1,0,1,23.79770095,7.470327957,1032.9,0.075061403,0.478088887,4.163370085,0.003824129,0.017637089,0.016442226,0.753674183,0.038991523,0.11904721,1.52,2.1125
3360,202008,3,0,1,0,0,0,0,0,0,1,0,1,19.81690245,7.470327957,860.12,0.062505387,0.398115804,3.466935693,0.003184442,0.014686817,0.013691826,0.627602128,0.032469153,0.099133397,2.14,2.8457
3360,202009,3,0,1,0,0,0,0,0,0,1,0,1,7.615771176,7.470327957,330.55,0.024021248,0.152998627,1.332367104,0.001223803,0.005644244,0.005261862,0.241191791,0.012478118,0.038097643,2.477,3.0903
