"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Fe","Cu","Cr","Zn","Ni","NH3N","HWsum"
"13","2","1","0","1","1","0","0","0","0","0","0","1",499.9,7.160229167,0.017736477,5423.09,88.52,3.14,3.307971966,0.203085552,0.090743269,0.614143056,0.082318112,2.521683059,44.748
"2259","3","1","0","1","1","0","0","0","0","0","0","1",36.02,7.536071429,0.004636525,1663,7.627548037,0.017396474,1.014395369,0.005311954,0.027826582,0.188328039,0.013247627,4.15524,52.72
"607","2","1","0","1","1","0","0","0","0","0","0","1",48.67629852,7.473833334,0.006846484,2093.375,9.601514354,0.151448423,1.276915156,0.078393355,0.035027944,0.23706627,0.031775736,0.973398611,41.586
"1550","3","0","1","0","0","0","0","0","0","1","0","1",164.37,6.713153504,0.007560035,2311.55,10.60220004,3.894894753,1.409997363,0.08656364,0.038678614,0.261773709,0.035087456,85.61496693,4.6
"1712","3","1","0","1","1","0","0","0","0","0","0","1",0.045807516,8.02,6.44e-06,1.97,0.00903564,0.000142523,0.007,7.38e-05,3.3e-05,0.002,2.99e-05,0.013,58.73
"2858","4","0","1","0","0","0","0","0","0","1","0","1",21.11121905,7.674193548,0.002969363,907.91,4.164237606,0.06568414,0.553806193,0.033999695,0.015191841,0.102817143,0.013781338,0.422169145,3.245
"2757","1","0","1","0","0","0","0","0","0","0","0","0",0.25,7.326,9.81e-06,3,0.013759858,0.00021704,0.001829938,0.000112345,5.02e-05,0.002,4.55e-05,0.00139497,0.1
"211","2","1","0","1","1","0","0","0","0","0","0","1",286.65,7.331666667,0.006687519,2044.77,40.08398956,1.67,1.247267118,0.07657318,0.034214648,0.23156195,0.031037952,3.46,38.36
"1198","3","1","0","1","1","0","0","0","0","0","0","1",186.157299,7.272744071,0.02039173,6234.958,28.59737923,0.451077592,3.803194539,0.233488636,0.541688078,0.706083831,0.782398474,2.899193626,29.358
"4726","2","1","0","1","1","0","0","0","0","0","0","1",400.583,7.984,0.001622305,1870.57,31.084932,2.571771,1.141008746,0.071453,0.005037,0.089255,0.016657665,26.122017,49.75
"5188","3","0","1","0","0","0","0","0","0","1","0","1",17.864001,6.88608871,0.003627038,1109,5.086560898,0.080232305,0.676466905,0.041530175,0.018556632,0.125589774,0.026286,0.515674,2.79
"1193","1","0","1","0","0","0","0","0","0","1","0","1",15.13,6.884193548,0.002875564,879.23,4.032693362,0.063609242,0.53631199,0.032925677,0.288380993,0.099569249,0.013345999,0.408833229,1.76
"5050","2","0","1","0","0","0","0","0","0","1","0","1",14.79494396,7.619354839,0.001433634,636.272,2.918337489,0.046032073,0.38811267,0.023827311,0.002508614,0.072055236,0.007,0.295860169,8.599
"2113","1","0","1","0","0","0","0","0","0","0","0","0",0.906849295,7.473833334,0.000127551,39,0.178878156,0.002821515,0.023789188,0.001460484,0.000652578,0.004416593,0.000591988,0.018134613,0.486
"3769","2","0","1","0","0","0","0","0","0","1","0","1",42.15337805,7.473833334,0.005929013,1812.85,8.314852952,0.131153412,1.105800748,0.067888168,0.030333986,0.205297946,0.027517594,0.842957269,7.662
"2760","1","0","1","0","0","0","0","0","0","0","0","0",0.028,7.294516129,3.27e-06,1,0.004586619,7.23e-05,0.000609979,3.74e-05,1.67e-05,0.000666667,1.52e-05,0.00046499,0.35
"1974","3","1","0","1","1","0","0","0","0","0","0","1",240.0904435,7.473833334,0.033769521,10325.34,47.3584046,0.747002547,6.298242378,0.386666527,0.172771447,1.169303085,0.156730295,4.801180685,49.8316
"2799","1","0","1","0","0","0","0","0","0","0","0","0",0.722898403,7.473833334,0.000101678,31.089,0.14259341,0.002249181,0.018963643,0.00116423,0.000520205,0.003520704,0.000471906,0.014456077,0.04
"4390","3","1","0","1","1","0","0","0","0","0","0","1",975.581,7.225483871,0.012908346,3946.845,18.10267579,0.005,2.407493258,0.147802673,0.066041614,0.446964268,0.000518289,2.841,33.04
"5143","3","1","0","1","1","0","0","0","0","0","0","1",66.23333,7.4654537,0.009572894,2927,21.809139,0.162589,1.785409046,0.109611202,0.048976792,0.331470937,0.057454,0.443389,13.305
"5284","3","1","0","1","1","0","0","0","0","0","0","1",121.091,7.258666667,0.011604905,3548.306,16.27472908,0.256707636,2.164392768,0.132878061,0.059372957,0.401831334,0.05386041,1.649927095,38.97
"1426","3","1","0","1","1","0","0","0","0","0","0","1",72.64095376,7.473833334,0.010217192,3124,14.32859896,0.226010568,1.905574944,0.116988519,0.052273146,0.353780392,0.047419789,1.452629014,20.39
"1028","1","0","1","0","0","0","0","0","0","0","0","0",5.172668377,8.051052632,0.000727553,222.456,1.020321002,0.01609392,0.135693527,0.008330601,0.003722303,0.025192244,0.003376702,0.103439833,0.5
"538","3","0","1","0","0","0","0","0","0","1","0","1",58.90202418,7.473833334,0.005525998,2533.143,11.61856279,0.183264113,1.545164478,0.094861923,0.042386477,0.286868222,0.007481551,1.177886369,2.38
"210","2","1","0","1","1","0","0","0","0","0","0","1",132.68,7.740322581,0.00555012,1697,33.26659247,2.209989,1.035134661,0.063549781,0.028395496,0.192178401,0.025759085,27.31528,36.946
"5257","3","0","1","0","0","0","0","0","0","1","0","1",254.261,7.0375,0.059633745,18233.563,83.63041351,1.31913506,11.12209372,0.682816109,0.305097853,10.153,0.276770712,8.478425939,3.822
"3484","2","1","0","1","1","0","0","0","0","0","0","1",229.525683,6.897,0.009746233,2980,31.135068,0.53536,1.817737943,0.033841,0.049863628,0.337472974,0.045233985,1.385670442,55.008
"2110","1","0","1","0","0","0","0","0","0","1","0","1",9.975342241,7.473833334,0.001403065,429,1.967659716,0.031036662,0.261681066,0.016065325,0.007178355,0.048582519,0.006511872,0.199480745,1.201
"1859","5","1","0","1","1","0","0","0","0","0","0","1",91.6307198,7.43955914,0.012888166,3940.6747,18.07437497,0.285094151,2.403729504,0.147571605,0.065938368,0.446265506,0.059816249,1.832374649,37.1738
"1107","1","1","1","0","0","0","0","0","0","0","0","0",2.9,7.473833334,0.002168864,663.15,3.041616645,0.047976603,0.40450769,0.024833846,0.011096331,0.075099061,0.01006608,0.308358172,0.11
"4729","2","1","0","1","1","0","0","0","0","0","0","1",412.822,7.239354839,0.001224,1669,46.6593,2.54093,1.018055244,0.106973,0.004502,0.004996,0.15449,15.65553,57.77
"4971","1","0","1","0","0","0","0","0","0","1","0","1",9.488759463,6.837142857,0.003412485,408.074,1.871680119,0.029522739,0.248916642,0.015281681,0.008406932,0.046212734,0.006,0.189750362,3.42
"4688","1","0","1","0","0","0","0","0","0","1","0","1",0.563181315,7.473833334,7.92e-05,24.2202,0.111088839,0.001752247,0.014773818,0.000907006,0.000405271,0.00274284,0.000367643,0.011262153,2.59
"572","1","1","0","1","1","0","0","0","0","0","0","1",30.39735583,7.473833334,0.004275489,1307.27,5.995949923,0.094576452,0.797407477,0.048955051,0.06,0.148043052,0.019843299,0.607867583,11.012
"2006","3","0","1","0","0","0","0","0","0","1","0","1",10.58874441,7.100166667,0.001489342,455.38,2.088654735,0.032945164,0.277772317,0.017053211,0.007619765,0.053456323,0.006912299,0.211747183,7.385
"3712","2","0","1","0","0","0","0","0","0","1","0","1",105.89195,7.769354839,0.017494162,5349,24.53382709,0.643326144,3.262778609,0.200311007,0.089503539,0.605752663,0.073536443,0.83967,3.896
"5097","2","0","1","0","0","0","0","0","0","1","0","1",0.515,7.473833334,4.25e-05,13,0.059626052,0.000940505,0.007929729,0.000486828,0.000217526,0.001472198,0.000197329,0.006044871,1.375
"2410","1","0","1","0","0","0","0","0","0","1","0","1",4.142613,7.473833334,0.001265702,387,1.775021702,0.017308,0.236061941,0.014492496,0.006475579,0.043826188,0.005874346,0.256869,1
"4248","1","0","1","0","0","0","0","0","0","1","0","1",0.055832118,8.014111111,4e-06,9,0.041279574,0.000651119,0.005489813,0.000337035,0.00023278,0.001019214,0.000136613,0.000393625,1.095
"4630","3","1","0","1","1","0","0","0","0","0","0","1",112.8526047,7.869032258,0.015873095,4853.344,22.26044167,0.35112261,2.960438771,0.181749528,0.0047,0.549621621,8e-04,2.25675682,22.33
"421","3","1","0","1","1","0","0","0","0","0","0","1",12.79627137,7.292,0.001799838,550.317,2.52409462,0.039813527,0.33568191,0.020608441,0.065,0.062321179,0.008353366,0.255891946,36.68
"1252","1","1","0","1","1","0","0","0","0","0","0","1",29.143,7.297666667,0.00276046,844.036,3.871271879,0.061063078,0.514844383,0.031607721,0.016445644,0.095583671,0.012811783,0.392468368,11.909
"1887","1","0","1","0","0","0","0","0","0","1","0","1",19.73901656,7.9305,0.002776358,848.897,3.893567436,0.061414754,0.517809492,0.031789758,0.032664242,0.096134159,0.012885569,0.394728685,3.345
"1639","4","1","0","1","1","0","0","0","0","0","0","1",405.3395,8.177258065,0.032121586,9821.4687,45.04733873,0.710549205,5.990891378,0.367797399,0.164340289,1.112241693,0.149081937,20.4116,23.516
"3925","3","0","1","0","0","0","0","0","0","1","0","1",623.099661,7.846552419,0.008966737,2741.661935,12.57495978,0.198349734,1.672356686,0.102670604,0.045875574,0.31048215,0.041616207,5.806628,1.247
"2818","4","0","1","0","0","0","0","0","0","1","0","1",36.16145737,7.473833334,0.005086229,1555.1612,7.132932506,0.11251052,0.948615946,0.058238158,0.228161353,0.17611573,0.023606087,0.723134533,5.4668
"788","2","0","1","0","0","0","0","0","0","1","0","1",5.614559761,7.473833334,0.000789707,241.46,1.107485117,0.017468794,0.147285572,0.009042269,0.003195877,0.027344371,0.003665167,0.112276505,2.555
"4338","2","1","0","1","1","0","0","0","0","0","0","1",10.91951187,7.473833334,0.001535866,469.605,2.153899396,0.033974293,0.286449271,0.017585913,0.007857788,0.053180871,0.007128223,0.218361667,12.3
"3601","4","0","1","0","0","0","0","0","0","1","0","1",49.4,7.261071429,0.007227911,2210,10.13642884,0.159885837,1.348053978,0.082760764,0.036979402,0.250273581,0.033546009,1.027628079,4.512
"3588","2","1","0","1","1","0","0","0","0","0","0","1",54.09356043,7.473833334,0.00760844,2326.35,10.67008201,0.073,1.419025055,0.087117875,0.038926259,0.263449749,0.035312108,1.081729675,19.87
"2981","1","0","1","0","0","0","0","0","0","1","0","1",1.023112025,7.473833334,0.000143904,44,0.201811253,0.003183247,0.026839084,0.001647726,2.0328,0.004982822,0.000667884,0.020459564,6.3053
"2679","2","0","1","0","0","0","0","0","0","1","0","1",24.3829,7.170967742,0.001014649,310.2381,1.422944083,0.022444651,0.18923878,0.069,0.00519114,0.035133213,0.004709163,0.2834,1.325
"4680","1","0","1","0","0","0","0","0","0","0","0","0",0.306356944,7.473833334,4.31e-05,13.1752,0.060429628,0.00095318,0.008036598,0.000493389,0.000220457,0.001492038,0.000199989,0.006126337,0.875
"1325","2","1","0","1","1","0","0","0","0","0","0","1",81.68687872,7.437,0.009458892,2892.1428,13.26515823,0.209236503,1.76414688,0.237498356,0.106849277,1.121507213,0.459150028,10.99280782,21.36
"1176","1","0","1","0","0","0","0","0","0","1","0","1",10.906,6.970645161,0.000457612,139.919,0.641755198,0.010122654,0.085347676,0.00523973,0.002341231,0.079,0.002123857,0.065060947,1.851
"618","2","1","0","1","1","0","0","0","0","0","0","1",50.7163839,7.473833334,0.007133428,2181.111,10.00392599,0.157795818,1.330432289,0.08167892,0.036496009,0.247002018,0.033107498,1.014194981,34.05
"3168","2","0","1","0","0","0","0","0","0","1","0","1",146.72,8.605517241,0.01079101,3299.45,15.13332133,0.238703767,2.01259579,0.123558824,0.149056862,1.951732562,0.050082978,1.534211523,7
"2601","4","1","0","1","1","0","0","0","0","0","0","1",245.479,7.096451613,0.005989976,1831.49,8.400347537,0.132501951,1.11717076,0.068586204,0.030645885,0.207408851,0.027800534,0.851624684,44.64
"3228","2","1","0","1","1","0","0","0","0","0","0","1",18.15000732,7.928064516,0.002552859,780.56,3.580131627,0.056470809,0.476125345,0.029230652,0.013060924,0.08839527,0.011848268,0.362952658,12.904
"921","1","0","1","0","0","0","0","0","0","0","0","0",0.502731671,7.473833334,7.07e-05,21.6205,0.099165004,0.001564168,0.013188055,0.000809651,0.000361771,0.002448434,0.000328182,0.010053318,0.152
"3404","3","0","1","0","0","0","0","0","0","1","0","1",47.36,7.575,0.003901764,1193,5.471836926,0.22,0.727705156,0.044675833,0.019962184,0.135102435,0.023361619,0.82,9
"4459","2","0","1","0","0","0","0","0","0","1","0","1",14.06276779,7.473833334,0.001977975,604.784,2.773914018,0.043754025,0.368905646,0.022648138,0.010119706,0.068489347,0.009180131,0.281218561,3.08
"2202","5","0","1","0","0","0","0","0","0","1","0","1",0.268,7.881290323,2.27e-05,6.934,0.031803619,0.006,0.004229596,0.000259667,0.000116025,0.000785248,0.000105253,0.003224241,1.27
"3598","4","0","1","0","0","0","0","0","0","1","0","1",45.1,6.855862069,0.00537024,1642,7.53122903,0.118793006,1.001585806,0.061490124,0.027475194,0.185949873,0.02492423,0.763513713,2.174
"1591","3","0","1","0","0","0","0","0","0","1","0","1",11.78804,7.284666667,0.000876,884.229977,4.055626353,0.063970973,0.539361872,0.033112918,0.014795609,0.040591,0.013421895,0.411158169,8.86
"861","3","0","1","0","0","0","0","0","0","0","0","0",2.0704,7.680833333,0.000209315,64,0.102367,7.9e-05,0.039038667,0.002396692,9e-06,0.007247742,0.000971468,0.00092,0.59
"35","2","1","0","1","1","0","0","0","0","0","0","1",45.87727329,7.473833334,0.006452791,1973,9.049400046,0.142739709,1.203488913,0.073885514,0.033013738,0.223434287,0.029948541,0.91742543,16.24
"5247","3","0","1","0","0","0","0","0","0","1","0","1",0.31846687,7.473833334,4.48e-05,13.696,0.062818339,0.000990858,0.008354275,0.000512892,0.000229172,0.001551017,0.000207894,0.006368504,6.526
"334","2","1","0","1","1","0","0","0","0","0","0","1",18.67388718,7.473833334,0.002626544,803.09,3.683468162,0.058100777,0.489868176,0.030074363,0.004205464,0.090946701,0.002252404,0.373428884,15.787
"1686","3","0","1","0","0","0","0","0","0","1","0","1",22.31,7.07516129,0.002963182,906.02,4.155568895,0.065547405,0.552653332,0.033928917,0.015160216,0.102603109,0.013752649,0.421290313,2.077
"1128","2","0","1","0","0","0","0","0","0","1","0","1",243.741941,7.01516129,0.012137004,3711,17.02094454,0.268477982,2.26363272,0.125849876,0.062095276,0.420255773,0.007422,1.725578191,10.14
"3176","2","1","0","1","1","0","0","0","0","0","0","1",78.03,8.628333333,0.00980265,2997.25,13.74724495,0.216840645,1.828260083,0.112241945,0.05,1.772971381,0.045495826,1.393691521,15.59
"1234","1","0","1","0","0","0","0","0","0","1","0","1",43.455,7.873870968,0.003855044,1178.715,5.406317068,0.085275943,0.718991604,0.044140884,0.022966707,0.133484717,0.017891939,0.548090784,1.16
"2411","3","0","1","0","0","0","0","0","0","1","0","1",48.34616,7.242275043,0.003349041,1024,4.69669825,0.074082849,0.624618676,0.038347069,0.017134347,0.115963867,0.01554349,0.476149843,8.273
"2145","1","1","0","1","1","0","0","0","0","0","0","1",20.36923031,7.473833334,0.002865,876,4.017878581,0.063375563,0.534341758,0.032804719,0.014657899,0.099203465,0.01329697,0.407331311,28.976
"3608","4","1","0","1","1","0","0","0","0","0","0","1",55.3,7.103548387,0.005595908,1711,7.847705767,0.123784917,1.043674369,0.064074057,0.028629754,0.193763845,0.025971594,0.795598029,50.5658
"1635","4","1","0","1","1","0","0","0","0","0","0","1",845.8248,8.157719355,0.016797175,5135.89,23.55637263,0.371563833,3.132785947,0.192330398,0.08593762,0.581618815,0.077958649,1.05,19.3098
"3438","4","1","0","1","1","0","0","0","0","0","0","1",15.03,7.364193548,0.002511781,768,0.948308054,0.06,0.468464007,0.028760302,0.012850761,0.086972901,0.011657618,0.22,51.85
"561","1","0","1","0","0","0","0","0","0","0","0","0",2.425961379,7.473833334,0.00034122,104.331,0.478526587,0.007547986,0.063639737,0.00390702,0.001745746,0.011815065,0.00158366,0.04851288,0.534
"2407","1","1","0","1","1","0","0","0","0","0","0","1",12.16108157,7.473833334,0.001710497,523,2.398801938,0.037837237,0.319019109,0.019585466,0.008751234,0.059227639,0.007938716,0.243189812,31.1
"5055","2","1","0","1","1","0","0","0","0","0","0","1",323.6726782,7.628,0.031363976,13919.8812,63.84519694,1.007055139,8.490837655,0.521276018,0.054881572,1.576370369,0.061,6.472606689,11.182
"2210","5","0","1","0","0","0","0","0","0","0","0","0",178.93,7.446666667,0.005579555,1706,7.82477267,0.066176,1.040624473,0.063886816,0.02854609,0.193197615,0.025895698,0.793273078,0.065
"2493","1","0","1","0","0","0","0","0","0","0","0","0",0.23252546,7.473833334,3.27e-05,10,0.045866194,0.000723465,0.006099792,0.000374483,0.000167328,0.00113246,0.000151792,0.004649901,0.2088
"2973","1","0","1","0","0","0","0","0","0","0","0","0",0.883596749,7.473833334,0.000124281,38,0.174291537,0.002749168,0.023179209,0.001423036,1.7556,0.004303347,0.000576809,0.017669623,0.754
"4947","1","0","1","0","0","0","0","0","0","1","0","1",40.65591408,7.979666667,0.0777,1748.45,8.019474663,0.126494295,1.066518089,0.065476497,0.029256396,0.198004906,0.0029,0.813011907,5.913
"1235","1","0","1","0","0","0","0","0","0","1","0","1",70.204,7.94516129,0.007010574,2143.547,9.831634222,0.155078193,1.307519031,0.080272211,0.02,0.242748047,0.032537307,0.996728093,1.33
"968","1","1","1","0","0","0","0","0","0","0","0","0",1072.249072,7.473833334,0.150815405,46113.19,211.5036511,3.336129402,28.12808561,1.726861007,0.771600991,5.222132667,0.69996086,21.44217596,0.1413
"617","2","1","0","1","1","0","0","0","0","0","0","1",40.92548085,7.473833334,0.005756305,1760.043,8.072647342,0.127333008,1.073589578,0.065910635,0.029450379,0.199317767,0.026716027,0.818402537,30.161
"5152","3","1","0","1","1","0","0","0","0","0","0","1",68.91724,7.583666667,0.014302107,4373,33.39100867,0.202616353,2.667438934,0.163761457,0.073172364,0.495224602,0.020997922,0.0902,17.166
"5173","4","0","1","0","0","0","0","0","0","1","0","1",20.863744,7.0435,0.002809401,859,3.939906051,0.045033,0.523972112,0.032168098,0.014373442,0.097278283,0.013038924,0.988967,9
"3049","2","1","0","1","1","0","0","0","0","0","0","1",15.66,7.607,0.002608449,797.557,3.658090397,0.057700483,0.486493161,0.029867161,0.121852136,0.131962991,0.012106269,0.370856094,11.024
"2459","2","1","0","1","1","0","0","0","0","0","0","1",32.43730169,7.473833334,0.004562415,1395,6.398334042,0.100923413,0.85092095,0.052240392,0.023342202,0.15797812,0.02117497,0.648661163,12.605
"1233","1","0","1","0","0","0","0","0","0","0","0","0",23.641,7.312222222,0.001994459,609.824,2.79703058,0.044118652,0.371979941,0.022836878,0.049,0.069060107,0.009256634,0.283562111,0.887
"4574","2","1","0","1","1","0","0","0","0","0","0","1",0.189740776,7.424666667,2.67e-05,8.16,0.037426814,0.000590348,0.00497743,0.000305578,0.000136539,0.000924087,0.000123862,0.003794319,50.253
"2943","1","0","1","0","0","0","0","0","0","0","0","0",2.1515,7.71,0.000370686,113.3406,0.519850193,0.008199799,0.069135406,0.004244414,3e-04,0.012835366,0.001720418,0.0047,0.168
"594","2","1","0","1","1","0","0","0","0","0","0","1",24.1081467,7.473833334,0.003390891,1036.796,4.755388632,0.075008596,0.632423969,0.038826257,0.01734846,0.117412963,0.014283984,0.482099856,27.0432
"1534","2","0","1","0","0","0","0","0","0","1","0","1",157.085,6.856451613,0.003937517,1203.932,5.521977849,0.087100306,0.734373449,0.045085218,0.020145107,0.13634044,0.018274712,0.473,1.914
"3691","3","1","0","1","1","0","0","0","0","0","0","1",9.473731,7.337419355,0.002331901,713,1.305952,0.009749,0.434915152,0.026700645,0.011930459,0.080744373,0.010822762,0.044424,22.9559
"1114","5","1","0","1","1","0","0","0","0","0","0","1",11.897416,7.657741935,0.002456182,751,2.288306,0.006021,0.458094361,0.02812368,0.012566304,0.085047719,0.011399571,0.113855,24.017
"4916","1","0","1","0","0","0","0","0","0","0","0","0",41.96821802,7.469032258,0.00590297,1804.887,8.278329701,0.130577316,1.100943484,0.067589967,0.030200743,0.204396169,0.027396722,0.839254553,0.146
"2176","3","1","0","1","1","0","0","0","0","0","0","1",246.323,7.853666667,0.003553,12700.4,58.25190083,0.918829902,7.746979519,0.475608509,0.208866,1.453795,0.003237,5.905560027,43.023
"4364","2","0","1","0","0","0","0","0","0","0","0","0",1.200784729,7.342258065,0.000168894,51.641,0.236857612,0.003736047,0.031499935,0.001933868,0.000864097,0.005848135,0.000783869,0.024012553,0.235
