"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","NH3N","HWsum"
"1170","2","0","0","0","0","1","0","1","0","0","1","0",631.85,7.563548387,2131.73,13.77210503,0.701747931,13.337,48.376
"2038","4","0","0","0","0","1","1","1","0","1","0","0",250.798,7.217096774,10506.179,67.87548172,3.458547459,11.225,22.007
"2057","4","0","0","0","0","1","1","1","1","0","0","0",804.620082,6.826206897,22593,145.9627481,0.287287909,1.051649,30.336
"1124","2","0","0","0","0","0","1","1","0","0","0","0",405.36,8.035483871,7114.86,45.96576452,2.34215322,13.89450854,21.2
"776","1","0","0","0","0","1","0","1","0","1","0","0",21.03,6.834,355.17,2.294586342,0.116919034,8.48,7.96
"393","1","0","0","0","0","1","0","0","0","0","0","0",6.3956,8.052666667,113,0.730039859,0.037198668,0.220676087,15.911
"2418","4","0","0","0","0","0","1","0","0","0","0","0",140.58,7.27483871,1925.96,12.44272183,0.634010144,3.761179794,8.497
"1622","2","0","0","0","0","1","1","1","0","0","1","1",703.44,7.289888867,3151.17,20.35822745,1.037339169,7.48,17.3
"1718","2","0","0","0","0","1","1","0","0","0","0","0",116.35,8.149,2410.44,15.57271927,0.793496964,2.85,3.428
"918","3","0","0","0","0","1","0","1","0","1","0","0",91.487,8.447612903,2222.32,3.601110695,0.15973838,0.563456165,15.6
"1822","1","0","0","0","0","0","1","0","0","0","0","0",2.87,7.564535843,88.66,0.572790565,0.029186141,0.173142849,0.42
"1223","4","0","0","0","0","0","1","0","0","1","0","0",3022.674,7.0444,18433.617,119.0909306,6.068194653,41.96615943,30.671
"2005","3","0","0","0","0","0","0","1","0","0","0","0",671.624,7.109032258,10085.385,65.15692958,0.659,68.637,10.184
"1194","4","0","0","0","0","1","1","0","0","0","0","0",191.72,7.918064516,4432.33,28.63519972,1.459086473,5.15,101.517
"2239","1","0","0","0","0","1","0","0","0","0","1","0",8.092357,6.507833333,58,0.374710724,0.019093122,0.113267372,2.48
"1143","4","0","0","0","0","1","1","0","0","0","0","0",1277.265,8.392266667,5478.347,35.39302364,1.80342664,3.054,29.05
"479","3","0","0","0","0","1","1","0","0","0","0","0",29.61,7.612333333,546.1,3.528095283,0.168,1.302,14.94
"888","2","0","0","0","0","0","1","0","0","0","1","0",2e-04,7.564535843,6e-04,3.88e-06,1.98e-07,3.03e-07,1.78
"1986","4","0","0","0","0","0","1","0","0","0","0","0",870.336027,7.651612903,3614.743,23.3531546,1.189943577,9.795057136,60.906
"1344","3","0","0","0","0","0","0","1","0","0","0","0",14.925,7.540333333,480.544,11.202,0.58,2.633,0.838
"813","3","0","0","0","0","0","1","0","0","0","0","0",893.3206,7.681281834,12582.71,81.29097198,4.142124334,26.12456484,6.909
"483","3","0","0","0","0","1","1","1","0","1","1","0",245.13,6.621538462,4782,30.89425314,1.574194952,6.49,0.0106
"2340","2","0","0","0","0","1","0","1","0","0","0","0",3145.751,7.199224581,26570.827,171.6616176,8.746897059,51.88978879,123.955
"1952","2","0","0","0","0","1","1","1","0","1","0","0",18.274,8.0002,497.626,3.214927565,0.163814374,0.137,6.538
"1746","3","0","0","0","0","0","1","1","0","0","0","0",233.24,7.191111111,3417.81,22.0808631,1.125114858,4.4,39.82
"1356","2","0","0","0","0","0","0","0","0","0","0","0",82.963,7.483870968,1663.556,10.74745299,0.537,0.586,18.19
"399","2","0","0","0","0","1","0","0","0","0","0","0",246.8927,7.269677419,4204.35493,27.16236,1.38403896,8.210624733,38.049
"1939","3","0","0","0","0","1","1","1","0","0","0","0",6113.514,7.354516129,51608.878,333.4206904,16.9892169,76.68,20.294
"544","3","0","0","0","0","1","1","1","0","1","1","1",2681.989,7.453666667,36815.3,237.84634,7.93671,71.89607389,79.186
"2411","4","0","0","0","0","0","1","0","0","0","0","0",445.62,6.870666667,7615.29,49.19880741,2.506890647,14.87179115,4.913
"2192","3","0","0","0","0","1","1","1","0","0","0","0",24.919193,7.388064516,932,6.021213704,0.306806712,1.24951,104.016
"2288","5","0","0","0","0","0","1","1","0","0","0","0",377.763,7.641290323,3650,23.5809335,1.20154989,0.689,8.178
"1646","3","0","0","0","0","1","1","0","0","0","0","0",14.29,8.064827586,277.7,1.794089105,0.091416549,1.56,15.646
"369","2","0","0","0","0","1","0","0","0","0","0","0",51.743302,7.148,748,4.832476234,0.24623543,3.321902,6.93
"1995","4","0","0","0","0","0","1","0","0","0","0","0",1208.770088,7.651612903,5020.352,32.43413333,1.652658464,13.60390896,79.105
"271","4","0","0","0","0","0","0","0","1","0","1","1",2642.907001,7.23516129,22269,143.8695364,7.330771097,25.7,132.8264
"197","5","0","0","0","0","0","1","0","0","0","1","0",52785.22,8.004333333,167473.8,1081.969463,55.13099342,1809.292,66.2858
"698","4","0","0","0","0","1","0","1","0","0","0","0",626.91,7.906,9170.137,59.24394267,3.018733453,12.35,60.82
