"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","NH3N","HWsum"
"803","3","0","0","0","0","1","0","0","0","1","1","0",1923.658,7.129666667,38623.057,949.282,3.029,177.922,31.055
"2171","1","0","0","0","0","0","1","0","0","1","1","0",5.5821,6.766666667,87,0.562066086,0.028639682,0.09125,0.571
"2345","3","0","0","0","0","1","1","1","1","0","0","0",46.76,7.172580645,3139.82,20.28490044,1.033602843,6.131709662,56.507
"395","1","0","0","0","0","1","0","0","0","0","0","0",8.014,7.453870968,108,0.69773721,0.035552709,0.210911658,25.241
"213","4","0","0","0","0","1","0","0","0","0","0","0",47.518367,9.7875,8413.207577,54.35377763,16.105669,6.765988221,111.442
"1972","1","0","0","0","0","0","0","1","0","0","0","1",466.664,8.396833334,1675.546,10.82491474,0.551575921,3.770540287,21.64
"243","3","0","0","0","0","0","0","1","0","0","1","0",357.89,7.445652174,1664.112,10.75104504,1.364025335,19.49,10.58
"1523","2","0","0","0","0","1","1","1","0","1","0","0",23.033,7.019516129,1160.46,7.497186325,0.382013859,2.26624577,2.165
"459","2","0","0","0","0","0","0","1","0","1","1","0",163.118,7.564535843,1316.31,8.504059882,0.433318393,2.570603011,1.625
"180","3","0","0","0","0","1","1","0","0","0","1","0",25.47,7.201935484,820.93,5.303642667,0.270243384,14.3,112.22
"1377","3","0","0","0","0","0","0","1","0","1","1","1",114.827551,6.633666667,1150.121039,7.43039116,0.378610358,2.246054961,0.323
"2319","2","0","0","0","0","1","0","1","0","0","0","0",26874.843,7.520645161,38222.68,246.9387603,12.58259095,74.64452621,36.8498
"2221","3","0","0","0","0","0","1","0","0","1","1","1",954.513653,7.342068966,81203,524.6143953,26.73135773,1.20306,2.243
"1286","3","0","0","0","0","0","1","0","0","1","0","1",237.6,7.151290323,2437.22,15.74573226,2.46,4.759612151,58.3985
"1637","3","0","0","0","0","1","1","0","0","0","0","0",106.22,8.522,1248.33,8.064873072,0.410939938,24.56,9.57
"703","5","0","0","0","0","1","1","1","1","0","1","0",1323.837,7.934193548,69682,934.6474,22.93873957,3.80223,2.274
"1791","2","0","0","0","0","1","1","0","0","0","0","0",433.0146,7.381612903,1829.3,11.81824703,0.60219047,3.57241386,15.68
"536","3","0","0","0","0","1","1","1","0","1","1","1",1071.47785,7.559666667,8828.8591,57.03910665,2.53792,17.24175292,50.613
"2237","3","0","0","0","0","0","1","0","0","1","1","1",189.35,7.835,6532,42.20018016,2.150280516,1.239774,40.9
"847","3","0","0","0","0","1","0","0","0","0","0","0",6960.82,7.762797607,44902.94,290.0967786,14.78167743,153.58,6.69
"1981","4","0","0","0","0","0","1","0","0","0","0","0",5440.92,7.987,24913.24,160.9527276,8.201233092,0.36,51.6
"1246","3","0","0","0","0","1","0","0","0","0","0","0",758.6338366,7.564535843,9412.744,60.81131241,3.098597677,18.38201341,0.58
"1057","3","0","0","0","0","1","1","1","0","1","1","0",204.99,7.564666667,1396.9,9.024713973,0.45483178,2.26,33.476
"461","2","0","0","0","0","0","0","1","0","1","1","0",200.684,7.564535843,1557.1,10.05969083,0.512584475,3.040838365,18.4
"1498","2","0","0","0","0","0","0","1","0","0","0","0",275.6065,7.564535843,2299.7643,14.85769562,0.757063436,4.491176876,0.52
"1147","4","0","0","0","0","1","1","0","0","0","0","0",1444.41,8.442483871,6854.3,44.28240889,2.256379017,11.18,42.2
"2130","1","0","0","0","0","1","1","0","0","1","0","0",2.998409,7.564535843,45,0.290723838,0.014813629,0.087879858,7.55
"771","1","0","0","0","0","1","0","1","0","1","0","0",24.344,7.776799821,361.334,2.334409048,0.118948172,4.863,5.24
"2264","3","0","0","0","0","0","0","1","1","0","1","1",321.787,7.564516129,10672.1,197.933,3.513167283,161.887,6.269
"2007","3","0","0","0","0","0","0","1","0","0","0","0",415.594,7.516774194,5634.58,36.40237158,3.195359582,20.609,12.37
"613","5","0","0","0","0","1","1","1","1","1","1","1",11792.91,7.962096774,38093.69,1510.211,40.429,744.577,50.083
"453","2","0","0","0","0","0","0","1","0","1","1","0",138.937381,7.564535843,1123.67809,7.259555702,0.369905558,2.194414903,1.04
"730","3","0","0","0","0","0","1","1","0","1","1","0",39.138,7.538903226,872.61,5.637522843,0.287256014,1.704107614,32.42
"28","3","0","0","0","0","0","0","1","0","0","0","0",8.737,7.509333333,539.255,3.495,0.085,2.006,13.899
"1259","4","0","0","0","0","1","0","1","0","0","0","0",240.535,7.241639785,6354.533,236.237149,12.164,1.77,6.835
"444","3","0","0","0","0","1","1","1","0","0","0","0",428.17511,7.525333333,2300.5732,14.86292154,0.757329719,15.290875,80.686
"1537","4","0","0","0","0","0","0","1","0","0","1","0",83.5387,7.564535843,4440.3129,28.68677348,1.461714377,8.671423684,18.1761
"1522","2","0","0","0","0","1","1","1","0","1","0","0",473.789,7.943965517,9237.709,59.68049358,3.040977598,18.04019005,1.515
"2325","2","0","0","0","0","1","0","1","0","0","0","0",2289.4904,7.444234613,17648.0718,114.0158925,5.809599653,34.46466752,59.452
"778","1","0","0","0","0","1","0","1","0","1","0","0",14.3995,7.288,302.316,1.953121504,0.099519933,6.51,9.02
"2046","4","0","0","0","0","1","1","1","0","1","0","0",2362.95,7.427096774,12033,77.73955418,3.961164337,30.49,115.958
"1784","2","0","0","0","0","1","1","0","0","0","0","0",260.1056,7.61,688.9,4.450658928,0.226780197,1.345342977,7.268
"1633","3","0","0","0","0","1","1","0","0","0","0","0",48.187859,8.595666667,1338.97,8.650455486,0.440777878,0.75,4.059
"298","1","0","0","0","0","1","1","0","0","0","1","0",29.755434,7.927,150.094399,0.969689326,0.049409838,0.210493,11.12
"377","2","0","0","0","0","1","0","0","0","0","0","0",41.2586,7.603870968,452,2.920159436,0.148794671,0.079692,11.14
"1037","3","0","0","0","0","1","0","0","0","0","0","0",4.484,8.356774194,146.241,0.944794328,0.048141331,0.285591962,40.55
"442","3","0","0","0","0","1","1","1","0","0","0","0",138.40192,7.073333333,1835.3084,11.85706447,0.604168385,10.459826,79.01
"2308","1","0","0","0","0","1","0","0","0","0","1","1",0.08,6.528709677,5.486,0.035442466,0.001805946,0.001,1.835
"1250","3","0","0","0","0","1","0","0","0","0","0","0",1119.735955,7.564535843,13893.116,89.75688889,4.573499179,27.13166794,0.74
"1164","2","0","0","0","0","1","0","1","0","0","1","0",332.151,7.268709677,1412.882,9.127966159,0.465109099,10.202,28.441
"315","2","0","0","0","0","0","1","1","0","0","0","0",768.793412,7.540344828,3317.656044,21.43381549,1.092145001,6.479003134,6.893
"1643","3","0","0","0","0","1","1","0","0","0","0","0",68.04,7.740645161,1648.19,10.64818049,0.542570552,14.57,14.23
"1669","3","0","0","0","0","1","1","0","0","1","1","0",293.06,8.672777778,4145.59,26.78270742,1.36469403,1.35,170.9
"2001","3","0","0","0","0","0","0","1","0","0","0","0",151.633,8.62,457.048,2.95277219,0.25919105,12.73,5.046
"1931","3","0","0","0","0","1","1","1","1","1","1","1",1041.672751,7.364193548,4074,115.0055472,3.497369531,59.85555528,125.3099
"2263","3","0","0","0","0","0","0","1","1","0","1","1",127.34,7.815483871,4772.7,80.164,1.571133469,54.755,4.61
"855","3","0","0","0","0","1","0","0","0","0","0","0",6470.36,7.644168667,48568.21,313.7763644,15.98825408,76.85,13.515
"1601","2","0","0","0","0","0","0","1","0","0","1","0",430.18,8.268666667,10996.08,71.0405017,29.7,0.94,0.225
"2409","4","0","0","0","0","0","1","0","0","0","0","0",143.76,7.539795699,4382.25,28.31165639,1.44260055,8.558033476,4.291
"1352","2","0","0","0","0","0","0","0","0","0","0","0",343.584093,7.473930387,15728.77409,101.6162125,0.044,1.09,6.475
"2269","3","0","0","0","0","0","0","1","1","0","1","1",76.614,7.464193548,600,8.704,0.19751505,7.807582314,23.361
"2084","4","0","0","0","0","1","1","1","1","0","0","0",3855.9126,7.295666667,55662,359.6060055,18.32347123,164.9768457,117.72
"242","3","0","0","0","0","0","0","1","0","0","1","0",57.826,7.297666667,235.767,1.523179712,0.13,2.435,8.35
"1877","3","0","0","0","0","1","1","0","1","0","0","0",3.124491,7.564535843,13.030904,0.084186543,0.004289666,0.025447866,126.253
"2105","4","0","0","0","0","1","1","1","1","1","1","0",731.927606,6.987741935,5948,38.4272308,1.958032533,4.892488911,2.37
"1095","2","0","0","0","0","0","1","1","0","0","0","0",370.755,7.815806452,1897,12.25562489,0.624476751,3.704624224,31.564
"822","2","0","0","0","0","0","0","1","0","0","0","0",1829.98,7.15,9230.69,59.63514713,3.038667002,47.82,0.603
"2246","1","0","0","0","0","0","1","0","0","1","1","1",2.777311,8.417666667,60,0.387631783,0.019751505,0.75829,0.45
"1417","3","0","0","0","0","0","0","1","0","0","1","0",231.9156,6.915,1599.7099,10.33497336,0.526611303,31.924,1.1449
"1965","1","0","0","0","0","0","0","1","0","0","0","1",147.778,8.407419355,845.173,5.460265289,0.27822398,1.781,3.254
"410","2","0","0","0","0","1","0","0","0","0","0","0",140.3787,7.383225806,3775.37,24.39089011,1.24282066,7.372866186,99.901
"1785","2","0","0","0","0","1","1","0","0","0","0","0",493.8168,7.443870968,1146.7,7.408289436,0.377484181,2.239374063,7.336
"1838","2","0","0","0","0","1","1","1","0","1","1","0",4.46,7.960333333,175.989,0.46,0.00305494,0.03,0.653
"2317","1","0","0","0","0","1","0","0","0","0","1","1",0.129,6.477419355,14.522,0.093819813,0.004780523,0.012,28.92
"810","3","0","0","0","0","0","1","0","0","0","0","0",1610.454744,7.666774194,18807.62,121.5071881,6.191313355,61.692009,6.133
"1066","3","0","0","0","0","1","1","1","0","0","0","0",638.97,6.923,4185.81,27.04254993,1.377934122,52.83,0.548
"2178","1","0","0","0","0","0","1","0","0","1","1","0",18.20714,7.042,365,2.35809335,0.120154989,0.014209,1.655
"1913","1","0","0","0","0","0","0","1","0","0","0","0",16.52227411,7.564535843,205,1.324408594,0.067484309,0.400341574,4.14
"1329","3","0","0","0","0","1","1","0","0","0","0","0",32.9459,7.069032258,5648.545,36.49259288,0.036835812,5.7355,115.674
"804","3","0","0","0","0","0","1","0","0","0","0","0",1369.1,7.681281834,16056.36,103.7325911,5.285621259,33.33665148,0.829
"1651","3","0","0","0","0","1","1","0","0","0","0","0",48.51,7.815666667,1031.48,6.663907201,0.339554707,1.62,19.388
"1639","3","0","0","0","0","1","1","0","0","0","0","0",162.84,8.5,2537.55,16.3939172,0.835340527,1.05,11.688
"2008","3","0","0","0","0","0","0","1","0","0","0","0",515.368,8.002258065,4143.887,26.77170514,1.416,41.6,13.094
"25","4","0","0","0","0","1","0","0","0","0","1","0",2.83,7.717058824,514.95,3.326849782,0.169517292,1.005638505,14.38
"2028","4","0","0","0","0","1","1","1","0","1","0","0",836.26,7.299,17872,115.4625872,5.883314969,49.88,0.694
"1929","3","0","0","0","0","1","1","1","1","1","1","1",443.487953,7.364193548,4214,118.9576279,3.617554051,61.91244721,74.4185
"1418","3","0","0","0","0","0","0","1","0","0","1","0",272.2611,6.873333333,2206.6975,14.25643479,0.726426613,40.7246,1.2446
"1864","2","0","0","0","0","0","1","1","0","0","1","0",1373.763743,7.025862069,5785.07,37.3746167,1.904397321,11.29758063,12
"1648","3","0","0","0","0","1","1","0","0","0","0","0",40.22,7.635806452,1068.75,6.904691144,0.351823684,0.44,17.603
"2342","2","0","0","0","0","1","0","1","0","0","0","0",26208.484,8.007857143,32691.517,211.2045173,10.76177772,63.84279693,160.8122
"292","1","0","0","0","0","1","1","0","0","0","1","0",53.648918,7.476785714,452.682958,2.924571706,0.149019495,2.950018,8.511
"432","3","0","0","0","0","1","1","1","0","0","0","0",281.12824,7.76,2220.447,14.34526385,0.730952835,6.995336,46.23
"48","4","0","0","0","0","1","0","1","0","0","0","0",429.708199,7.564535843,3300,21.31974809,1.086332777,6.444522898,4
"738","3","0","0","0","0","0","1","1","0","1","1","0",50.161,8.005387097,1072.161,6.92672801,0.352946557,2.093807914,138.02
"1113","3","0","0","0","0","0","1","0","0","0","0","0",2953.7904,7.612,8102.6614,98.49081003,2.184550164,40.789,43.91
"2088","4","0","0","0","0","1","1","1","1","0","0","0",7046.201,7.295666667,24261,156.7389117,7.986521065,71.90728419,148.15
"493","3","0","0","0","0","1","1","1","0","1","1","0",677.19,8.294516129,13217.44,85.39166401,4.351072214,10.13,0.1235
"659","2","0","0","0","0","1","0","1","0","0","0","0",158.332259,7.564535843,944.7581,6.103637788,0.311006573,1.845004609,86.116
"1903","2","0","0","0","0","1","1","1","0","0","0","1",300.5095116,7.564535843,2310,14.92382366,0.760432944,4.511166029,76.4925
"43","2","0","0","0","0","0","1","0","0","0","0","0",231.517,8.383666667,3202.372,20.6890195,1.054194445,0.417,14.7724
"667","2","0","0","0","0","1","0","1","0","0","0","0",182.384823,7.564535843,753.105727,4.865461935,0.247916193,1.470729425,173.378
"1991","4","0","0","0","0","0","1","0","0","0","0","0",8593.579,7.710322581,27980.361,180.767954,9.210904024,128.38,69.785
"853","3","0","0","0","0","1","0","0","0","0","0","0",5026.21,7.971612903,50144.5,323.9600328,16.50715574,92.2,12.425
"2351","3","0","0","0","0","1","1","1","1","0","0","0",190.76,8.047096774,6474.41,41.82811826,2.131322363,12.64378288,100.612
"370","2","0","0","0","0","1","0","0","0","0","0","0",47.446276,7.600322581,466,3.010606852,0.153403356,0.1864,9.1
"1895","2","0","0","0","0","1","1","1","0","0","0","1",13.04336,7.564535843,114,0.736500389,0.03752786,0.222628973,58.82
"1923","3","0","0","0","0","1","1","1","1","1","1","1",9326.217196,7.503870968,146247,2753.691891,28.294329,1473.381425,13.4795
"807","3","0","0","0","0","0","1","0","0","0","0","0",718.3,7.681281834,9786.03,63.2229377,3.221480348,20.31802174,4.898
"2328","2","0","0","0","0","1","0","1","0","0","0","0",13951.21,7.785172414,27219.0176,175.8492723,8.960276057,53.15563097,63.39
"137","4","0","0","0","0","1","1","0","0","0","1","0",1966.273,7.179966032,38173.452,286.9375383,16.023,35.291,60.234
"2324","2","0","0","0","0","1","0","1","0","0","0","0",12356.31,7.942258065,21916.35,141.5912306,7.214681626,42.8001271,55.5502
"2240","1","0","0","0","0","1","0","0","0","0","1","0",33.782218,5.328225806,257,1.660356139,0.08460228,0.501891632,7.34
"695","4","0","0","0","0","1","0","1","0","0","0","0",650.191,7.5653768,7248.895,46.83170162,2.386276436,1.644,33.22
"649","5","0","0","0","0","1","1","1","0","1","0","1",47791.65,9.598833333,66333.42,910.54,43.929,47.011,68.887
"215","4","0","0","0","0","1","0","0","0","0","0","0",1169.720122,9.595652174,10954.43502,70.77145307,9.270365,8.809669515,116.44
"1729","2","0","0","0","0","1","1","1","0","0","0","0",16.78,7.564535843,340.32,2.198647476,0.112030537,1.82,8.852
"1413","3","0","0","0","0","0","0","1","0","0","1","0",656.1331,7.324274194,5772.1023,37.29083848,1.900128462,72.4854,0.2835
"334","3","0","0","0","0","0","0","1","0","0","1","0",77.2937,7.14,2739,17.69539092,4.71482,1.41905,4.491
"1048","3","0","0","0","0","1","1","1","0","1","1","0",132.4481,7.435666667,867.2696,5.60302103,0.28238369,0.6835,15.295
"757","3","0","0","0","0","0","1","1","0","1","1","0",1337.112,7.272258065,7031.6,45.42786081,2.314744714,6.4388,37.16
"1173","2","0","0","0","0","1","0","1","0","0","1","0",457.023,7.43,1479.466,9.55813407,0.487028003,8.721,67.226
"770","1","0","0","0","0","1","0","1","0","1","0","0",31.898,6.900625,285.679,1.845637671,0.09404317,5.964,5.13
"1680","3","0","0","0","0","1","1","0","0","0","0","0",56.9186,7.564535843,790.6952,5.108309843,0.260290337,7.3165,85.181
"2131","1","0","0","0","0","1","1","0","0","1","0","0",0.679653,7.564535843,9,0.058144768,0.002962726,0.017575972,16.5
"1187","3","0","0","0","0","1","0","0","0","0","0","0",2612.9862,7.301129032,135875.423,26.71542,44.72906838,9.611732,84.382
"504","3","0","0","0","0","1","1","1","0","1","1","0",814.87,8.084333333,11644.24,75.22795864,3.833187752,50.48,1.1523
"386","1","0","0","0","0","1","0","0","0","0","0","0",9.4229,7.607241379,204,1.317948064,0.067155117,0.398388688,6.405
"1968","1","0","0","0","0","0","0","1","0","0","0","1",369.133,8.396833334,1824.008,11.7840579,0.600448387,4.104629564,7.7
"661","2","0","0","0","0","1","0","1","0","0","0","0",67.672086,7.564535843,541.650674,3.49935028,0.178306934,1.05778187,112.532
"1159","2","0","0","0","0","1","0","1","0","0","1","0",450.264,7.587096774,1733.872,11.2017316,0.570776359,15.96,16.609
"1050","3","0","0","0","0","1","1","1","0","1","1","0",228.48,8.353870968,1516.88,9.799848329,0.493897366,17.99,17.583
"2012","3","0","0","0","0","0","0","1","0","0","0","0",272.453,6.976774194,5168.418,33.39071812,2.931,10.247,17.235
"2217","3","0","0","0","0","0","1","0","0","1","1","1",4610.602571,6.825333333,43504,281.0588852,14.32115792,32.98691826,2.147
"2386","1","0","0","0","0","0","1","0","0","0","1","0",46.9,7.564535843,494.28,3.193310632,0.162712899,0.965272357,2.502
"753","3","0","0","0","0","0","1","1","0","1","1","0",504.1672,8.024516129,8156.93,52.69808873,2.685194067,9.7729,33.76
"44","2","0","0","0","0","0","1","0","0","0","0","0",28.139,8.019032258,314.459,2.031571717,0.103517309,0.023,15.21
"691","4","0","0","0","0","1","0","1","0","0","0","0",72.74,7.917193549,120.94,0.781336465,0.03981245,0.040469215,29.302
"1977","4","0","0","0","0","0","1","0","0","0","0","0",8974.913,7.68483871,34654.174,223.8843212,11.40786821,115.044,29.25
"1251","3","0","0","0","0","1","0","0","0","0","0","0",1421.234413,7.564535843,17633.956,113.9246969,5.804952848,34.43710098,1.54
"1189","3","0","0","0","0","1","0","0","0","0","0","0",403.46495,7.510666667,34621.21099,2.36477,11.39701706,1.692941,130.943
"1129","4","0","0","0","0","1","1","0","0","1","0","0",38.031,7.564535843,1589.251,10.26740333,0.523168319,3.103625594,1.928
"2282","3","0","0","0","0","0","0","1","1","0","1","1",0.2222,7.074047619,516.398,2.9888,0.1402,4e-04,15.559
"1270","4","0","0","0","0","1","0","1","0","0","0","0",360.404,7.241639785,7200.822,267.698926,15.281,1.069,14.449
"2420","4","0","0","0","0","0","1","0","0","0","0","0",728.656,7.539795699,8277.311,53.47581376,2.724822499,16.16464251,9.374
"875","1","0","0","0","0","1","1","1","0","0","0","0",38.102157,7.564535843,505.651524,3.266776701,0.16645631,0.987479644,4.019
"587","2","0","0","0","0","0","1","0","1","0","0","0",326.62794,7.179193548,4320.7705,27.91446625,1.422362005,8.437971038,24.295
"1487","2","0","0","0","0","0","0","1","0","0","0","0",318.72,6.785925926,3753.24,24.24791858,1.235535647,7.329648825,0.019
"1875","3","0","0","0","0","1","1","0","1","0","0","0",88.1397,7.564535843,704.1165,4.548965578,0.231789343,1.375059063,123.023
"542","3","0","0","0","0","1","1","1","0","1","1","1",2691.474331,7.616451613,48370.94916,312.5019549,3.611532,94.4629362,68.317
"551","3","0","0","0","0","1","1","1","0","1","1","1",23775.4,7.622,109640.66,708.336743,19.2322,214.11568,152.689
"404","2","0","0","0","0","1","0","0","0","0","0","0",834.532,7.241,4156.68,26.8543547,1.368344766,8.117521042,56.656
"716","5","0","0","0","0","1","1","1","1","0","1","0",2116.31,8.008064516,86369,975.121,28.43196232,4.31451,98.528
"2002","3","0","0","0","0","0","0","1","0","0","0","0",446.11,7.457741935,7154.716,46.22325539,5.8,1.345,7.106
"1080","3","0","0","0","0","1","1","1","0","0","0","0",1151.14,7.066666667,7936.04,51.27102232,2.612478901,130.76,22.956
"1422","3","0","0","0","0","0","0","1","0","0","1","0",335.9893,6.798,3713.6177,23.99193754,1.222492312,43.2208,2.1294
"2009","3","0","0","0","0","0","0","1","0","0","0","0",435.86,7.792333333,4908.993,31.7146952,1.616,27.084,13.769
"2220","3","0","0","0","0","0","1","0","0","1","1","1",1015.513439,7.389677419,42198,272.6214333,13.8912335,31.99664346,2.23
"1983","4","0","0","0","0","0","1","0","0","0","0","0",3001.86,7.719090909,11227.708,72.53694128,3.696068853,27.397,55.93
"1749","3","0","0","0","0","0","1","1","0","0","0","0",613.3,7.526290322,4968.23,32.0973976,1.635500332,9.315985738,57.21
"2338","2","0","0","0","0","1","0","1","0","0","0","0",4205.328,6.925681,25966.877,167.7597807,8.548081701,50.71034346,109.922
"1416","3","0","0","0","0","0","0","1","0","0","1","0",584.0167,6.999677419,4228.4895,27.31828211,1.391983861,59.0824,0.4698
"2125","4","0","0","0","0","1","1","1","1","1","1","0",779.731676,7.096451613,5055,32.65797776,1.6640643,4.15795754,10.991
"1916","3","0","0","0","0","1","1","1","1","1","1","1",740.219855,7.036,2781,78.50525942,2.387379643,40.85868906,6.415
"1997","4","0","0","0","0","0","1","0","0","0","0","0",919.9477446,7.651612903,3820.794,24.68435321,1.257773866,10.35340425,80.376
"41","2","0","0","0","0","0","1","0","0","0","0","0",204.955,8.111405828,5610.175,36.24470235,1.84682333,8.934,11.467
"860","3","0","0","0","0","1","0","0","0","0","0","0",3945.11,7.42,32130.53,207.5802441,10.57710542,108.42,22.5155
"1627","2","0","0","0","0","0","1","0","0","0","0","0",52.114,6.884516129,319.337,2.063086181,0.1768,3.5849,0.135
"451","2","0","0","0","0","0","0","1","0","1","1","0",178.637,7.564535843,1090.04,7.042235821,0.358832176,2.128723558,0.88
"1742","3","0","0","0","0","0","1","1","0","0","0","0",731.12,7.526290322,4280.1,27.65171328,1.408973612,8.025665188,16.31
"1768","2","0","0","0","0","1","1","0","0","0","1","0",2.994,8.043333333,204.248,1.319550275,0.067236757,0.126,0.7404
"1411","3","0","0","0","0","0","0","1","0","0","1","0",393.402,7.143333333,3750.2696,24.22872823,1.234557815,55.4562,0.1197
"380","2","0","0","0","0","1","0","0","0","0","0","0",47.82595,8.069354839,940,6.072897941,0.309440246,0.247833,12.5
"462","1","0","0","0","0","0","1","1","0","0","0","0",76.8397,8.212903226,728,4.70326564,0.239651595,1.421700809,1.155
"1014","3","0","0","0","0","1","1","1","0","0","0","0",715.663543,8.367096774,2332,15.06595532,0.767675163,29.924955,49.328
"977","1","0","0","0","0","0","1","1","0","0","0","0",143.6,8.175333333,1512.29,9.770194498,0.497833393,0.105625022,0.2071
"891","2","0","0","0","0","0","1","0","0","0","1","0",62.9928,7.564535843,314.5153,2.031935445,0.103535842,0.5036,3.345
"2320","2","0","0","0","0","1","0","1","0","0","0","0",2958.606,6.971290323,25881.013,167.2050538,8.51981598,50.54266088,36.868
"2410","4","0","0","0","0","0","1","0","0","0","0","0",186.42,7.458709677,5290.55,34.17975554,1.741605417,10.33183958,4.458
"798","3","0","0","0","0","1","0","0","0","1","1","0",932.608,7.08,43829.049,765.819,1.811,302.469,23.56
"2133","1","0","0","0","0","1","1","0","0","1","0","0",0.766361,7.564535843,40,0.258421189,0.01316767,0.078115429,35.33
