"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","NH3N","HWsum"
"166","3","0","0","0","0","0","0","0","1","1","0","0",393.459344,7.581304348,8542,112.2241248,2.395580603,6.48275544,851.934
"186","2","0","0","0","0","0","0","0","1","1","0","0",549.028,7.239,3927.026,51.59295899,1.101323731,0.351,841.4475
"156","3","0","0","0","0","0","0","0","1","1","0","0",300.958725,7.581304348,5857,76.94880574,1.642579676,4.445036129,663.74
"21","1","0","0","0","0","0","0","1","1","1","0","1",436.8214,7.581304348,34323.5287,450.9398228,9.625940011,26.04905671,0.075
"73","2","0","0","0","0","0","0","0","1","1","1","0",296.474,7.581304348,4349.35,57.14141852,1.219763345,12.568,246.722
"112","3","0","0","0","0","0","0","0","1","1","0","0",21.496,7.581304348,3409.94,44.79952376,0.956308373,0.8064,0.18
"51","2","0","0","0","0","0","1","0","1","1","0","1",378.51,7.676451613,10094.48,132.620485,2.830969385,31.46,688.125
"57","2","0","0","0","0","0","1","0","1","1","0","1",137.66,6.837419355,5584.225,73.36510923,1.566080671,10.68,831.75
"29","1","0","0","0","0","0","0","1","1","1","0","1",396.341,7.581304348,23947.528,314.620741,6.716018914,18.1744284,0.451
"150","3","0","0","0","0","0","0","0","1","1","0","0",276.300604,7.581304348,3515,46.17979378,0.985772163,2.667628819,507.99
"78","2","0","0","0","0","0","0","0","1","1","1","0",2192.836,7.581304348,29820.481,391.779136,8.363072565,47.296,930.954
"88","2","0","0","0","0","0","0","0","1","1","1","0",471.573,7.581304348,15740.582,206.7985294,4.414403292,70.889,1182.224
"188","2","0","0","0","0","0","0","0","1","1","0","0",643.957,7.272,7260.176,95.38362177,2.036096558,0.496,941.886
"189","2","0","0","0","0","0","0","0","1","1","0","0",851.85,7.090333333,10253.654,134.7117005,2.875609299,2.354,1132.309
"192","2","0","0","0","0","0","0","0","1","1","0","1",446.446,8.000645161,12742.046,167.4039991,3.573472049,1.895,0.1182
"37","2","0","0","1","0","0","0","0","1","1","0","0",359.587,7.139666667,21597.137,283.7414888,6.056858168,9.023,661.8894
"80","2","0","0","0","0","0","0","0","1","1","1","0",937.3,7.581304348,17274.284,226.9481857,4.844525835,46.655,956.8515
"113","3","0","0","0","0","0","0","0","1","1","0","0",134.9201,7.581304348,7640.84,100.3847555,2.142852739,4.7885,0.67
"55","2","0","0","0","0","0","1","0","1","1","0","1",677.84,7.493225806,12639.216,166.0530266,3.544633656,24.235,790.5815
"153","3","0","0","0","0","0","0","0","1","1","0","0",720.2328,7.581304348,7910,103.9209584,2.218337927,6.003113501,613.19
"86","2","0","0","0","0","0","0","0","1","1","1","0",873.503,7.581304348,13418.43,176.2902789,3.763162097,27.895,1086.116
"27","1","0","0","0","0","0","0","1","1","1","0","1",753.3418,7.581304348,37769.6922,496.2152481,10.59240717,28.66444364,0.28
"121","2","0","0","0","0","0","0","0","1","0","0","0",233.3332,7.265560274,8286,108.8608169,2.323786101,19.243569,798.417
"184","2","0","0","0","0","0","0","0","1","1","0","0",356.713,7.251290323,4315.727,56.69968219,1.210333867,0.126,814.8625
"50","2","0","0","0","0","0","1","0","1","1","0","1",120.68,7.046206897,4402.646,57.84161718,1.234710063,14.6,681.86
"123","2","0","0","0","0","0","0","0","1","0","0","0",216.491252,6.982142857,7269,95.49955079,2.038571225,21.512805,845.376
"32","2","0","0","1","0","0","0","0","1","1","0","0",170.847,6.996333333,5000.451,65.69553229,1.402362845,3.84,274.374
"60","2","0","0","0","0","0","1","0","1","1","0","1",433.676,8.139,12029.412,158.0414696,3.373615787,5.746,956.1005
"147","3","0","0","0","0","0","0","0","1","0","0","0",2.135376383,8.245971015,19.638,0.258002501,0.005507424,0.032314391,675.084
"114","2","0","0","0","0","0","0","0","1","0","0","0",293.359616,6.838333333,4998.42,65.66884917,1.401793257,1.310044,0.005
"141","3","0","0","0","0","0","0","0","1","0","0","0",240.08,6.949666667,1614.433,21.21029389,0.452763332,3.53,512.057
"163","3","0","0","0","0","0","0","0","1","1","0","0",162.608555,7.581304348,6046,79.43187289,1.69558421,4.588473354,764.402
"47","2","0","0","1","0","0","0","0","1","1","0","0",437.896,7.227741935,10938.175,143.7048836,3.067581346,22.207,1186.227
"26","1","0","0","0","0","0","0","1","1","1","0","1",581.1578,7.581304348,40696.2964,534.6647441,11.41316533,30.88552293,0.194
"22","1","0","0","0","0","0","0","1","1","1","0","1",375.4199,7.581304348,32274.6881,424.022316,9.051348253,24.49413602,0.08
"138","3","0","0","0","0","0","0","0","1","0","0","0",164.33,8.269333333,1231.912,16.18476305,0.345486361,2.09,460.601
"146","3","0","0","0","0","0","0","0","1","0","0","0",274.064,8.245971015,2520.431,33.11322442,0.706848,4.147377159,623.494
"168","3","0","0","0","0","0","0","0","1","1","0","0",415.491109,7.581304348,5728,75.25401388,1.606401978,4.34713453,935.039
