industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,Cr6,water,N,P,Fe,Cu,Cr,Zn,Ni,NH3N,HW17,HWsum
3360,202107,4,1,0,1,1,0,0,0,0,0,0,1,92.24285005,6.681290323,0.012974264,3967,18.1951191,0.286998695,2.419787389,0.148557443,0.066378863,0.44924674,0.060215846,1.844615652,44.91,44.91
3360,202205,4,0,1,1,0,0,0,0,0,1,1,0,319.3737195,7.616129032,0.044920978,13735,62.99721725,0.993679625,8.378063974,0.51435253,0.229824473,1.555433319,0.208486171,6.386638765,213.95,213.95
3360,202005,4,0,1,1,0,0,0,0,0,1,1,0,46.62,7.551785714,0.007299863,2232,10.23733447,0.161477461,1.361473519,2.619367,0.037347523,64.815702,0.033879951,0.46,141.13,141.13
3360,202203,4,0,1,1,0,0,0,0,0,1,1,0,37.19231,7.965806452,0.006711165,2052,9.411742977,0.148455085,1.251677268,0.132983,0.034335626,0.271808,0.031147697,1.086065,153.2285,153.2285
3360,202212,4,0,1,1,0,0,0,0,0,1,1,0,146.91248,7.464193548,0.036368495,11120,51.00320756,0.804493442,6.78296843,0.911885,0.186068303,1.221259,0.16879259,1.941224,288.955,288.955
3360,202202,2,0,1,0,0,0,0,0,0,1,0,1,8.746112,7.018848476,0.000631216,193,0.885217541,0.013962881,0.117725981,0.001840879,0.003229423,0.021856471,2.94E-05,1.475055,3.25,6.25
3360,202001,2,0,1,0,0,0,0,0,0,1,0,1,705.05,7.277619048,0.03986144,12188,55.90171706,0.881759539,7.434426189,0.116252012,0.203938892,1.380241812,0.001853647,16.8,2.5,6.73
3360,202005,2,0,1,0,0,0,0,0,0,1,0,1,8.33,7.019615385,0.000985285,301.26,1.381764956,0.021795116,0.183762326,0.002873489,0.005040912,0.034116479,2.20E-05,1.29,2.7,7.7
3360,202003,2,0,1,0,0,0,0,0,0,1,0,1,18.26174,7.223225806,0.001053116,322,1.476891442,0.023295583,0.196413294,0.003071312,0.005387949,0.0364652,4.90E-05,0.643919,3.1,8.1
3360,202108,2,1,0,1,1,0,0,0,0,0,0,1,9.288,7.401612903,0.001226456,375,1.719982269,0.02712995,0.228742191,0.003576838,0.006274785,0.042467237,5.70E-05,3.39,5.48,11.48
3360,202012,2,1,0,1,1,0,0,0,0,0,0,1,7.885466,6.703,0.000994247,304,1.394332293,0.021993346,0.185433669,0.002899624,0.005086759,0.034426773,4.62E-05,3.206466,5.13,12.145
3360,202208,2,1,0,1,1,0,0,0,0,0,0,1,17.234406,7.291612903,0.004081644,1248,5.724100992,0.090288473,0.761254011,0.006978,0.020882486,0.141330963,0.000189806,6.084847,4.29,14.44
3360,202204,2,1,0,1,1,0,0,0,0,0,0,1,0.207342953,7.473833334,2.92E-05,8.917,0.040898885,0.000645114,0.005439184,0.000333927,0.000149206,0.001009814,0.000135353,0.004146317,0,35.16
3360,202201,2,0,1,1,0,0,0,0,0,1,1,0,0.048900104,7.473833334,6.88E-06,2.103,0.009645661,0.000152145,0.001282786,7.88E-05,3.52E-05,0.000238156,3.19E-05,0.000977874,0,172.287
3360,202105,4,0,1,1,0,0,0,0,0,1,1,0,889.583194,7.638831167,0.022517724,6885,31.57887446,0.498105877,4.199706622,0.284134,0.007071655,0.591413,0.001846381,52.359306,102.14,103.958
3360,202111,4,0,1,1,0,0,0,0,0,1,1,0,983.396006,6.873333333,0.027191337,8314,38.13315356,0.601489072,5.071366864,0.68116,0.008539395,3.004685,0.002229603,39.829215,94.18,110.369
3360,202106,4,0,1,1,0,0,0,0,0,1,1,0,869.343972,7.680621704,0.023090069,7060,32.38153286,0.51076652,4.306452978,0.270519,0.007251399,1.505754,0.001893312,35.791371,171.724,175.126
3360,202110,1,0,1,0,0,0,0,0,0,1,0,1,38.990053,7.615172414,0.002589126,1784,8.182528982,0.129066214,1.088202849,0.032495789,0.000879473,0.181500035,0.000155834,0.329039,9.399,9.399
3360,202009,1,1,0,1,1,0,0,0,0,0,0,1,41.86,6.948666667,0.002230654,1537,7.049633994,0.111196621,0.937537993,0.027996652,0.000757708,0.156370826,0.000134259,0.27,11.1,11.1
3360,202208,1,1,0,1,1,0,0,0,0,0,0,1,21.977954,7.646557377,0.003758,1507.946344,6.916375932,0.109094689,0.919815867,0.028613,0.003481,0.099413,0.000784,1.217162,13.08,13.08
3360,202001,1,1,0,1,1,0,0,0,0,0,0,1,20.02,6.70952381,0.001618204,1115,5.114080614,0.080666384,0.680126781,0.020309868,0.000549671,0.113437522,9.74E-05,0.34,17,17
3360,202107,1,1,0,1,1,0,0,0,0,0,0,1,28.82,7.241290323,0.002384492,1643,7.535815649,0.118865353,1.002195785,0.029927456,0.000809964,0.167155021,0.000143518,0.35,20.872,20.872
3360,202012,1,1,0,1,1,0,0,0,0,0,0,1,37.64,7.197741935,0.002220495,1530,7.017527659,0.110690195,0.933268138,0.027869146,0.000754257,0.155658663,0.000133647,0.27,21.85,22.15
3360,202210,1,0,1,1,0,0,0,0,0,1,1,0,14.417814,7.693870968,0.002607,1460.966772,6.700898517,0.10569588,0.891159307,0.018004,0.000502,0.156694,0.000138,0.40401,15.076,165.076
3360,202009,2,1,0,1,1,0,0,0,0,0,0,1,64.47,7.394230769,0.001834777,561,10.99738266,0.36,0.342198317,0.021008502,0.009387079,0.063530986,0.008515525,6.16595,21,27
3360,202209,2,1,0,1,1,0,0,0,0,0,0,1,115.64821,7.683333333,0.007322757,2239,43.89151475,0.519146,1.365743374,0.083846765,0.037464652,0.253557714,0.033986206,2.154679,58.971,58.971
3360,202201,2,1,0,1,1,0,0,0,0,0,0,1,63.870621,7.876774194,0.004863305,1487,29.14992516,0.18,0.907039034,0.055685636,0.024881616,0.168396749,0.022571455,2.630686,67.056,67.056
3360,202012,2,1,0,1,1,0,0,0,0,0,0,1,142.78,7.952580645,0.004082887,1248.38,24.47221491,0.91,0.761485803,0.046749721,0.020888844,0.141373997,0.018949397,5.87,79.5,87.58
3360,202005,2,1,0,1,1,0,0,0,0,0,0,1,273.07,7.324516129,0.007213554,2205.61,43.23696465,1.22,1.345376169,0.082596366,0.036905945,0.249776431,0.033479373,34.32,90,90
3360,202108,2,0,1,1,0,0,0,0,0,1,1,0,113.002,7.933870968,0.005203442,1591,31.18865564,2.211318,0.970476868,0.05958026,0.026621823,0.180174329,0.024150091,15.38,118.459,160.319
3360,202012,3,1,0,1,1,0,0,0,0,0,0,1,7.81218,7.502903226,0.005975291,1827,8.379753616,0.132177115,1.114431953,0.068418061,0.030570754,0.206900377,0.010638384,0.366552,11,11
3360,202008,3,1,0,1,1,0,0,0,0,0,0,1,24.35,7.302258065,0.008209076,2510,11.51241466,0.181589797,1.53104773,0.093995257,0.04199923,0.28424737,0.014615404,1.78,23.7,23.7
3360,202002,3,1,0,1,1,0,0,0,0,0,0,1,11.81825,7.152490111,0.002930411,896,4.109610969,0.064822493,0.546541341,0.033553685,0.014992554,0.101468384,0.005217292,0.689992,33,33
3360,202112,3,1,0,1,1,0,0,0,0,0,0,1,10.68795,7.270733129,0.00614536,1879,8.618257824,0.135939135,1.14615087,0.070365373,0.031440858,0.212789167,0.01,1.071476,26.48,46.48
3360,202106,3,0,1,1,0,0,0,0,0,1,1,0,27.36026,7.398,0.00730091,2232.32,10.23880218,0.161500612,1.361668713,0.08359661,0.037352877,0.252801231,0.03009,0.740651,97.2,107.2
3360,202211,1,0,1,0,0,0,0,0,0,1,0,1,0.021020302,7.473833334,2.96E-06,0.904,0.004146304,6.54E-05,0.000551421,3.39E-05,1.51E-05,0.000102374,1.37E-05,0.000420351,1.54,1.54
3360,202207,1,0,1,0,0,0,0,0,0,1,0,1,0.041180259,7.473833334,5.79E-06,1.771,0.008122903,0.000128126,0.001080273,6.63E-05,2.96E-05,0.000200559,2.69E-05,0.000823497,1.9,1.9
3360,202205,2,0,1,0,0,0,0,0,0,1,0,1,29.31208975,7.473833334,0.004122843,1260.597,5.781878636,0.091199822,0.768937919,0.047207227,0.021093268,0.142757523,0.019134841,0.586165101,1.68,1.871
3360,202109,2,0,1,0,0,0,0,0,0,1,0,1,24.76621701,7.473833334,0.003483451,1065.097,4.885194547,0.077056075,0.64968699,0.039886082,0.017822014,0.120617937,0.016167309,0.49525954,2.2,2.2
3360,202012,2,0,1,0,0,0,0,0,0,1,0,1,39.16140319,7.473833334,0.005508182,1684.177,7.724678875,0.121844366,1.027312898,0.063069581,0.028180931,0.190726248,0.025564442,0.7831256,3,3
