"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HWsum"
"812","5","1","1","1","1","0","0","0","0","1","1","0",158.7169563,7.493988095,8538,54.40010417,0.850492613,0.514963027,0.065280363,42.43961216,37.395
"1106","5","1","1","1","1","0","0","0","0","1","0","0",9213.893466,7.481774194,35117,223.748941,3.498096635,2.275097981,0.268499707,394.185136,614.272
"289","4","1","1","1","1","0","0","0","1","1","0","1",0.60254,7.493988095,12.3423,0.078639307,0.001229449,0.000744417,9.44e-05,0.024614326,7.1906
"152","5","1","1","1","1","0","0","0","0","1","1","0",1059.933264,7.508784947,45313,288.7130382,4.513746984,2.7330194,0.346456908,12.212029,308.351
"577","4","1","1","1","1","0","0","0","0","1","1","1",3332.795644,7.769666667,9958,63.44767361,0.991942543,0.600609255,0.076137486,48.616795,333.523
"1168","4","1","1","1","1","0","0","0","0","1","1","0",545.9151,7.533,10081.2,64.23264583,1.004214819,0.60803997,0.077079456,20.10500013,129.377
"501","1","1","1","1","1","0","0","0","0","1","0","0",262.186006,7.493988095,5807.1285,37.00028055,0.578463327,0.350252573,0.044400498,11.58119264,7.092
"125","3","0","0","0","1","0","0","0","0","0","0","0",9.8,7.493988095,475.72,3.031063194,0.047387719,0.028692693,0.003637289,0.42,7.199
"452","4","1","1","1","1","0","0","0","1","1","1","1",696.94,7.38,23532.691,149.9391944,8.990028803,0.19960754,0.134677969,457.935,418.17
"936","4","1","1","1","1","0","0","0","0","1","1","1",515.031568,7.770555556,13331,89.3477523,0.743191638,2.734322387,0.000366757,5.814236729,287.03
"945","4","1","1","1","1","0","0","0","0","1","1","0",307.982746,7.493988095,6082,38.75163194,0.605844,0.975206,0.046502128,10.135234,82.9395
"1127","2","1","0","1","0","0","0","0","0","0","0","0",244.754,8.021666667,6245.4,39.79273958,0.622120703,0.483,0.31,12.45524023,5.766
"1053","1","1","1","1","1","0","0","0","0","1","1","0",144.837,6.95,77,0.490607639,0.007670172,0.004644197,0.000588731,0.99099,32.5175
"398","4","1","1","1","1","0","0","0","0","1","0","0",123.722667,6.935806452,6262,39.89850694,0.336251,0.586258,0.047878383,3.444519,113.515
"1143","2","1","0","1","0","0","0","0","0","0","0","0",213.386,7.972903226,6804.31,43.35385017,0.677795197,0.391,0.231,13.56987794,14.494
"730","5","1","1","1","1","0","0","0","0","1","0","0",707.307365,7.493988095,24440,155.7201389,2.434532613,1.474080157,0.186864847,11.468072,266.247
"971","4","0","0","1","0","0","0","0","0","0","0","0",82.9121,7.493988095,694.4159,4.424490196,0.069172592,0.041883171,0.005309408,1.384877967,0.201
"969","4","0","0","1","0","0","0","0","0","0","1","0",22651.1874,7.493988095,570726,2446.974505,9.460234699,21.51939727,4.066238443,1661.798514,345.9
