industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu ,Ni,Zn,HW17,HWsum
2614,202110,2,0,0,0,0,0,1,0,0,0,0,0,140.434,7.834166667,5126.126,33.1174894,1.687478392,1.655,0,0,0,0,0,0,0,6.372
2614,202211,2,0,0,0,0,0,1,0,0,0,0,0,152.329,7.974,1738.937,11.23445418,0.572443715,0.424,0,0,0,0,0,0,0,7.793
2614,202111,2,0,0,0,0,0,1,0,0,0,0,0,204.955,8.111405828,5610.175,36.24470235,1.84682333,8.934,0,0,0,0,0,0,0,11.467
2614,202112,2,0,0,0,0,0,1,0,0,0,0,0,171.229,7.430645161,2487.033,16.06755062,0.818710747,2.433,0,0,0,0,0,0,0,12.59
2614,202209,2,0,0,0,0,0,1,0,0,0,0,0,231.517,8.383666667,3202.372,20.6890195,1.054194445,0.417,0,0,0,0,0,0,0,14.7724
2614,202210,2,0,0,0,0,0,1,0,0,0,0,0,28.139,8.019032258,314.459,2.031571717,0.103517309,0.023,0,0,0,0,0,0,0,15.21
2614,202208,2,0,0,0,0,0,1,0,0,0,0,0,143.061,8.010645161,2189.259,14.14377285,0.720686003,6.363,0,0,0,0,0,0,0,21.965
2614,202211,4,0,0,0,0,1,0,1,0,0,0,0,492.942031,7.564535843,3456,22.32759073,1.137686691,6.749173071,0,0,0,0,0,0,0,2.1
2614,202207,4,0,0,0,0,1,0,1,0,0,0,0,403.476688,7.564535843,3964,25.60953983,1.3049161,7.741239021,0,0,0,0,0,0,0,2.98
2614,202206,4,0,0,0,0,1,0,1,0,0,0,0,429.708199,7.564535843,3300,21.31974809,1.086332777,6.444522898,0,0,0,0,0,0,0,4
2614,202202,4,0,0,0,0,1,0,1,0,0,0,0,771.00495,7.564535843,4045,26.13284274,1.331580632,7.899422765,0,0,0,0,0,0,0,4.24
2614,202109,4,0,0,0,0,1,0,1,0,0,0,0,696.007644,7.564535843,3792,24.49832872,1.248295119,7.405342676,0,0,0,0,0,0,0,9.04
2614,202009,4,0,0,0,0,1,0,1,0,0,0,0,651.334851,7.564535843,4382,28.31004125,1.442518252,8.557545254,0,0,0,0,0,0,0,9.3
2614,202011,4,0,0,0,0,1,0,1,0,0,0,0,801.851,7.564535843,3678,23.76182833,1.210767259,7.182713703,0,0,0,0,0,0,0,29.59
2614,202204,4,0,0,0,0,1,0,1,0,0,0,0,351.494146,7.564535843,3031,19.5818656,0.997780196,5.919196638,0,0,0,0,0,0,0,32.88
2614,202203,4,0,0,0,0,1,0,1,0,0,0,0,738.654957,7.564535843,4226,27.30219862,1.391164339,8.252895081,0,0,0,0,0,0,0,34.44
2614,202212,4,0,0,0,0,1,0,1,0,0,0,0,590.088048,7.564535843,3489,22.54078821,1.148550018,6.8136183,0,0,0,0,0,0,0,38.54
2614,202208,4,0,0,0,0,1,0,1,0,0,0,0,463.261041,7.564535843,3746,24.20114435,1.233152298,7.315509932,0,0,0,0,0,0,0,42.5
2614,202201,4,0,0,0,0,1,0,1,0,0,0,0,910.183695,7.564535843,4001,25.84857943,1.317096195,7.813495793,0,0,0,0,0,0,0,42.78
2614,202205,4,0,0,0,0,1,0,1,0,0,0,0,267.04311,7.564535843,2402,15.5181924,0.790718585,4.690831516,0,0,0,0,0,0,0,44.23
2614,202108,4,0,0,0,0,1,0,1,0,0,0,0,792.149805,7.564535843,3874,25.02809215,1.275288842,7.565479305,0,0,0,0,0,0,0,46.901
2614,202110,4,0,0,0,0,1,0,1,0,0,0,0,484.295368,7.564535843,3539,22.8638147,1.165009606,6.911262587,0,0,0,0,0,0,0,48.55
2614,202107,4,0,0,0,0,1,0,1,0,0,0,0,1104.548196,7.564535843,3797,24.53063137,1.249941078,7.415107104,0,0,0,0,0,0,0,92.64
2614,202002,5,0,0,0,0,1,1,1,0,0,0,0,1209.187857,7.564535843,3802.871,24.56856114,1.251873762,7.426572496,0,0,0,0,0,0,0,70.824
2614,202006,5,0,0,0,0,1,1,1,0,0,0,0,2145.549374,7.564535843,7211,46.58687985,2.373801715,14.08225898,0,0,0,0,0,0,0,250.952
2614,202011,5,0,0,0,0,1,1,1,0,0,0,0,1478.363314,7.564535843,13922,89.94349483,4.583007554,27.18807509,0,0,0,0,0,0,0,275.564
2614,202012,5,0,0,0,0,1,1,1,0,0,0,0,1752.160376,7.564535843,10770,69.57990514,3.545395155,21.03257928,0,0,0,0,0,0,0,287.782
2614,202010,5,0,0,0,0,1,1,1,0,0,0,0,2426.636948,7.564535843,8778,56.71052993,2.889645188,17.14243091,0,0,0,0,0,0,0,304.217
2614,202001,5,0,0,0,0,1,1,1,0,0,0,0,3188.033483,7.564535843,9369.399,60.53128074,3.08432886,18.29736557,0,0,0,0,0,0,0,339.925
2614,202107,5,0,0,0,0,1,1,1,0,0,0,0,3111.436973,7.564535843,31485,203.4097784,10.36460227,61.48660711,0,0,0,0,0,0,0,551.477
2614,202003,5,0,0,0,0,1,1,1,0,0,0,0,2274.746194,7.564535843,7212.198,46.59461956,2.374196086,14.08459853,0,0,0,0,0,0,0,618.917
2614,202004,5,0,0,0,0,1,1,1,0,0,0,0,2438.446797,7.564535843,7804,50.41797397,2.569012423,15.24032021,0,0,0,0,0,0,0,622.24
2614,202008,5,0,0,0,0,1,1,1,0,0,0,0,1929.897384,7.564535843,8286,53.5319493,2.727682847,16.18161113,0,0,0,0,0,0,0,644.08
2614,202108,5,0,0,0,0,1,1,1,0,0,0,0,4337.90031,7.564535843,25675,165.8741007,8.4519982,50.14034103,0,0,0,0,0,0,0,663.89
2614,202007,5,0,0,0,0,1,1,1,0,0,0,0,1684.259931,7.564535843,6809,43.9897469,2.241466631,13.29719891,0,0,0,0,0,0,0,676.372
2614,202005,5,0,0,0,0,1,1,1,0,0,0,0,1750.813899,7.564535843,8116,52.43365925,2.671720249,15.84962056,0,0,0,0,0,0,0,680.078
2614,202212,5,0,0,0,0,1,1,1,0,0,0,0,4726.793881,7.564535843,28504,184.1509393,9.383281663,55.66505475,0,0,0,0,0,0,0,839.993
2614,202201,5,0,0,0,0,1,1,1,0,0,0,0,3973.396422,7.564535843,26225,169.427392,8.633053663,51.21442818,0,0,0,0,0,0,0,882.934
2614,202204,5,0,0,0,0,1,1,1,0,0,0,0,6266.504041,7.564535843,31165,201.3424089,10.25926091,60.86168367,0,0,0,0,0,0,0,1019.951
2614,202207,5,0,0,0,0,1,1,1,0,0,0,0,4633.610954,7.564535843,38682,249.9062108,12.7337953,75.54152568,0,0,0,0,0,0,0,1043.133
2614,202209,5,0,0,0,0,1,1,1,0,0,0,0,2006.00162,7.564535843,10982,70.94953744,3.615183807,21.44659105,0,0,0,0,0,0,0,1051.859
2614,202109,5,0,0,0,0,1,1,1,0,0,0,0,3763.02358,7.564535843,25118,162.2755856,8.268638395,49.05258368,0,0,0,0,0,0,0,1067.271
2614,202211,5,0,0,0,0,1,1,1,0,0,0,0,1928.865464,7.564535843,19871,128.3771862,6.541369279,38.80579228,0,0,0,0,0,0,0,1121.494
2614,202206,5,0,0,0,0,1,1,1,0,0,0,0,2982.555111,7.564535843,37239,240.5836664,12.25877161,72.72351158,0,0,0,0,0,0,0,1127.288
2614,202208,5,0,0,0,0,1,1,1,0,0,0,0,4401.590386,7.564535843,26244,169.5501421,8.639308306,51.25153301,0,0,0,0,0,0,0,1152.661
2614,202112,5,0,0,0,0,1,1,1,0,0,0,0,3865.00231,7.564535843,28058,181.269543,9.236462142,54.79406772,0,0,0,0,0,0,0,1184.009
2614,202203,5,0,0,0,0,1,1,1,0,0,0,0,3367.773756,7.564535843,30211,195.1790635,9.945211981,58.99863069,0,0,0,0,0,0,0,1205.998
2614,202110,5,0,0,0,0,1,1,1,0,0,0,0,2977.504393,7.564535843,26180,169.1366682,8.618240034,51.12654833,0,0,0,0,0,0,0,1382.674
2614,202205,5,0,0,0,0,1,1,1,0,0,0,0,4819.401362,7.564535843,34229,221.137472,11.26790444,66.84532554,0,0,0,0,0,0,0,1436.227
2614,202111,5,0,0,0,0,1,1,1,0,0,0,0,4348.867374,7.564535843,21420,138.3845467,7.051287301,41.83081227,0,0,0,0,0,0,0,1564.493
2614,202008,4,0,0,0,0,0,0,1,0,0,0,0,99.76755,7.564535843,1276,8.243635929,0.420048674,2.491882187,0,0,0,0,0,0,0,1.22
2614,202103,4,0,0,0,0,0,0,1,0,0,0,0,523.603824,7.564535843,10790,69.70911573,3.55197899,21.07163699,0,0,0,0,0,0,0,2.44
2614,202012,4,0,0,0,0,0,0,1,0,0,0,0,893.803325,7.564535843,9865,63.73312574,3.247476621,19.26521769,0,0,0,0,0,0,0,3.55
2614,202108,4,0,0,0,0,0,0,1,0,0,0,0,213.371525,7.564535843,4773,30.83610838,1.571232226,9.321123574,0,0,0,0,0,0,0,118.1
2614,202105,4,0,0,0,0,0,0,1,0,0,0,0,351.496975,7.564535843,11662,75.34269765,3.839034197,22.77455334,0,0,0,0,0,0,0,150.815
2614,202212,4,0,0,0,0,0,0,1,0,0,0,0,622.973018,7.564535843,6530,42.1872591,2.149622132,12.7523438,0,0,0,0,0,0,0,159.87
2614,202107,4,0,0,0,0,0,0,1,0,0,0,0,422.139112,7.564535843,7639,49.35198657,2.514695784,14.91809407,0,0,0,0,0,0,0,200.85
2614,202011,4,0,0,0,0,0,0,1,0,0,0,0,255.529155,7.564535843,6809,43.9897469,2.241466631,13.29719891,0,0,0,0,0,0,0,211.59
2614,202111,4,0,0,0,0,0,0,1,0,0,0,0,733.472086,7.564535843,7834,50.61178987,2.578888175,15.29890678,0,0,0,0,0,0,0,396.74
2614,202201,4,0,0,0,0,0,0,1,0,0,0,0,467.294331,7.564535843,6537,42.23248281,2.151926475,12.766014,0,0,0,0,0,0,0,444.93
2614,202202,4,0,0,0,0,0,0,1,0,0,0,0,382.568731,7.564535843,2662,17.19793013,0.87630844,5.198581804,0,0,0,0,0,0,0,493.45
2614,202204,4,0,0,0,0,0,0,1,0,0,0,0,325.102585,7.564535843,6619,42.76224625,2.178920198,12.92615063,0,0,0,0,0,0,0,515.78
2614,202206,4,0,0,0,0,0,0,1,0,0,0,0,225.29948,7.564535843,4649,30.03500269,1.530412449,9.078965743,0,0,0,0,0,0,0,650.98
2614,202208,4,0,0,0,0,0,0,1,0,0,0,0,126.630065,7.564535843,1813,11.71294039,0.596824644,3.540581823,0,0,0,0,0,0,0,660.41
2614,202209,4,0,0,0,0,0,0,1,0,0,0,0,337.853291,7.564535843,6144,39.69349463,2.022554116,11.9985299,0,0,0,0,0,0,0,692.51
2614,202109,4,0,0,0,0,0,0,1,0,0,0,0,529.93985,7.564535843,7492,48.4022887,2.466304596,14.63101986,0,0,0,0,0,0,0,700.83
2614,202207,4,0,0,0,0,0,0,1,0,0,0,0,287.854994,7.564535843,5692,36.77333519,1.873759445,11.11582556,0,0,0,0,0,0,0,705.58
2614,202106,4,0,0,0,0,0,0,1,0,0,0,0,349.714345,7.564535843,8144,52.61455408,2.680937618,15.90430136,0,0,0,0,0,0,0,720.77
2614,202210,4,0,0,0,0,0,0,1,0,0,0,0,348.518369,7.564535843,6618,42.75578572,2.178591006,12.92419774,0,0,0,0,0,0,0,760.66
2614,202112,4,0,0,0,0,0,0,1,0,0,0,0,826.969289,7.564535843,8401,54.27491022,2.765539898,16.40619299,0,0,0,0,0,0,0,953.52
2614,202205,4,0,0,0,0,0,0,1,0,0,0,0,377.002454,7.564535843,5606,36.21772964,1.845448955,10.94787738,0,0,0,0,0,0,0,1501.98
2614,202212,3,0,0,0,0,1,1,1,0,1,1,0,256.826712,7.123225806,1548,10.00090001,0.50958883,3.023067105,0,0,0,0,0,0,0,0.045
2614,202207,3,0,0,0,0,1,1,1,0,1,1,0,448.141897,6.897741935,3029,19.56894454,0.997121813,5.915290866,0,0,0,0,0,0,0,130.105
2614,202204,3,0,0,0,0,1,1,1,0,1,1,0,1206.991877,6.924333333,5172,33.41385974,1.702579735,10.10032498,0,0,0,0,0,0,0,164.49
2614,202208,3,0,0,0,0,1,1,1,0,1,1,0,536.93296,6.902258065,2186,14.12271798,0.719613167,4.269008199,0,0,0,0,0,0,0,330.243
2614,202203,3,0,0,0,0,1,1,1,0,1,1,0,1418.710815,7.07,6536,42.22602228,2.151597283,12.76406111,0,0,0,0,0,0,0,331
