industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,Cr6,water,N,P,Cu,Cr,Zn,Fe,Ni,NH3N,HW17,HWsum
3340,202007,5,0,0,0,0,0,0,0,0,0,1,0,410.134,7.355263158,0.01557697,2675.516,22.00968724,0.346890649,0.394439466,0.071270583,0.025556761,0,0.061392168,0.64188913,108.79,228.49
3340,202110,3,1,0,1,0,0,0,0,0,0,1,0,8.33016712,7.443790067,0.001806543,310.2936,2.552578676,0.040230725,0.04574521,0.008265623,0.002963951,0,0.007119971,0.074443243,17.47,72.65
3340,202205,3,1,0,1,0,0,0,0,0,0,1,0,46.57791564,7.443790067,0.010101238,1734.9987,14.27267815,0.224949066,0.255783169,0.046217017,0.016572858,0,0.039811136,0.416247485,31.78,85.25
3340,202207,3,1,0,1,0,0,0,0,0,0,1,0,49.99631035,7.443790067,0.010842577,1862.3318,15.32016271,0.241458278,0.274555324,0.049608925,0.017789155,0,0.042732911,0.446796259,30.25,134.37
3340,202110,3,1,1,1,0,0,0,0,0,0,0,0,0.695823573,7.443790067,0.000150902,25.919,0.213218341,0.003360495,0.003821123,0.000690432,0.000247581,0,0.000594735,0.006218286,0,57.26
3340,202204,3,1,1,1,0,0,0,0,0,0,0,0,0.694320193,7.443790067,0.000150576,25.863,0.212757667,0.003353235,0.003812867,0.00068894,0.000247046,0,0.00059345,0.006204851,23.206,170.886
3340,202211,3,0,0,1,0,0,0,0,0,0,0,0,84.44477733,5.752,0.018313331,3145.516,25.87606405,0.407827906,0.463729483,0.083790476,0.030046242,0,0.072176749,0.754647899,66.413,67.913
3340,202206,5,0,1,0,0,0,0,0,0,0,0,0,289.0567,6.704333333,0.024280358,4170.4185,34.30725395,0.540710345,0.614826316,0.1110919,0.039836199,0,0.095694077,1.000534589,0,0.11
3340,202108,5,0,1,0,0,0,0,0,0,0,0,0,307.2042,6.297333333,0.022248577,3821.4379,31.4364231,0.495463706,0.563377653,0.101795731,0.036502706,0,0.087686397,0.91680986,0,1.7
3340,202111,5,0,1,0,0,0,0,0,0,0,0,0,272.6374,6.924,0.018724951,3216.2163,26.4576683,0.416994464,0.474152515,0.085673795,0.030721577,0,0.073799032,0.771609769,0,4.331
3340,202212,5,1,0,1,0,0,0,0,0,1,1,0,763.2137,7.521290323,0.150070055,25776.1828,212.0434794,3.341978437,3.800068392,0.686627763,0.246216334,0,0.59145815,6.184022651,91.14,385.366
3340,202211,5,1,0,1,0,0,0,0,0,1,1,0,836.9692,7.818666667,0.153297987,26330.6156,216.6044285,3.413862722,3.881805962,0.701396783,0.251512324,0,0.604180119,6.317037885,139.06,451.925
3340,202009,5,1,0,1,0,0,0,0,0,1,1,0,796,7.925231419,0.146991459,25247.4,207.6935356,3.273419771,3.722112287,0.67254201,0.241165355,0,0.579324743,6.057161167,139.911,477.314
3340,202207,5,1,0,1,0,0,0,0,0,1,1,0,750.1653,7.65,0.162661821,27938.957,229.8351815,3.622390196,4.118916607,0.744239894,0.26687534,0,0.641084987,6.702898729,110.53,478.275
3340,202010,5,1,0,1,0,0,0,0,0,1,1,0,619.8,7.925231419,0.150606832,25868.38,212.8019243,3.353932149,3.813660616,0.689083719,0.247097009,0,0.593573699,6.206141891,141.162,478.9
3340,202108,5,1,0,1,0,0,0,0,0,1,1,0,1040.82,7.925231419,0.185777039,31909.25,262.4961363,4.137153522,4.704239307,0.850000837,0.304799924,0,0.732187,7.655420755,147.79,497.46
3340,202206,5,1,0,1,0,0,0,0,0,1,1,0,683.1586,7.427,0.16658737,28613.2132,235.3818379,3.709810032,4.21831921,0.762200778,0.273315894,0,0.656556414,6.864661068,170.32,531.51
3340,202012,5,1,0,1,0,0,0,0,0,1,1,0,1214.93,7.925231419,0.187836063,32262.91,265.4054614,4.183006863,4.756377834,0.859421657,0.308178115,0,0.740302053,7.74026813,210.481,520.613
3340,202203,5,1,0,1,0,0,0,0,0,1,1,0,759.72,7.790419355,0.142353794,24450.83,201.140685,3.170141493,3.604677502,0.651322923,0.233556449,0,0.561046714,5.866054246,173.47,566.85
3340,202207,4,1,0,1,0,0,0,0,0,0,1,0,86.95,7.94,0.087567211,15040.6318,123.7292552,1.950074127,2.217373687,0.400653404,0.143669419,0,0.345121088,3.60843219,75.939,416.647
3340,202211,4,1,0,1,0,0,0,0,0,0,1,0,149.43,7.915,0.129956772,22321.5051,183.624148,2.894066562,3.290760569,0.594601817,0.213216953,0,0.512187402,5.355203066,226.068,581.3
3340,202210,4,1,0,1,0,0,0,0,0,0,1,0,146.98,7.957096774,0.146231193,25116.816,206.6193081,3.256489067,3.702860867,0.669063504,0.239918005,0,0.576328374,6.025832462,245.866,646.55
3340,202209,4,1,0,1,0,0,0,0,0,0,1,0,112.84,7.959666667,0.140314296,24100.5238,198.2589494,3.124722985,3.553033412,0.641991442,0.230210294,0,0.553008617,5.782011489,207.828,689.895
3340,202112,2,0,1,0,0,0,0,0,0,1,0,0,20.88195296,7.149677419,0.004528618,777.8399,6.398770526,0.10084985,0.114673489,0.020720154,0.007429994,0,0.01784825,0.18661334,20.86,33.86
3340,202108,2,0,1,0,0,0,0,0,0,1,0,0,37.73721123,7.166666667,0.008183976,1405.6879,11.56365764,0.18225269,0.207234337,0.037444813,0.013427253,0,0.032254798,0.337241782,42.56,66.26
3340,202202,4,1,0,0,0,0,0,0,0,0,1,0,65.22533209,7.443790067,0.014145257,2429.60349,19.98672889,0.315007173,0.358185675,0.064719948,0.023207783,0,0.05574948,0.5828917,17.682,84.742
3340,202207,4,1,0,0,0,0,0,0,0,0,1,0,73.74000991,7.443790067,0.015991814,2746.77,22.59584642,0.356128996,0.404944128,0.073168652,0.026237385,0,0.063027156,0.658983839,19.318,113.698
3340,202112,1,1,1,0,0,0,0,0,0,1,0,0,5.219683529,7.443790067,0.00113198,194.43,1.599446047,0.025208576,0.028663953,0.00517924,0.001857212,0,0.004461375,0.046646144,0.041,0.056
3340,202205,2,0,0,0,0,0,0,0,0,0,1,0,206.4,6.978709677,0.039003499,6699.28,55.11051234,0.86858669,0.98764516,0.17845589,0.063992104,0,0.153721122,1.607239504,13.55,100.955
3340,202012,2,0,0,0,0,0,0,0,0,0,1,0,217.1,7.266129032,0.043894947,7539.44,62.0219488,0.977516574,1.111506225,0.200836131,0.072017385,0,0.172999364,1.808804201,30.87,118.22
3340,202007,2,0,0,0,0,0,0,0,0,0,1,0,38.2,5.673478261,0.008104052,1391.96,11.45072736,0.180472816,0.205210494,0.037079128,0.013296123,0,0.031939799,0.33394829,46.52,192.08
3340,202011,2,0,0,0,0,0,0,0,0,0,1,0,796.4,6.979,0.040260362,6915.16,56.88641325,0.896576339,1.019471391,0.184206517,0.066054208,0,0.158674687,1.659031766,58.56,226.72
3340,202212,2,1,0,1,0,0,0,0,0,0,1,0,8.2763,7.443790067,0.0002,85.6037,0.2602,0.0102,0.021,0.0004,0.022,0,0.0007,0.020537378,1.035,1.035
3340,202205,2,1,0,1,0,0,0,0,0,0,1,0,2.702537091,7.443790067,0.0006,42.3152,0.132579705,0.014271953,0.00773507,0.001,0.013885522,0,0.0042,0.010151936,2.7405,16.9605
3340,202108,2,1,0,1,0,0,0,0,0,0,1,0,15.63069429,7.443790067,0.002,244.7389,0.766802736,0.082544858,0.044737412,0.0026,0.080309849,0,0.0057,0.058715866,10.166,34.092
3340,202210,4,1,1,1,0,0,0,0,0,0,1,0,173.6977602,7.443790067,0.037669405,6470.1347,53.22548666,0.838877146,0.953863284,0.172351901,0.061803288,0,0.148463173,1.552264734,0,123.749
3340,202207,4,1,1,1,0,0,0,0,0,0,1,0,178.6422768,7.443790067,0.03874171,6654.3149,54.74061443,0.862756797,0.981016154,0.177258107,0.063562593,0,0.152689357,1.596451825,30.38,178.384
3340,202106,4,1,1,1,0,0,0,0,0,0,1,0,192.3352922,7.443790067,0.041711281,7164.3713,58.93650854,0.928887516,1.056211509,0.190845025,0.068434696,0,0.164393069,1.718820616,4.208,396.108
3340,202211,4,1,1,1,0,0,0,0,0,0,1,0,163.8238388,7.443790067,0.035528072,6102.3372,50.19986171,0.791190825,0.899640528,0.162554486,0.058290054,0,0.140023723,1.464025599,2.719,141.871
3340,202208,5,0,0,0,0,0,0,0,0,0,1,0,119.1453236,7.443790067,0.025838753,4438.09,36.50920901,0.575414956,0.654287939,0.118222152,0.042393021,0,0.101836045,1.064752268,38.4,654.422
3340,202210,5,0,0,0,0,0,0,0,0,0,1,0,91.75024027,7.443790067,0.019897648,3417.64,28.11464686,0.443109799,0.503847518,0.091039334,0.032645594,0,0.078420884,0.819933787,93.43,730.722
3340,202206,5,0,0,0,0,0,0,0,0,0,1,0,121.1995857,7.443790067,0.026284255,4514.61,37.13868806,0.58533606,0.665568944,0.120260497,0.043123946,0,0.103591866,1.083110355,90.088,906.4
3340,202209,5,0,0,0,0,0,0,0,0,0,1,0,107.6074149,7.443790067,0.023336555,4008.31,32.97369534,0.519692372,0.590927379,0.106773643,0.038287725,0,0.091974348,0.96164277,52.2,935.478
3340,202112,5,0,0,0,0,0,0,0,0,0,1,0,154.6020166,7.443790067,0.033528158,5758.83,47.37405688,0.746653833,0.848998784,0.153404117,0.055008844,0,0.132141635,1.381614005,221.376,956.746
3340,202211,3,0,0,1,0,0,0,0,0,0,1,0,62.39199697,7.443790067,0.013530799,2324.0635,19.11852172,0.301323519,0.342626382,0.061908566,0.022199656,0,0.053327768,0.557571361,19.9,105.58
3340,202206,3,0,0,1,0,0,0,0,0,0,1,0,54.81751213,7.443790067,0.011888139,2041.9186,16.79750364,0.264742378,0.30103101,0.054392771,0.019504584,0,0.046853695,0.489881336,28.17,158.74
3340,202201,3,0,0,1,0,0,0,0,0,0,1,0,60.62710876,7.443790067,0.013148052,2258.3225,18.57771432,0.292799953,0.332934477,0.060157353,0.021571692,0,0.051819281,0.541799288,31.26,166.84
3340,202210,3,0,0,1,0,0,0,0,0,0,1,0,66.77485863,7.443790067,0.014481299,2487.3224,20.4615439,0.322490645,0.366694918,0.066257468,0.023759119,0,0.057073893,0.596739175,34.99,174.02
3340,202110,3,0,0,1,0,0,0,0,0,0,1,0,19.38974308,7.443790067,0.004205006,722.256,5.94151882,0.09364319,0.106479001,0.019239506,0.006899052,0,0.016572826,0.17327808,28.09,202.35
3340,202201,4,1,1,0,0,0,0,0,0,0,1,0,369.5108012,7.443790067,0.080134897,13764.05,113.2276674,1.784560525,2.02917289,0.366647728,0.131475399,0,0.315828748,3.302164546,35.86,362.429
3340,202112,4,1,1,0,0,0,0,0,0,0,1,0,340.0727311,7.443790067,0.073750735,12667.5,104.2070812,1.642388719,1.867513383,0.337437753,0.121001059,0,0.290667403,3.039088741,47.41,386.202
3340,202211,4,1,1,0,0,0,0,0,0,0,1,0,347.0285507,7.443790067,0.075259226,12926.6,106.3385243,1.675982003,1.905711348,0.344339676,0.123476004,0,0.29661269,3.101250011,45.425,429.205
