industry,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,NH3N,Cr6,Cr,Fe,Cu,Ni,Zn,HWsum
3360,2,0,1,0,0,0,0,0,0,1,0,1,55.1782917,7.473833334,2373,10.8840478,0.171678322,1.103421463,0.007761011,0.039706842,1.447480583,0.088864838,0.036020217,0.268732673,10.9
3360,2,0,1,0,0,0,0,0,0,0,0,0,2.078568341,7.201,89.391,0.410002493,0.006467129,0.041565928,0.000292358,0.001495758,0.054526648,0.003347542,0.001356883,0.01012317,0.16
3360,1,0,1,0,0,0,0,0,0,0,0,0,17.68890933,7.473833334,760.73,3.489178965,0.055036178,0.353731904,0.002488004,0.012729113,0.464029458,0.04,0.007765641,0.086149602,0.137
3360,1,0,1,0,0,0,0,0,0,0,0,0,2.16248678,7.473833334,93,0.426555603,0.006728228,0.043244078,0.000304161,0.001556147,0.056728063,0.003482693,1.112545714,0.010531875,0.0215
3360,3,1,0,1,1,0,0,0,0,0,0,1,97.78742883,7.242275043,1389,6.370814325,0.100489334,0.645871223,0.004542791,0.023241805,0.847261075,0.052015702,0.021083895,0.157298644,41.435
2669,2,0,0,0,0,1,1,0,0,0,0,0,14.77482,7.51,239,3.711205781,0.156881284,0.753242125,0,0,0,0.00234405,0.005816024,0,68.1641
3130,2,0,0,0,0,0,0,0,0,0,1,0,0.049389692,7.485,1.6471,0.008967889,5.86E-05,0.000463883,5.33E-05,3.68E-05,0,4.10E-05,4.26E-05,0.000113644,5.508
3360,2,1,0,1,1,0,0,0,0,0,0,1,0.16476467,7.678387097,4,0.018346478,0.000289386,0.004469652,1.31E-05,6.69E-05,0.002439917,0.000149793,6.07E-05,0.000452984,14.34
3360,2,0,1,0,0,0,0,0,0,0,0,0,2.608854455,7.473833334,563.424,2.58421144,0.006073433,0.261986571,0.001842705,0.009427639,0.343676907,0.021099276,0.00855232,0.063805494,0.935
3340,2,0,1,1,0,0,0,0,0,0,1,0,9.331912525,7.443790067,347.608,2.85953938,0.045068676,0.083395426,0.002023789,0.009259606,0,0.051246307,0.007976184,0.003320382,10.22
3340,2,0,0,0,0,0,0,0,0,0,1,0,2.079932341,7.443790067,77.4762,0.637345069,0.010045079,0.018587491,0.00045107,0.002063816,0,0.011421973,0.001777762,0.000740059,0.47
2631,2,0,0,0,0,1,1,1,0,0,0,0,824.544025,7.730333333,5767,113.3303045,5.505615734,4.249648,0,0,0,0,0,0,8.106
3360,3,1,0,1,1,0,0,0,0,0,0,1,19.7732443,8.183,850.369,3.90031894,0.455047414,0.39541315,0.002781173,0.014229021,0.518707381,0.031844881,0.012907912,0.092,12.95
3360,2,1,0,1,1,0,0,0,0,0,0,1,216.020292,7.021612903,2899,31.061959,1.016777,1.348006245,0.009481319,0.048508274,1.768329629,0.032203,0.044004471,0.32830005,83.027
2614,4,0,0,0,0,0,0,1,0,0,0,0,1018.016,7.628387097,85878.262,341.182,10.498,16.415,0,0,0,0,0,0,154.278
3360,2,0,1,0,0,0,0,0,0,1,0,1,13.771923,7.491071429,1435,6.581798817,0.103817274,0.718494,0.004693237,0.024011512,0.875320117,0.053738324,0.079255,0.162507959,1
3982,2,1,1,1,1,0,0,0,0,1,0,0,43.96,7.948421053,502.92,3.20436875,0.050097183,2.977,0,0,0,0.03033324,0.003845257,0,3.659
2614,4,0,0,0,0,0,1,0,0,0,0,0,6489.956,7.658666667,21372.112,138.0751649,7.035522966,60.63,0,0,0,0,0,0,31.61
3360,2,0,1,0,0,0,0,0,0,1,0,1,7.186036579,7.473833334,309.043,1.417462615,0.022358189,0.14370193,0.00101074,0.005171143,0.188509794,0.011573138,0.004691022,0.034997873,1.5565
3130,5,0,1,1,0,0,0,0,0,0,0,0,713.89,7.993225806,59874,45.9659,1.7563,5.5994,1.936304926,1.338338657,0,1.49093328,1.550025344,4.13107958,119.058
3982,1,1,1,1,1,0,0,0,0,1,1,0,144.837,6.95,77,0.490607639,0.007670172,0.99099,0,0,0,0.004644197,0.000588731,0,15.78
2614,3,0,0,0,0,1,1,0,1,0,0,0,1.858235,7.564535843,162.111171,1.047324039,0.05336566,0.316584592,0,0,0,0,0,0,16.169
3360,4,0,1,1,0,0,0,0,0,1,1,0,84.999837,7.5,6550,30.04235697,0.544261,3.537308,0.02142209,0.048859,3.995363599,0.245286427,0.278661,0.741761066,153.02
3982,2,0,0,1,0,0,0,0,0,0,0,0,10.11806167,7.64516129,1044,6.651875,0.103995583,0.358868821,0,0,0,0.062968072,0.007982279,0,6.1
3360,2,0,1,1,0,0,0,0,0,1,1,0,114.7,6.34962963,5389.5,9.89,0.04,2.506064042,0.017626619,0.090181216,3.287482766,0.201827664,0.081808243,0.610339124,139.46
2631,2,0,0,0,0,1,0,0,0,0,0,0,42.18,7.619666667,1124.4,22.09616688,1.073437547,15.67139868,0,0,0,0,0,0,11.29
3130,4,0,0,0,0,0,0,0,0,0,1,0,341.6947478,7.485,11395.2,62.0429143,0.405135987,3.209299668,0.368516917,0.254712173,0,0.283753932,0.295000314,0.786225708,170.84
4419,5,0,1,1,0,0,1,0,0,0,1,0,23.30403257,7.348275862,586.94,10.36901149,0.214150802,0.679810262,0,0.000630543,0,0.016505802,0,0,118.33
2614,4,0,0,0,0,1,0,0,0,0,0,0,465.480372,9.531576087,12065.41844,77.94899448,18.805212,9.703133829,0,0,0,0,0,0,110.233
3360,2,1,0,1,1,0,0,0,0,0,0,1,6.034105449,7.473833334,259.503,1.19024149,0.018774142,0.120666321,0.000848717,0.004342202,0.158291426,0.009717949,0.003939045,0.029387667,51.88
3360,1,0,1,0,0,0,0,0,0,0,0,0,11.53093757,7.690666667,495.9,2.274504553,0.035876646,0.230588581,0.001621865,0.008297776,0.302488673,0.018570617,0.00752736,0.056158674,0.74
3130,4,1,1,0,0,0,0,0,0,0,0,0,5.04,7.485,128.8,0.701271357,0.004579254,0.036274729,0.004165348,0.002879013,0,0.003207272,0.00333439,0.008886713,7.68
3360,3,0,1,0,0,0,0,0,0,1,0,1,47.85813443,7.473833334,2058.189,9.440129565,0.148902838,0.95703747,0.004489895,0.034439185,1.255452429,0.077075699,0.00607879,0.233081598,2.62
3982,4,0,1,1,0,0,0,0,0,0,0,0,125.961504,8.332580645,1757,11.19477431,0.175019386,3.503996075,0,0,0,0.105972129,0.013433778,0,10.881
3360,1,0,1,0,0,0,0,0,0,1,0,1,1373.759,6.736774194,3713.105,29.645,2.438,1.168,0.012143888,0.062130499,2.264916726,0.139049505,0.056361925,0.420494156,4.103
2614,3,0,0,0,0,1,1,1,0,0,0,0,2501.263,7.848387097,16522.434,106.743676,5.439048975,22.093,0,0,0,0,0,0,13.193
2614,1,0,0,0,0,0,0,1,0,0,0,1,243.553,8.406,1151.7,7.440592084,0.379130139,1.571,0,0,0,0,0,0,3.157
3360,2,0,1,1,0,0,0,0,0,1,1,0,13.67875199,7.473833334,588.269,2.698165999,0.042559222,0.27353925,0.001923962,0.003319162,0.35883184,0.02202968,0.008929447,0.06661909,117.34
2614,3,0,0,0,0,0,0,1,0,0,0,0,314.082,7.964193548,4220.567,27.26709856,1.785,1.777,0,0,0,0,0,0,19.561
3982,4,1,1,1,1,0,0,0,0,1,1,0,567.799,7.84483871,7112,45.31430556,0.708445006,14.18350603,0,0,0,0.428954913,0.054377365,0,104.91
3360,2,0,1,0,0,0,0,0,0,1,0,1,25.88659443,7.816,1113.28,5.106191629,0.080541948,0.517664158,0.003641036,0.018628248,0.679077616,0.041690454,0.016898688,0.126074467,4.8
3360,4,1,0,1,1,0,0,0,0,0,0,1,245.479,7.096451613,1831.49,8.400347537,0.132501951,0.851624684,0.005989976,0.030645885,1.11717076,0.068586204,0.027800534,0.207408851,44.64
3360,3,0,1,1,0,0,0,0,0,1,1,0,35.598829,7.048548387,3584,16.43844387,0.240432807,0.915801,0.011721644,0.059970216,2.186165364,0.160891,0.003702107,0.405873536,182.385
3360,1,0,1,0,0,0,0,0,0,1,0,1,0.534738801,7.575,22.997,0.105478486,0.001663753,0.010693377,7.52E-05,0.000384803,0.014027691,0.000861199,0.000349076,0.002604317,3
2669,4,0,0,0,0,1,0,0,0,0,0,0,657.594526,8.198,6069,94.23978194,3.983734365,9.288828338,0,0,0,0.059523173,0.147688071,0,87.662
3360,3,0,1,0,0,0,0,0,0,1,0,1,18.29,7.577916667,1008.14167,4.623962126,0.072935554,0.468775877,0.00013,0.016868994,0.614945425,0.037753201,0.015302774,0.35412,6.882
2631,2,0,0,0,0,0,0,0,0,1,0,0,16.752,7.477,109.755,2.156852362,0.10478045,0.404091034,0,0,0,0,0,0,3.744
4419,2,0,0,0,0,0,0,0,1,1,1,1,131.362,7.073333333,2228.037,39.36099305,0.812921101,1.234,0,0.002393553,0,0.062656382,0,0,0.03
3360,4,0,1,0,0,0,0,0,0,0,0,0,16.387916,6.827419355,2129,8.870833333,0.409423077,0.144347,0.006962997,0.035624048,1.298645664,0.079727451,0.032316495,0.241100658,0.1
3340,3,0,0,0,0,0,0,0,0,1,1,0,190.539,7.327666667,5381.934,44.27358464,0.697787858,1.291192029,0.031333853,0.143364335,0,0.793434677,0.123493411,0.0514087,14.8416
2631,3,0,0,0,0,1,1,1,0,0,0,0,28.52247214,7.544056055,373.57,7.341217592,0.321167653,1.375393262,0,0,0,0,0,0,118.462
2614,5,0,0,0,0,0,1,0,0,0,1,0,28869.6,8.356111111,85491.38,552.3196017,28.14305705,1438.589,0,0,0,0,0,0,97.2835
3130,2,0,0,0,0,0,0,0,0,0,1,0,28.71146552,7.485,957.5005,5.213258342,0.03404222,0.269666705,0.030965243,0.021402611,0,0.023842893,0.024787889,0.066063914,40.42
