"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HWsum"
"74","2","1","0","1","0","0","0","0","0","0","0","0",77.38,6.851935484,0.031927096,5483.83,45.11181514,0.710999055,1.362823975,0.146078648,0.05238202,0.125831508,1.31563813,213.428
"575","4","0","0","0","0","0","0","0","0","0","1","0",118.76,7.443790067,0.02633188,4522.79,23.67,0.586396627,0.666774885,0.120478397,0.043202082,0.103779564,1.085072837,92.3
"347","3","0","1","1","0","0","0","0","0","1","1","1",43.62881458,7.443790067,0.009461673,1625.1465,13.3689973,0.210706318,0.239588146,0.043290766,0.01552354,0.037290477,0.389892594,134.002
"193","2","0","1","0","0","0","0","0","0","1","0","0",25.80459534,7.038333333,0.005596179,961.2053,7.907195482,0.12462386,0.141706237,0.025604654,0.009181516,0.022055737,0.23060495,64.45
"358","2","0","1","1","0","0","0","0","0","0","1","0",9.331912525,7.443790067,0.002023789,347.608,2.85953938,0.045068676,0.051246307,0.009259606,0.003320382,0.007976184,0.083395426,10.22
"24","4","0","1","1","0","0","0","0","0","0","1","0",36.68409584,7.443790067,0.007955589,1366.46,11.24095585,0.177166646,0.189,0.036399857,0.013052544,0.031354678,0.327830527,6.275
"208","4","1","0","0","0","0","0","0","0","0","1","0",74.83318233,7.443790067,0.016228888,2787.49,22.93082272,0.361408497,0.410947297,0.074253354,0.026626346,0.063961514,0.668753067,117.373
"262","4","1","1","1","0","0","0","0","0","0","1","0",175.4332735,7.443790067,0.038045782,6534.7815,53.7572928,0.847258845,0.963393875,0.174073967,0.0624208,0.149946554,1.567774295,173.23
"610","4","0","1","1","0","0","0","0","0","0","1","0",0.165319,8.166428571,2.86e-05,4.91,0.040391298,0.0006366,9.06e-06,0.000130793,4.34e-05,0.000112664,0.001177969,188.73
"28","4","0","1","1","0","0","0","0","0","0","1","0",42.82897586,7.443790067,0.009288214,1595.353,13.12390603,0.206843479,0.185,0.042497125,0.01523895,0.036606837,0.382744767,7.875
"312","2","1","0","0","1","0","0","0","0","0","1","0",4.682560563,7.443790067,0.001015495,174.4225,1.434857677,0.022614529,0.025714336,0.004646279,0.001666099,0.004002284,0.041846099,5.831
"447","3","0","0","0","0","0","0","0","0","1","1","0",584.64,7.286,0.153264536,26324.87,216.5571633,3.413117784,3.880958914,0.701243731,0.251457441,0.604048281,6.315659446,195.647
"139","3","0","0","1","0","0","0","0","0","0","0","0",108.4465429,7.370322581,0.023518534,4039.567,33.23082585,0.523744959,0.59553546,0.107606269,0.038586294,0.092691569,0.969141708,85.34
"483","5","0","0","1","0","0","0","0","0","1","1","0",43.22,7.803225806,0.050123078,8609.19,70.8220692,0.73,1.269214726,0.229332206,0.08223573,0.197545759,1.39,92.856
"475","2","0","1","0","0","0","0","0","0","0","0","0",22.7,7.088333333,0.007702563,1323,10.88343939,0.171531895,0.195044027,0.035242167,0.012637411,0.030357448,0.31740394,98.454
"26","4","0","1","1","0","0","0","0","0","0","1","0",48.52498941,7.443790067,0.010523495,1807.526,14.86931192,0.234352501,0.241,0.048149004,0.017265645,0.041475341,0.433647674,6.4
"102","5","0","0","0","0","0","0","0","0","0","1","0",503.855,7.123870968,0.015100477,2593.673,21.33641942,0.336279398,0.382373715,0.069090443,0.024774989,0.059514205,0.62225399,136.3665
"330","3","0","0","1","0","0","0","0","0","0","1","0",25.28013567,7.443790067,0.005482441,941.6695,7.746487474,0.12209097,0.138826161,0.025084258,0.008994909,0.02160747,0.225918072,115.48
"500","5","0","0","1","0","0","0","0","0","1","1","0",42.49,7.937333333,0.049110974,8435.35,69.39200336,0.485571061,1.243586265,0.224701444,0.080575195,0.19355684,0.98,176.792
"472","2","0","1","0","0","0","0","0","0","0","0","0",162.9,7.337,0.032912011,5653,46.503464,0.732932578,0.833396736,0.15058501,0.053997946,0.129713268,1.356224089,85.417
"382","3","0","1","1","0","0","0","0","0","0","1","0",6.527624595,7.443790067,0.00141563,243.15,2.000233021,0.031525306,0.035846527,0.006477047,0.00232259,0.0055793,0.05833467,16.831
"564","2","0","1","1","0","0","0","0","0","0","1","0",5.42868027,7.443790067,0.001177305,202.215,1.663488054,0.026217931,0.029811661,0.005386617,0.001931575,0.004640009,0.048513861,107.628
"392","2","0","0","0","0","0","0","0","0","1","1","0",24.63761,7.443790067,0.008104284,1392,11.45105641,0.180478003,0.205216391,0.037080194,0.013296505,0.031940716,0.333957887,85.465
"148","5","0","1","0","0","0","0","0","0","0","0","0",465.8204,7.11862069,0.025344369,4353.1741,35.81066248,0.564405292,0.641769165,0.115960157,0.041581897,0.099887571,1.044379901,20.79
"481","5","0","0","1","0","0","0","0","0","1","1","0",69.76,7.825063129,0.065068205,11176.18,91.93898536,0.643343736,1.647654685,0.297711866,0.106755841,0.256447698,2.090035,86.525
"187","2","0","1","0","0","0","0","0","0","1","0","0",19.37257501,7.413103448,0.004201283,721.6165,5.93625808,0.093560276,0.106384722,0.019222471,0.006892943,0.016558152,0.173124656,54.91
"270","4","1","1","1","0","0","0","0","0","0","1","0",178.5585546,7.443790067,0.038723554,6651.1963,54.71495978,0.862352459,0.980556393,0.177175033,0.063532804,0.152617798,1.595703634,232.792
"294","3","0","0","1","0","0","0","0","0","0","1","0",62.71517009,7.443790067,0.013600884,2336.1015,19.21755033,0.302884291,0.344401091,0.062229235,0.022314644,0.053603991,0.560459425,150.8
"424","3","0","0","0","0","0","0","0","0","1","1","0",190.539,7.327666667,0.031333853,5381.934,44.27358464,0.697787858,0.793434677,0.143364335,0.0514087,0.123493411,1.291192029,14.8416
