"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HWsum"
"759","4","0","0","0","0","0","1","0","0","1","1","0",42.71,7.761666667,1200,18.63366919,0.787688456,0.011769288,0.029201794,1.37,6248.161
"760","4","0","0","0","0","0","1","0","0","1","1","0",448.36,6.87,1948,30.24865632,1.278680926,0.019105477,0.047404245,17.27,6453.114
"358","4","0","0","0","0","1","0","1","1","0","1","0",879.8,8.435666667,12673.33,196.792199,8.318863114,0.124296723,0.308403306,85.8,6490.3805
"761","4","0","0","0","0","0","1","0","0","1","1","0",188.0041649,7.5525,1492,23.16786203,0.979359313,0.014633148,0.036307563,7.566739681,6649.859
"359","4","0","0","0","0","1","0","1","1","0","1","0",1971.7,8.309879032,18744.13,291.0599314,12.30377901,0.18383755,0.45613518,54.47,7017.815
"360","4","0","0","0","0","1","0","1","1","0","1","0",1172.1,8.09483871,21926.21,340.4714532,14.39251875,0.215046562,0.533570549,105.97,7407.646
"361","4","0","0","0","0","1","0","1","1","0","1","0",1626.5,8.076451613,17635.37,273.8430422,11.57598113,0.17296312,0.429153696,70.37,7820.765
"263","1","0","0","0","0","0","1","0","0","0","0","0",12.4,7.57516129,856.02,0.543,0.024,0.008395621,0.020831099,0.115,8177
"762","4","0","0","0","0","0","1","0","0","1","1","0",236.99,6.87,1806,28.04367213,1.185471126,0.017712778,0.043948699,12.93,8737.835
"362","4","0","0","0","0","1","0","1","1","0","1","0",1964.6831,7.9532,12922.05,200.6543375,8.482124674,0.126736104,0.314455864,175.3868,9146.09
"363","4","0","0","0","0","1","0","1","1","0","1","0",987.48,8.192,19411.89,301.4289472,12.74210138,0.190386766,0.472385005,93.4,9211.783
"763","4","0","0","0","0","0","1","0","0","1","1","0",246.2199318,7.579677419,1954,30.34182467,1.282619369,0.019164324,0.047550254,9.90979178,9240.126
"364","4","0","0","0","0","1","0","1","1","0","1","0",1257.81,7.858709677,21852.63,339.3288987,14.34422032,0.214324909,0.531779993,86.36,9747.3
