"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","NH3N","HWsum"
"840","5","0","0","0","0","1","1","0","0","0","0","0",23198.433,7.650322581,102736.879,2018.93563,72.425,27.471,417.208
"587","3","0","0","0","0","1","1","1","0","1","0","0",328.8746,6.961,1920.8155,37.74694044,1.516,11.2625,402.667
"935","4","0","0","0","0","1","1","1","0","1","1","1",4209.68,8.046129032,20579.4,437.134,19.64665657,22.15677,121.97
"265","4","0","0","0","0","1","1","1","0","0","1","0",301.6377,7.568387097,5324.6407,104.6372727,3.1142,6.104,305.151
"236","5","0","0","0","0","0","0","1","1","1","0","1",2394.23,8.436451613,15189.73,462.35,21.99,397.97,134.285
"267","4","0","0","0","0","1","1","1","0","0","1","0",527.67,8.833666667,9771.65,192.0277562,4.856868041,4.18,332.24
"1165","3","0","0","0","0","1","1","1","0","0","0","0",120.88,7.544056055,1740.67,34.2068079,1.496498374,6.408720694,38.017
"239","5","0","0","0","0","0","0","1","1","1","0","1",6067.65,8.611935484,40312.82,836.89,128.07,245.99,299.66
"835","2","0","0","0","0","0","0","0","0","1","0","0",77.0183,7.45,543.8747,10.68796347,0.519224052,2.002413464,2.452
"768","5","0","0","0","0","1","0","1","1","1","0","0",2427.39,7.598064516,138689,2725.449385,132.4030415,330.23,181.7663
"678","2","0","0","0","0","0","0","1","0","1","1","1",283.6,7.941290323,2974.45,58.45245781,9.37,24.84,24.1052
"1112","4","0","0","0","0","1","1","0","0","0","0","0",1905.36,8.196129032,13014.1,255.7468208,45.6,3,284.15
"38","2","0","0","0","0","1","1","1","1","1","0","0",793.009998,7.733225806,9702,190.659028,9.262265277,1.740921,15.42
"572","3","0","0","0","0","1","1","1","0","1","0","0",534.53,7.161612903,1559.23,30.64123646,4.62,13.15,7.08
"372","3","0","0","0","0","0","1","1","0","1","0","1",1323.155,8.36358423,6603.911,129.7768761,6.30459447,108.875,102.862
"393","3","0","0","0","0","0","0","0","0","1","0","0",0.257,6.98516129,3.614,0.071020586,0.003450199,0.013305863,0.08
"1409","5","0","0","0","0","0","0","1","0","1","1","0",16047.3717,7.424745763,82458.0687,1620.426224,65.31,468.5437,91.64
"327","4","0","0","0","0","1","1","0","0","0","1","1",1642.254,7.714666667,6058.409,119.0569337,0.604,6.191,351.419
"586","3","0","0","0","0","1","1","1","0","1","0","0",189.3071,6.991935484,1641.0094,32.24832582,3.2145,15.95778432,390.7875
"368","3","0","0","0","0","0","1","1","0","1","0","1",1568.795,8.36358423,6268.392,123.1834184,5.984282577,54.574,61.37
"937","4","0","0","0","0","0","1","0","0","0","0","0",1918.25,7.285689655,10255.02,201.5267105,5.55,97.19,127.08
"403","5","0","0","0","0","1","1","0","1","0","0","0",2619.38,7.226695323,13574.88,266.7669991,11.86,205.18,301.64
"717","3","0","0","0","0","0","1","1","0","0","0","0",378.263,7.111333333,6325.551,144.12,2.087,60.261,104.797
"377","1","0","0","0","0","0","0","1","0","0","0","0",2.376,7.983666667,29.041,0.570699735,0.027724742,0.106921851,4.36
"1142","4","0","0","0","0","1","0","0","0","0","0","0",1350.628,8.231935484,12917.9608,89.2245,20.5845,4.4623,482.91
"429","4","0","0","0","0","0","1","1","0","1","0","0",86.84,7.31,653.09,12.83420991,0.93,0.21,410.861
"10","3","0","0","0","0","1","0","1","0","1","0","0",1262.31,6.868888889,15938,313.2058944,15.21562399,7.09333,188.576
"131","4","0","0","0","0","1","1","1","0","0","0","0",411.35,8.02,3836.753,75.39802077,8.674,21.076,19.376
"1367","3","0","0","0","0","1","1","1","1","1","0","0",97.022624,7.19,1131.387895,22.23348962,1.080108721,0.730876,13.07
"569","3","0","0","0","0","1","1","1","0","1","0","0",815.7126,6.946,1773.118,34.84446035,1.3492,14.36,1.75
"979","4","0","0","0","0","0","1","0","0","0","0","0",1246.66,7.080967742,45157.65,244.41,6.85,15.89,20.582
"120","5","0","0","0","0","1","1","1","1","0","0","0",1528.269717,8.297096774,7545,148.2707036,7.203029428,106.983897,166.545
